"","name","type","reg_param","value"
"1","xylem","n_files","Fx","exp(0.04002*X + 1.55517)"
"2","xylem","n_files","sigma","0.37869"
"3","xylem","max_size","Fx","exp(0.10625*X + 5.52592)"
"4","xylem","max_size","sigma","0.408"
"5","xylem","mean_size","Fx","exp(0.08551*X + 5.04845)"
"6","xylem","mean_size","sigma","0.28032"
"7","stele","cell_diameter","Fx","exp(0.0244*X + -4.95161)"
"8","stele","cell_diameter","sigma","0.18725"
"9","stele","layer_diameter","Fx","exp(0.04151*X + -2.19752)"
"10","stele","layer_diameter","sigma","0.34227"
"11","stele","mean_size","Fx","exp(0.04921*X + 3.6898)"
"12","stele","mean_size","sigma","0.38446"
"13","stele","n_layers","Fx","exp(0.01988*X + 1.68451)"
"14","stele","n_layers","sigma","0.24995"
"15","stele","SD","Fx","exp(0.04359*X + 2.48422)"
"16","stele","SD","sigma","0.40874"
"17","stele","totarea","Fx","exp(0.08328*X + 9.18427)"
"18","stele","totarea","sigma","0.6778"
"19","phloem","n_files","Fx","exp(0.04936*X + -0.20331)"
"20","phloem","n_files","sigma","0.30806"
"21","phloem","max_size","Fx","0.00015*X + 0.00822"
"22","phloem","max_size","sigma","0.00326"
"23","phloem","proportion","Fx","0.00682*X + -0.00278"
"24","phloem","proportion","sigma","0.03647"
"25","pericycle","cell_diameter","Fx","7e-05*X + 0.0135"
"26","pericycle","cell_diameter","sigma","0.00313"
"27","endodermis","cell_diameter","Fx","exp(0.0141*X + -4.22711)"
"28","endodermis","cell_diameter","sigma","0.23149"
"29","cortex","n_layers","Fx","-0.05407*X + 3.63181"
"30","cortex","n_layers","sigma","0.50463"
"31","cortex","cell_diameter","Fx","exp(0.00823*X + -3.8538)"
"32","cortex","cell_diameter","sigma","0.20301"
"33","exodermis","cell_diameter","Fx","exp(0.01157*X + -3.69029)"
"34","exodermis","cell_diameter","sigma","0.18593"
"35","epidermis","cell_diameter","Fx","exp(0.0088*X + -4.17252)"
"36","epidermis","cell_diameter","sigma","0.20906"
