"","name","type","root","x","y"
"1","xylem","n_files","root20",0,2
"2","xylem","n_files","root20",1,2
"3","xylem","n_files","root20",2,2
"4","xylem","n_files","root20",3,2
"5","xylem","n_files","root20",4,2
"6","xylem","n_files","root20",5,2
"7","xylem","n_files","root20",6,2
"8","xylem","n_files","root20",7,2
"9","xylem","n_files","root20",8,2
"10","xylem","n_files","root20",9,2
"11","xylem","n_files","root20",10,2
"12","xylem","n_files","root20",11,2
"13","xylem","n_files","root20",12,2
"14","xylem","n_files","root20",13,2
"15","xylem","n_files","root20",14,2
"16","xylem","n_files","root20",15,2
"17","xylem","n_files","root20",16,2
"18","xylem","n_files","root20",17,2
"19","xylem","n_files","root20",18,2
"20","xylem","n_files","root20",19,2
"21","xylem","n_files","root20",20,2
"22","xylem","n_files","root20",21,2
"23","xylem","n_files","root20",22,2
"24","xylem","n_files","root20",23,2
"25","xylem","n_files","root20",24,2
"26","xylem","n_files","root20",25,2
"27","xylem","n_files","root20",26,2
"28","xylem","n_files","root20",27,2
"29","xylem","n_files","root20",28,2
"30","xylem","n_files","root20",29,2
"31","xylem","n_files","root20",30,2
"32","xylem","max_size","root20",0,0.013545741329096
"33","xylem","max_size","root20",1,0.0200384659258417
"34","xylem","max_size","root20",2,0.040556269112588
"35","xylem","max_size","root20",3,0.0113253325550758
"36","xylem","max_size","root20",4,0.0274251650527251
"37","xylem","max_size","root20",5,0.0373313319421117
"38","xylem","max_size","root20",6,0.0253161365725183
"39","xylem","max_size","root20",7,0.0251380794853835
"40","xylem","max_size","root20",8,0.0229588662255396
"41","xylem","max_size","root20",9,0.0455788148674767
"42","xylem","max_size","root20",10,0.0325841644144274
"43","xylem","max_size","root20",11,0.0298350385756914
"44","xylem","max_size","root20",12,0.0226119006584105
"45","xylem","max_size","root20",13,0.0407896572593123
"46","xylem","max_size","root20",14,0.0474869506441678
"47","xylem","max_size","root20",15,0.0583488205250773
"48","xylem","max_size","root20",16,0.043810785330619
"49","xylem","max_size","root20",17,0.0578975134943508
"50","xylem","max_size","root20",18,0.05908624420877
"51","xylem","max_size","root20",19,0.063654715051681
"52","xylem","max_size","root20",20,0.0598844965106186
"53","xylem","max_size","root20",21,0.0690104922664976
"54","xylem","max_size","root20",22,0.0722546358004901
"55","xylem","max_size","root20",23,0.0683853846566984
"56","xylem","max_size","root20",24,0.0623489679833188
"57","xylem","max_size","root20",25,0.0721959032708186
"58","xylem","max_size","root20",26,0.0859298157019828
"59","xylem","max_size","root20",27,0.0643259048014165
"60","xylem","max_size","root20",28,0.0586819166540481
"61","xylem","max_size","root20",29,0.0849997123641098
"62","xylem","max_size","root20",30,0.0680757832988131
"63","xylem","cell_diameter","root20",0,0.00710443109999943
"64","xylem","cell_diameter","root20",1,0.011858430506327
"65","xylem","cell_diameter","root20",2,0.0180358715599077
"66","xylem","cell_diameter","root20",3,0.0147191190064847
"67","xylem","cell_diameter","root20",4,0.0201016480588036
"68","xylem","cell_diameter","root20",5,0.0171459660138507
"69","xylem","cell_diameter","root20",6,0.0238626107843177
"70","xylem","cell_diameter","root20",7,0.0288869781904292
"71","xylem","cell_diameter","root20",8,0.0166377482711546
"72","xylem","cell_diameter","root20",9,0.0189766664285134
"73","xylem","cell_diameter","root20",10,0.0262233106158666
"74","xylem","cell_diameter","root20",11,0.0303356213693164
"75","xylem","cell_diameter","root20",12,0.0221508118259747
"76","xylem","cell_diameter","root20",13,0.0301742441306796
"77","xylem","cell_diameter","root20",14,0.0248754995605254
"78","xylem","cell_diameter","root20",15,0.029679324872803
"79","xylem","cell_diameter","root20",16,0.0405477694827833
"80","xylem","cell_diameter","root20",17,0.0368476476048663
"81","xylem","cell_diameter","root20",18,0.02910130757792
"82","xylem","cell_diameter","root20",19,0.034677182760884
"83","xylem","cell_diameter","root20",20,0.029980932250385
"84","xylem","cell_diameter","root20",21,0.0366332044240068
"85","xylem","cell_diameter","root20",22,0.0421817302041888
"86","xylem","cell_diameter","root20",23,0.0335809109466523
"87","xylem","cell_diameter","root20",24,0.0433261214678837
"88","xylem","cell_diameter","root20",25,0.041524703424886
"89","xylem","cell_diameter","root20",26,0.0442168336045103
"90","xylem","cell_diameter","root20",27,0.0425714078730756
"91","xylem","cell_diameter","root20",28,0.0478313146561806
"92","xylem","cell_diameter","root20",29,0.050334548610599
"93","xylem","cell_diameter","root20",30,0.0501532480838221
"94","xylem","n_cells","root20",0,4
"95","xylem","n_cells","root20",1,6
"96","xylem","n_cells","root20",2,3
"97","xylem","n_cells","root20",3,4
"98","xylem","n_cells","root20",4,5
"99","xylem","n_cells","root20",5,7
"100","xylem","n_cells","root20",6,4
"101","xylem","n_cells","root20",7,5
"102","xylem","n_cells","root20",8,8
"103","xylem","n_cells","root20",9,5
"104","xylem","n_cells","root20",10,5
"105","xylem","n_cells","root20",11,7
"106","xylem","n_cells","root20",12,7
"107","xylem","n_cells","root20",13,8
"108","xylem","n_cells","root20",14,8
"109","xylem","n_cells","root20",15,8
"110","xylem","n_cells","root20",16,8
"111","xylem","n_cells","root20",17,8
"112","xylem","n_cells","root20",18,9
"113","xylem","n_cells","root20",19,9
"114","xylem","n_cells","root20",20,11
"115","xylem","n_cells","root20",21,3
"116","xylem","n_cells","root20",22,7
"117","xylem","n_cells","root20",23,12
"118","xylem","n_cells","root20",24,11
"119","xylem","n_cells","root20",25,14
"120","xylem","n_cells","root20",26,13
"121","xylem","n_cells","root20",27,14
"122","xylem","n_cells","root20",28,27
"123","xylem","n_cells","root20",29,9
"124","xylem","n_cells","root20",30,8
"125","stele","cell_diameter","root20",0,0.00584715549902565
"126","stele","cell_diameter","root20",1,0.00724514364427383
"127","stele","cell_diameter","root20",2,0.00663083497894297
"128","stele","cell_diameter","root20",3,0.00785111106530817
"129","stele","cell_diameter","root20",4,0.0077734001092759
"130","stele","cell_diameter","root20",5,0.00741347034461903
"131","stele","cell_diameter","root20",6,0.00850726903775749
"132","stele","cell_diameter","root20",7,0.00711306033171331
"133","stele","cell_diameter","root20",8,0.00873122183812215
"134","stele","cell_diameter","root20",9,0.00828733383079035
"135","stele","cell_diameter","root20",10,0.00741324551202635
"136","stele","cell_diameter","root20",11,0.00805556349660938
"137","stele","cell_diameter","root20",12,0.00764480249355883
"138","stele","cell_diameter","root20",13,0.00882040368981387
"139","stele","cell_diameter","root20",14,0.00785535060542865
"140","stele","cell_diameter","root20",15,0.0107433440602599
"141","stele","cell_diameter","root20",16,0.00806847150857213
"142","stele","cell_diameter","root20",17,0.00984336050030707
"143","stele","cell_diameter","root20",18,0.00944391033804613
"144","stele","cell_diameter","root20",19,0.00985851472285186
"145","stele","cell_diameter","root20",20,0.00993255315421572
"146","stele","cell_diameter","root20",21,0.00894655407669789
"147","stele","cell_diameter","root20",22,0.0100137362377971
"148","stele","cell_diameter","root20",23,0.0102670355141039
"149","stele","cell_diameter","root20",24,0.00916798038148842
"150","stele","cell_diameter","root20",25,0.0113067952877483
"151","stele","cell_diameter","root20",26,0.00916640398596385
"152","stele","cell_diameter","root20",27,0.0136896962311646
"153","stele","cell_diameter","root20",28,0.0180538572424442
"154","stele","cell_diameter","root20",29,0.0160519566750774
"155","stele","cell_diameter","root20",30,0.0195482507459691
"156","stele","SD","root20",0,0.000656816574359398
"157","stele","SD","root20",1,0.00108377816779449
"158","stele","SD","root20",2,0.000523601932241876
"159","stele","SD","root20",3,0.00107187892220968
"160","stele","SD","root20",4,0.00108433123037949
"161","stele","SD","root20",5,0.000998508848286209
"162","stele","SD","root20",6,0.00149666318157393
"163","stele","SD","root20",7,0.000956618667677529
"164","stele","SD","root20",8,0.00101933259185089
"165","stele","SD","root20",9,0.00131513529522886
"166","stele","SD","root20",10,0.00156950628764594
"167","stele","SD","root20",11,0.00170013376588327
"168","stele","SD","root20",12,0.00138653341251295
"169","stele","SD","root20",13,0.00120675858363444
