"","CS_id","name","type","value","id"
"1","B05_A_To_C03_Z20_01","secondarygrowth","param",1,1
"2","B05_A_To_C03_Z20_01","randomness","param",2,2
"3","B05_A_To_C03_Z20_01","planttype","param",2,3
"4","B05_A_To_C03_Z20_01","aerenchyma","proportion",0,4
"5","B05_A_To_C03_Z20_01","aerenchyma","n_files",10,5
"6","B05_A_To_C03_Z20_01","xylem","n_files",4,6
"7","B05_A_To_C03_Z20_01","xylem","max_size",246.134,7
"8","B05_A_To_C03_Z20_01","xylem","mean_size",168.59275,8
"9","B05_A_To_C03_Z20_01","xylem","order",1.5,9
"10","B05_A_To_C03_Z20_01","stele","cell_diameter",0.00749435256159022,10
"11","B05_A_To_C03_Z20_01","stele","SD",11.9419813678003,11
"12","B05_A_To_C03_Z20_01","stele","mean_size",44.8361,12
"13","B05_A_To_C03_Z20_01","phloem","max_size",0.013996,13
"14","B05_A_To_C03_Z20_01","stele","totarea",12204.239,14
"15","B05_A_To_C03_Z20_01","stele","order",1,15
"16","B05_A_To_C03_Z20_01","cortex","cell_diameter",0.0236728333333333,16
"17","B05_A_To_C03_Z20_01","cortex","order",4,17
"18","B05_A_To_C03_Z20_01","endodermis","cell_diameter",0.0169963076923077,18
"19","B05_A_To_C03_Z20_01","endodermis","n_layers",1,19
"20","B05_A_To_C03_Z20_01","endodermis","order",3,20
"21","B05_A_To_C03_Z20_01","exodermis","cell_diameter",0.02555,21
"22","B05_A_To_C03_Z20_01","exodermis","n_layers",1,22
"23","B05_A_To_C03_Z20_01","exodermis","order",5,23
"24","B05_A_To_C03_Z20_01","epidermis","cell_diameter",0.017413,24
"25","B05_A_To_C03_Z20_01","epidermis","n_layers",1,25
"26","B05_A_To_C03_Z20_01","epidermis","order",6,26
"27","B05_A_To_C03_Z20_01","pericycle","cell_diameter",0.0154034666666667,27
"28","B05_A_To_C03_Z20_01","pericycle","order",2,28
"29","B05_A_To_C03_Z20_01","pericycle","n_layers",1,29
"30","B05_A_To_C03_Z20_01","endodermis","barrier",1,30
"31","B05_A_To_C03_Z20_01","exodermis","barrier",0,31
"32","B05_A_To_C03_Z20_01","stele","n_layers",5,32
"33","B05_A_To_C03_Z20_01","stele","layer_diameter",0.12576,33
"34","B05_A_To_C03_Z20_01","cortex","n_layers",3,34
"35","B05_A_To_C03_Z20_01","phloem","n_files",1,35
"36","B05_A_To_C03_Z20_01","phloem","proportion",0,36
"37","B05_B_To_C01_Z20_01","secondarygrowth","param",1,37
"38","B05_B_To_C01_Z20_01","randomness","param",2,38
"39","B05_B_To_C01_Z20_01","planttype","param",2,39
"40","B05_B_To_C01_Z20_01","aerenchyma","proportion",0,40
"41","B05_B_To_C01_Z20_01","aerenchyma","n_files",10,41
"42","B05_B_To_C01_Z20_01","xylem","n_files",6,42
"43","B05_B_To_C01_Z20_01","xylem","max_size",452.173,43
"44","B05_B_To_C01_Z20_01","xylem","mean_size",262.357166666667,44
"45","B05_B_To_C01_Z20_01","xylem","order",1.5,45
"46","B05_B_To_C01_Z20_01","stele","cell_diameter",0.00906928159770313,46
"47","B05_B_To_C01_Z20_01","stele","SD",19.8652550617068,47
"48","B05_B_To_C01_Z20_01","stele","mean_size",65.9966666666667,48
"49","B05_B_To_C01_Z20_01","phloem","max_size",0.014253,49
"50","B05_B_To_C01_Z20_01","stele","totarea",16516.878,50
"51","B05_B_To_C01_Z20_01","stele","order",1,51
"52","B05_B_To_C01_Z20_01","cortex","cell_diameter",0.0250015238095238,52
"53","B05_B_To_C01_Z20_01","cortex","order",4,53
"54","B05_B_To_C01_Z20_01","endodermis","cell_diameter",0.0166885714285714,54
"55","B05_B_To_C01_Z20_01","endodermis","n_layers",1,55
"56","B05_B_To_C01_Z20_01","endodermis","order",3,56
"57","B05_B_To_C01_Z20_01","exodermis","cell_diameter",0.0311984,57
"58","B05_B_To_C01_Z20_01","exodermis","n_layers",1,58
"59","B05_B_To_C01_Z20_01","exodermis","order",5,59
"60","B05_B_To_C01_Z20_01","epidermis","cell_diameter",0.0163771666666667,60
"61","B05_B_To_C01_Z20_01","epidermis","n_layers",1,61
"62","B05_B_To_C01_Z20_01","epidermis","order",6,62
"63","B05_B_To_C01_Z20_01","pericycle","cell_diameter",0.0149964285714286,63
"64","B05_B_To_C01_Z20_01","pericycle","order",2,64
"65","B05_B_To_C01_Z20_01","pericycle","n_layers",1,65
"66","B05_B_To_C01_Z20_01","endodermis","barrier",1,66
"67","B05_B_To_C01_Z20_01","exodermis","barrier",0,67
"68","B05_B_To_C01_Z20_01","stele","n_layers",5,68
"69","B05_B_To_C01_Z20_01","stele","layer_diameter",0.1452,69
"70","B05_B_To_C01_Z20_01","cortex","n_layers",3,70
"71","B05_B_To_C01_Z20_01","phloem","n_files",1,71
"72","B05_B_To_C01_Z20_01","phloem","proportion",0,72
"73","B05_C_To_C01_Z20_01","secondarygrowth","param",1,73
"74","B05_C_To_C01_Z20_01","randomness","param",2,74
"75","B05_C_To_C01_Z20_01","planttype","param",2,75
"76","B05_C_To_C01_Z20_01","aerenchyma","proportion",0,76
"77","B05_C_To_C01_Z20_01","aerenchyma","n_files",10,77
"78","B05_C_To_C01_Z20_01","xylem","n_files",6,78
"79","B05_C_To_C01_Z20_01","xylem","max_size",383.188,79
"80","B05_C_To_C01_Z20_01","xylem","mean_size",229.288,80
"81","B05_C_To_C01_Z20_01","xylem","order",1.5,81
"82","B05_C_To_C01_Z20_01","stele","cell_diameter",0.00808694699817415,82
"83","B05_C_To_C01_Z20_01","stele","SD",19.1094982595463,83
"84","B05_C_To_C01_Z20_01","stele","mean_size",53.1122727272727,84
"85","B05_C_To_C01_Z20_01","phloem","max_size",0.00585331872736694,85
"86","B05_C_To_C01_Z20_01","stele","totarea",12756.954,86
"87","B05_C_To_C01_Z20_01","stele","order",1,87
"88","B05_C_To_C01_Z20_01","cortex","cell_diameter",0.0195481,88
"89","B05_C_To_C01_Z20_01","cortex","order",4,89
"90","B05_C_To_C01_Z20_01","endodermis","cell_diameter",0.012809,90
"91","B05_C_To_C01_Z20_01","endodermis","n_layers",1,91
"92","B05_C_To_C01_Z20_01","endodermis","order",3,92
"93","B05_C_To_C01_Z20_01","exodermis","cell_diameter",0.023663,93
"94","B05_C_To_C01_Z20_01","exodermis","n_layers",1,94
"95","B05_C_To_C01_Z20_01","exodermis","order",5,95
"96","B05_C_To_C01_Z20_01","epidermis","cell_diameter",0.0139765,96
"97","B05_C_To_C01_Z20_01","epidermis","n_layers",1,97
"98","B05_C_To_C01_Z20_01","epidermis","order",6,98
"99","B05_C_To_C01_Z20_01","pericycle","cell_diameter",0.0125043571428571,99
"100","B05_C_To_C01_Z20_01","pericycle","order",2,100
"101","B05_C_To_C01_Z20_01","pericycle","n_layers",1,101
"102","B05_C_To_C01_Z20_01","endodermis","barrier",1,102
"103","B05_C_To_C01_Z20_01","exodermis","barrier",0,103
"104","B05_C_To_C01_Z20_01","stele","n_layers",3,104
"105","B05_C_To_C01_Z20_01","stele","layer_diameter",0.13526,105
"106","B05_C_To_C01_Z20_01","cortex","n_layers",3,106
"107","B05_C_To_C01_Z20_01","phloem","n_files",1,107
"108","B05_C_To_C01_Z20_01","phloem","proportion",0,108
"109","B05_D_To_C03_Z20_01","secondarygrowth","param",1,109
"110","B05_D_To_C03_Z20_01","randomness","param",2,110
"111","B05_D_To_C03_Z20_01","planttype","param",2,111
"112","B05_D_To_C03_Z20_01","aerenchyma","proportion",0,112
"113","B05_D_To_C03_Z20_01","aerenchyma","n_files",10,113
"114","B05_D_To_C03_Z20_01","xylem","n_files",7,114
"115","B05_D_To_C03_Z20_01","xylem","max_size",2217.414,115
"116","B05_D_To_C03_Z20_01","xylem","mean_size",534.790714285714,116
"117","B05_D_To_C03_Z20_01","xylem","order",1.5,117
"118","B05_D_To_C03_Z20_01","stele","cell_diameter",0.00747008783335208,118
"119","B05_D_To_C03_Z20_01","stele","SD",5.06745868037153,119
"120","B05_D_To_C03_Z20_01","stele","mean_size",43.96325,120
"121","B05_D_To_C03_Z20_01","phloem","max_size",0.00820716953063599,121
"122","B05_D_To_C03_Z20_01","stele","totarea",15329.963,122
"123","B05_D_To_C03_Z20_01","stele","order",1,123
"124","B05_D_To_C03_Z20_01","cortex","cell_diameter",0.0211655,124
"125","B05_D_To_C03_Z20_01","cortex","order",4,125
"126","B05_D_To_C03_Z20_01","endodermis","cell_diameter",0.0129880833333333,126
"127","B05_D_To_C03_Z20_01","endodermis","n_layers",1,127
"128","B05_D_To_C03_Z20_01","endodermis","order",3,128
"129","B05_D_To_C03_Z20_01","exodermis","cell_diameter",0.0263024615384615,129
"130","B05_D_To_C03_Z20_01","exodermis","n_layers",1,130
"131","B05_D_To_C03_Z20_01","exodermis","order",5,131
"132","B05_D_To_C03_Z20_01","epidermis","cell_diameter",0.01421975,132
"133","B05_D_To_C03_Z20_01","epidermis","n_layers",1,133
"134","B05_D_To_C03_Z20_01","epidermis","order",6,134
"135","B05_D_To_C03_Z20_01","pericycle","cell_diameter",0.0117045,135
"136","B05_D_To_C03_Z20_01","pericycle","order",2,136
"137","B05_D_To_C03_Z20_01","pericycle","n_layers",1,137
"138","B05_D_To_C03_Z20_01","endodermis","barrier",1,138
"139","B05_D_To_C03_Z20_01","exodermis","barrier",1,139
"140","B05_D_To_C03_Z20_01","stele","n_layers",6,140
"141","B05_D_To_C03_Z20_01","stele","layer_diameter",0.142,141
"142","B05_D_To_C03_Z20_01","cortex","n_layers",3,142
"143","B05_D_To_C03_Z20_01","phloem","n_files",1,143
"144","B05_D_To_C03_Z20_01","phloem","proportion",0.115492957746479,144
"145","B05_E2_To_C01_Z20_01","secondarygrowth","param",1,145
"146","B05_E2_To_C01_Z20_01","randomness","param",2,146
"147","B05_E2_To_C01_Z20_01","planttype","param",2,147
"148","B05_E2_To_C01_Z20_01","aerenchyma","proportion",0,148
"149","B05_E2_To_C01_Z20_01","aerenchyma","n_files",10,149
"150","B05_E2_To_C01_Z20_01","xylem","n_files",7,150
"151","B05_E2_To_C01_Z20_01","xylem","max_size",2529.712,151
"152","B05_E2_To_C01_Z20_01","xylem","mean_size",626.316285714286,152
"153","B05_E2_To_C01_Z20_01","xylem","order",1.5,153
"154","B05_E2_To_C01_Z20_01","stele","cell_diameter",0.00962405763323411,154
"155","B05_E2_To_C01_Z20_01","stele","SD",21.9499210303385,155
"156","B05_E2_To_C01_Z20_01","stele","mean_size",74.0372857142857,156
"157","B05_E2_To_C01_Z20_01","phloem","max_size",0.0121140529357175,157
"158","B05_E2_To_C01_Z20_01","stele","totarea",18774.615,158
"159","B05_E2_To_C01_Z20_01","stele","order",1,159
"160","B05_E2_To_C01_Z20_01","cortex","cell_diameter",0.0194306666666667,160
"161","B05_E2_To_C01_Z20_01","cortex","order",4,161
"162","B05_E2_To_C01_Z20_01","endodermis","cell_diameter",0.0134849,162
"163","B05_E2_To_C01_Z20_01","endodermis","n_layers",1,163
"164","B05_E2_To_C01_Z20_01","endodermis","order",3,164
"165","B05_E2_To_C01_Z20_01","exodermis","cell_diameter",0.0270191176470588,165
"166","B05_E2_To_C01_Z20_01","exodermis","n_layers",1,166
"167","B05_E2_To_C01_Z20_01","exodermis","order",5,167
"168","B05_E2_To_C01_Z20_01","epidermis","cell_diameter",0.0139747272727273,168
"169","B05_E2_To_C01_Z20_01","epidermis","n_layers",1,169
"170","B05_E2_To_C01_Z20_01","epidermis","order",6,170
"171","B05_E2_To_C01_Z20_01","pericycle","cell_diameter",0.011681,171
"172","B05_E2_To_C01_Z20_01","pericycle","order",2,172
"173","B05_E2_To_C01_Z20_01","pericycle","n_layers",1,173
"174","B05_E2_To_C01_Z20_01","endodermis","barrier",1,174
"175","B05_E2_To_C01_Z20_01","exodermis","barrier",1,175
"176","B05_E2_To_C01_Z20_01","stele","n_layers",6,176
"177","B05_E2_To_C01_Z20_01","stele","layer_diameter",0.15592,177
"178","B05_E2_To_C01_Z20_01","cortex","n_layers",3,178
"179","B05_E2_To_C01_Z20_01","phloem","n_files",1,179
"180","B05_E2_To_C01_Z20_01","phloem","proportion",0.153925089789636,180
"181","B11_C_To_C01_Z20_01","secondarygrowth","param",1,181
"182","B11_C_To_C01_Z20_01","randomness","param",2,182
"183","B11_C_To_C01_Z20_01","planttype","param",2,183
"184","B11_C_To_C01_Z20_01","aerenchyma","proportion",0,184
"185","B11_C_To_C01_Z20_01","aerenchyma","n_files",10,185
"186","B11_C_To_C01_Z20_01","xylem","n_files",4,186
"187","B11_C_To_C01_Z20_01","xylem","max_size",329.906,187
"188","B11_C_To_C01_Z20_01","xylem","mean_size",214.0235,188
"189","B11_C_To_C01_Z20_01","xylem","order",1.5,189
"190","B11_C_To_C01_Z20_01","stele","cell_diameter",0.00701245167848517,190
"191","B11_C_To_C01_Z20_01","stele","SD",10.2776643365254,191
"192","B11_C_To_C01_Z20_01","stele","mean_size",39.21825,192
"193","B11_C_To_C01_Z20_01","phloem","max_size",0.00818938650018444,193
"194","B11_C_To_C01_Z20_01","stele","totarea",9766.532,194
"195","B11_C_To_C01_Z20_01","stele","order",1,195
"196","B11_C_To_C01_Z20_01","cortex","cell_diameter",0.019715,196
"197","B11_C_To_C01_Z20_01","cortex","order",4,197
"198","B11_C_To_C01_Z20_01","endodermis","cell_diameter",0.0139338947368421,198
"199","B11_C_To_C01_Z20_01","endodermis","n_layers",1,199
"200","B11_C_To_C01_Z20_01","endodermis","order",3,200
"201","B11_C_To_C01_Z20_01","exodermis","cell_diameter",0.024779,201
"202","B11_C_To_C01_Z20_01","exodermis","n_layers",1,202
"203","B11_C_To_C01_Z20_01","exodermis","order",5,203
"204","B11_C_To_C01_Z20_01","epidermis","cell_diameter",0.013643,204
"205","B11_C_To_C01_Z20_01","epidermis","n_layers",1,205
"206","B11_C_To_C01_Z20_01","epidermis","order",6,206
"207","B11_C_To_C01_Z20_01","pericycle","cell_diameter",0.0108835714285714,207
"208","B11_C_To_C01_Z20_01","pericycle","order",2,208
"209","B11_C_To_C01_Z20_01","pericycle","n_layers",1,209
"210","B11_C_To_C01_Z20_01","endodermis","barrier",1,210
"211","B11_C_To_C01_Z20_01","exodermis","barrier",0,211
"212","B11_C_To_C01_Z20_01","stele","n_layers",5,212
"213","B11_C_To_C01_Z20_01","stele","layer_diameter",0.1078,213
"214","B11_C_To_C01_Z20_01","cortex","n_layers",3,214
"215","B11_C_To_C01_Z20_01","phloem","n_files",1,215
"216","B11_C_To_C01_Z20_01","phloem","proportion",0,216
"217","B11_D_To_C01_Z20_01","secondarygrowth","param",1,217
"218","B11_D_To_C01_Z20_01","randomness","param",2,218
"219","B11_D_To_C01_Z20_01","planttype","param",2,219
"220","B11_D_To_C01_Z20_01","aerenchyma","proportion",0,220
"221","B11_D_To_C01_Z20_01","aerenchyma","n_files",10,221
"222","B11_D_To_C01_Z20_01","xylem","n_files",8,222
"223","B11_D_To_C01_Z20_01","xylem","max_size",995.359,223
"224","B11_D_To_C01_Z20_01","xylem","mean_size",324.770375,224
"225","B11_D_To_C01_Z20_01","xylem","order",1.5,225
"226","B11_D_To_C01_Z20_01","stele","cell_diameter",0.00826970916008121,226
"227","B11_D_To_C01_Z20_01","stele","SD",16.9870560542572,227
"228","B11_D_To_C01_Z20_01","stele","mean_size",54.8317619047619,228
"229","B11_D_To_C01_Z20_01","phloem","max_size",0.0116191897560587,229
"230","B11_D_To_C01_Z20_01","stele","totarea",14229.412,230
"231","B11_D_To_C01_Z20_01","stele","order",1,231
"232","B11_D_To_C01_Z20_01","cortex","cell_diameter",0.0182008333333333,232
"233","B11_D_To_C01_Z20_01","cortex","order",4,233
"234","B11_D_To_C01_Z20_01","endodermis","cell_diameter",0.01180425,234
"235","B11_D_To_C01_Z20_01","endodermis","n_layers",1,235
"236","B11_D_To_C01_Z20_01","endodermis","order",3,236
"237","B11_D_To_C01_Z20_01","exodermis","cell_diameter",0.0242870833333333,237
"238","B11_D_To_C01_Z20_01","exodermis","n_layers",1,238
"239","B11_D_To_C01_Z20_01","exodermis","order",5,239
"240","B11_D_To_C01_Z20_01","epidermis","cell_diameter",0.0149035,240
"241","B11_D_To_C01_Z20_01","epidermis","n_layers",1,241
"242","B11_D_To_C01_Z20_01","epidermis","order",6,242
"243","B11_D_To_C01_Z20_01","pericycle","cell_diameter",0.0107647142857143,243
"244","B11_D_To_C01_Z20_01","pericycle","order",2,244
"245","B11_D_To_C01_Z20_01","pericycle","n_layers",1,245
"246","B11_D_To_C01_Z20_01","endodermis","barrier",1,246
"247","B11_D_To_C01_Z20_01","exodermis","barrier",1,247
"248","B11_D_To_C01_Z20_01","stele","n_layers",8,248
"249","B11_D_To_C01_Z20_01","stele","layer_diameter",0.13526,249
"250","B11_D_To_C01_Z20_01","cortex","n_layers",3,250
"251","B11_D_To_C01_Z20_01","phloem","n_files",1,251
"252","B11_D_To_C01_Z20_01","phloem","proportion",0.15525654295431,252
"253","B11_E_To_C01_Z20_02","secondarygrowth","param",1,253
"254","B11_E_To_C01_Z20_02","randomness","param",2,254
"255","B11_E_To_C01_Z20_02","planttype","param",2,255
"256","B11_E_To_C01_Z20_02","aerenchyma","proportion",0,256
"257","B11_E_To_C01_Z20_02","aerenchyma","n_files",10,257
"258","B11_E_To_C01_Z20_02","xylem","n_files",8,258
"259","B11_E_To_C01_Z20_02","xylem","max_size",3271.772,259
"260","B11_E_To_C01_Z20_02","xylem","mean_size",1684.49925,260
"261","B11_E_To_C01_Z20_02","xylem","order",1.5,261
"262","B11_E_To_C01_Z20_02","stele","cell_diameter",0.0115210153865028,262
"263","B11_E_To_C01_Z20_02","stele","SD",35.8206021482252,263
"264","B11_E_To_C01_Z20_02","stele","mean_size",106.699444444444,264
"265","B11_E_To_C01_Z20_02","phloem","max_size",0.0163936145144577,265
"266","B11_E_To_C01_Z20_02","stele","totarea",52709.514,266
"267","B11_E_To_C01_Z20_02","stele","order",1,267
"268","B11_E_To_C01_Z20_02","cortex","cell_diameter",0.0234785,268
"269","B11_E_To_C01_Z20_02","cortex","order",4,269
"270","B11_E_To_C01_Z20_02","endodermis","cell_diameter",0.0194012941176471,270
"271","B11_E_To_C01_Z20_02","endodermis","n_layers",1,271
"272","B11_E_To_C01_Z20_02","endodermis","order",3,272
"273","B11_E_To_C01_Z20_02","exodermis","cell_diameter",0.02823125,273
"274","B11_E_To_C01_Z20_02","exodermis","n_layers",1,274
"275","B11_E_To_C01_Z20_02","exodermis","order",5,275
"276","B11_E_To_C01_Z20_02","epidermis","cell_diameter",0.015087,276
"277","B11_E_To_C01_Z20_02","epidermis","n_layers",1,277
"278","B11_E_To_C01_Z20_02","epidermis","order",6,278
"279","B11_E_To_C01_Z20_02","pericycle","cell_diameter",0.01546,279
"280","B11_E_To_C01_Z20_02","pericycle","order",2,280
"281","B11_E_To_C01_Z20_02","pericycle","n_layers",1,281
"282","B11_E_To_C01_Z20_02","endodermis","barrier",1,282
"283","B11_E_To_C01_Z20_02","exodermis","barrier",1,283
"284","B11_E_To_C01_Z20_02","stele","n_layers",10,284
"285","B11_E_To_C01_Z20_02","stele","layer_diameter",0.2598,285
"286","B11_E_To_C01_Z20_02","cortex","n_layers",2,286
"287","B11_E_To_C01_Z20_02","phloem","n_files",1,287
"288","B11_E_To_C01_Z20_02","phloem","proportion",0.104695919938414,288
"289","B11_F_To_C03_Z10_01","secondarygrowth","param",1,289
"290","B11_F_To_C03_Z10_01","randomness","param",2,290
"291","B11_F_To_C03_Z10_01","planttype","param",2,291
"292","B11_F_To_C03_Z10_01","aerenchyma","proportion",0,292
"293","B11_F_To_C03_Z10_01","aerenchyma","n_files",10,293
"294","B11_F_To_C03_Z10_01","xylem","n_files",14,294
"295","B11_F_To_C03_Z10_01","xylem","max_size",4068.332,295
"296","B11_F_To_C03_Z10_01","xylem","mean_size",1841.40428571429,296
"297","B11_F_To_C03_Z10_01","xylem","order",1.5,297
"298","B11_F_To_C03_Z10_01","stele","cell_diameter",0.0170842260153678,298
"299","B11_F_To_C03_Z10_01","stele","SD",74.8940173447683,299
"300","B11_F_To_C03_Z10_01","stele","mean_size",234.979961538462,300
"301","B11_F_To_C03_Z10_01","phloem","max_size",0.012491,301
"302","B11_F_To_C03_Z10_01","stele","totarea",147326.913,302
"303","B11_F_To_C03_Z10_01","stele","order",1,303
"304","B11_F_To_C03_Z10_01","cortex","cell_diameter",0.0309581666666667,304
"305","B11_F_To_C03_Z10_01","cortex","order",4,305
"306","B11_F_To_C03_Z10_01","endodermis","cell_diameter",0.0273901333333333,306
"307","B11_F_To_C03_Z10_01","endodermis","n_layers",1,307
"308","B11_F_To_C03_Z10_01","endodermis","order",3,308
"309","B11_F_To_C03_Z10_01","exodermis","cell_diameter",0.0417027142857143,309
"310","B11_F_To_C03_Z10_01","exodermis","n_layers",1,310
"311","B11_F_To_C03_Z10_01","exodermis","order",5,311
"312","B11_F_To_C03_Z10_01","epidermis","cell_diameter",0.031288,312
"313","B11_F_To_C03_Z10_01","epidermis","n_layers",1,313
"314","B11_F_To_C03_Z10_01","epidermis","order",6,314
"315","B11_F_To_C03_Z10_01","pericycle","cell_diameter",0.0184228666666667,315
"316","B11_F_To_C03_Z10_01","pericycle","order",2,316
"317","B11_F_To_C03_Z10_01","pericycle","n_layers",1,317
"318","B11_F_To_C03_Z10_01","endodermis","barrier",2,318
"319","B11_F_To_C03_Z10_01","exodermis","barrier",1,319
"320","B11_F_To_C03_Z10_01","stele","n_layers",8,320
"321","B11_F_To_C03_Z10_01","stele","layer_diameter",0.4356,321
