"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","z3"
0,1,0,0,0,-3,-0.0124,-0.0026,-3.1996,0.0755,0.2,0.4314,0.3922,0.1961,0.149,1,-31.0217
1,2,0,-0.0124,-0.0026,-3.1996,-0.0367,-0.0298,-3.3917,0.0755,0.1955,0.4314,0.3922,0.1961,0.2952,1,-30.8296
2,3,0,-0.0367,-0.0298,-3.3917,-0.0243,-0.0293,-3.5913,0.0755,0.2,0.4314,0.3922,0.1961,0.4453,1,-30.63
3,4,0,-0.0243,-0.0293,-3.5913,-0.0162,-0.027,-3.7821,0.0755,0.191,0.4314,0.3922,0.1961,0.5892,1,-30.4392
4,5,0,-0.0162,-0.027,-3.7821,-0.0138,-0.0249,-3.9821,0.0755,0.2,0.4314,0.3922,0.1961,0.7404,1,-30.2392
5,6,0,-0.0138,-0.0249,-3.9821,-0.0114,-0.0237,-4.1821,0.0755,0.2,0.4314,0.3922,0.1961,0.8922,1,-30.0392
6,7,0,-0.0114,-0.0237,-4.1821,-0.0114,-0.0237,-4.1822,0.0755,1e-04,0.4314,0.3922,0.1961,0.8923,1,-30.0391
7,8,0,-0.0114,-0.0237,-4.1822,-0.0115,-0.0236,-4.3822,0.0755,0.2,0.4314,0.3922,0.1961,1.0447,1,-29.8391
8,9,0,-0.0115,-0.0236,-4.3822,-0.0026,-0.0249,-4.582,0.0755,0.2,0.4314,0.3922,0.1961,1.1977,1,-29.6393
9,10,0,-0.0026,-0.0249,-4.582,-0.0025,-0.0248,-4.5838,0.0755,0.0018,0.4314,0.3922,0.1961,1.1991,1,-29.6375
10,11,0,-0.0025,-0.0248,-4.5838,-0.0012,-0.0161,-4.7836,0.0755,0.2,0.4314,0.3922,0.1961,1.3527,1,-29.4377
11,12,0,-0.0012,-0.0161,-4.7836,0.0108,-0.013,-4.9833,0.0755,0.2,0.4314,0.3922,0.1961,1.5069,1,-29.238
12,13,0,0.0108,-0.013,-4.9833,0.0108,-0.013,-4.9835,0.0755,2e-04,0.4314,0.3922,0.1961,1.5071,1,-29.2378
13,14,0,0.0108,-0.013,-4.9835,0.0025,-0.0101,-5.1833,0.0755,0.2,0.4314,0.3922,0.1961,1.6619,1,-29.038
14,15,0,0.0025,-0.0101,-5.1833,-0.0043,-0.0072,-5.3667,0.0755,0.1835,0.4314,0.3922,0.1961,1.8044,1,-28.8546
15,16,0,-0.0043,-0.0072,-5.3667,-0.0112,-0.0101,-5.5665,0.0755,0.2,0.4314,0.3922,0.1961,1.9604,1,-28.6548
16,17,0,-0.0112,-0.0101,-5.5665,-0.0157,-0.0292,-5.7656,0.0755,0.2,0.4314,0.3922,0.1961,2.117,1,-28.4557
17,18,0,-0.0157,-0.0292,-5.7656,-0.0168,-0.0341,-5.7977,0.0755,0.0325,0.4314,0.3922,0.1961,2.1425,1,-28.4236
18,19,0,-0.0168,-0.0341,-5.7977,-0.0346,-0.0304,-5.9968,0.0755,0.2,0.4314,0.3922,0.1961,2.2998,1,-28.2245
19,20,0,-0.0346,-0.0304,-5.9968,-0.0508,-0.028,-6.1962,0.0755,0.2,0.4314,0.3922,0.1961,2.4578,1,-28.0251
20,21,0,-0.0508,-0.028,-6.1962,-0.0531,-0.0277,-6.2254,0.0755,0.0293,0.4314,0.3922,0.1961,2.4809,1,-27.9959
21,22,0,-0.0531,-0.0277,-6.2254,-0.0575,-0.0418,-6.4248,0.0755,0.2,0.4314,0.3922,0.1961,2.6396,1,-27.7965
22,23,0,-0.0575,-0.0418,-6.4248,-0.076,-0.0665,-6.6224,0.0755,0.2,0.4314,0.3922,0.1961,2.7989,1,-27.5989
23,24,0,-0.076,-0.0665,-6.6224,-0.0769,-0.0678,-6.6365,0.0755,0.0141,0.4314,0.3922,0.1961,2.8102,1,-27.5848
24,25,0,-0.0769,-0.0678,-6.6365,-0.0624,-0.0613,-6.8359,0.0755,0.2,0.4314,0.3922,0.1961,2.9702,1,-27.3854
25,26,0,-0.0624,-0.0613,-6.8359,-0.0466,-0.0555,-7.0308,0.0755,0.1957,0.4314,0.3922,0.1961,3.1274,1,-27.1905
26,27,0,-0.0466,-0.0555,-7.0308,-0.0261,-0.0567,-7.2298,0.0755,0.2,0.4314,0.3922,0.1961,3.2888,1,-26.9915
27,28,0,-0.0261,-0.0567,-7.2298,-0.0144,-0.0469,-7.4012,0.0755,0.1721,0.4314,0.3922,0.1961,3.4281,1,-26.8201
28,29,0,-0.0144,-0.0469,-7.4012,-0.0491,-0.0383,-7.598,0.0755,0.2,0.4314,0.3922,0.1961,3.5907,1,-26.6233
29,30,0,-0.0491,-0.0383,-7.598,-0.0778,-0.0371,-7.7959,0.0755,0.2,0.4314,0.3922,0.1961,3.7539,1,-26.4254
30,31,0,-0.0778,-0.0371,-7.7959,-0.0793,-0.0375,-7.8056,0.0755,0.0098,0.4314,0.3922,0.1961,3.7619,1,-26.4157
31,32,0,-0.0793,-0.0375,-7.8056,-0.1077,-0.0408,-8.0036,0.0755,0.2,0.4314,0.3922,0.1961,3.9258,1,-26.2177
32,33,0,-0.1077,-0.0408,-8.0036,-0.1254,-0.0561,-8.1834,0.0755,0.1814,0.4314,0.3922,0.1961,4.0751,1,-26.0379
33,34,0,-0.1254,-0.0561,-8.1834,-0.1295,-0.0771,-8.3823,0.0755,0.2,0.4314,0.3922,0.1961,4.2403,1,-25.839
34,35,0,-0.1295,-0.0771,-8.3823,-0.1536,-0.0958,-8.5799,0.0755,0.2,0.4314,0.3922,0.1961,4.4062,1,-25.6414
35,36,0,-0.1536,-0.0958,-8.5799,-0.1551,-0.097,-8.5918,0.0755,0.012,0.4314,0.3922,0.1961,4.4162,1,-25.6295
36,37,0,-0.1551,-0.097,-8.5918,-0.1877,-0.1126,-8.7885,0.0755,0.2,0.4314,0.3922,0.1961,4.5828,1,-25.4328
37,38,0,-0.1877,-0.1126,-8.7885,-0.2152,-0.118,-8.946,0.0755,0.16,0.4314,0.3922,0.1961,4.7167,1,-25.2753
38,39,0,-0.2152,-0.118,-8.946,-0.2297,-0.1227,-9.1454,0.0755,0.2,0.4314,0.3922,0.1961,4.8847,1,-25.0759
39,40,0,-0.2297,-0.1227,-9.1454,-0.229,-0.1242,-9.2909,0.0755,0.1455,0.4314,0.3922,0.1961,5.0073,1,-24.9304
