node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 0.0177 -0.0039 -3.1992 0.0720 0.2000 0.4314 0.3922 0.1961 0.1606 1.0000 
1 2 0 0.0177 -0.0039 -3.1992 -0.0058 -0.0059 -3.3978 0.0720 0.2000 0.4314 0.3922 0.1961 0.3216 1.0000 
2 3 0 -0.0058 -0.0059 -3.3978 -0.0347 -0.0015 -3.5956 0.0720 0.2000 0.4314 0.3922 0.1961 0.4831 1.0000 
3 4 0 -0.0347 -0.0015 -3.5956 -0.0098 -0.0173 -3.7934 0.0720 0.2000 0.4314 0.3922 0.1961 0.6451 1.0000 
4 5 0 -0.0098 -0.0173 -3.7934 0.0094 -0.0301 -3.9921 0.0720 0.2000 0.4314 0.3922 0.1961 0.8075 1.0000 
5 6 0 0.0094 -0.0301 -3.9921 0.0225 -0.0469 -4.1910 0.0720 0.2000 0.4314 0.3922 0.1961 0.9704 1.0000 
6 7 0 0.0225 -0.0469 -4.1910 0.0320 -0.0635 -4.3900 0.0720 0.2000 0.4314 0.3922 0.1961 1.1338 1.0000 
7 8 0 0.0320 -0.0635 -4.3900 0.0371 -0.0569 -4.5899 0.0720 0.2000 0.4314 0.3922 0.1961 1.2977 1.0000 
8 9 0 0.0371 -0.0569 -4.5899 0.0371 -0.0492 -4.7897 0.0720 0.2000 0.4314 0.3922 0.1961 1.4621 1.0000 
9 10 0 0.0371 -0.0492 -4.7897 0.0372 -0.0408 -4.9895 0.0720 0.2000 0.4314 0.3922 0.1961 1.6270 1.0000 
10 11 0 0.0372 -0.0408 -4.9895 0.0396 -0.0512 -5.1893 0.0720 0.2000 0.4314 0.3922 0.1961 1.7923 1.0000 
11 12 0 0.0396 -0.0512 -5.1893 0.0395 -0.0514 -5.3893 0.0720 0.2000 0.4314 0.3922 0.1961 1.9582 1.0000 
12 13 0 0.0395 -0.0514 -5.3893 0.0389 -0.0527 -5.5893 0.0720 0.2000 0.4314 0.3922 0.1961 2.1245 1.0000 
13 14 0 0.0389 -0.0527 -5.5893 0.0375 -0.0707 -5.7884 0.0720 0.2000 0.4314 0.3922 0.1961 2.2914 1.0000 
14 15 0 0.0375 -0.0707 -5.7884 0.0522 -0.0792 -5.9877 0.0720 0.2000 0.4314 0.3922 0.1961 2.4588 1.0000 
15 16 0 0.0522 -0.0792 -5.9877 0.0513 -0.1070 -6.1858 0.0720 0.2000 0.4314 0.3922 0.1961 2.6266 1.0000 
16 17 0 0.0513 -0.1070 -6.1858 0.0504 -0.1348 -6.3838 0.0720 0.2000 0.4314 0.3922 0.1961 2.7950 1.0000 
17 18 0 0.0504 -0.1348 -6.3838 0.0512 -0.1604 -6.5822 0.0720 0.2000 0.4314 0.3922 0.1961 2.9639 1.0000 
18 19 0 0.0512 -0.1604 -6.5822 0.0529 -0.1658 -6.7821 0.0720 0.2000 0.4314 0.3922 0.1961 3.1333 1.0000 
19 20 0 0.0529 -0.1658 -6.7821 0.0601 -0.1698 -6.9819 0.0720 0.2000 0.4314 0.3922 0.1961 3.3032 1.0000 
20 21 0 0.0601 -0.1698 -6.9819 0.0540 -0.1617 -7.1817 0.0720 0.2000 0.4314 0.3922 0.1961 3.4737 1.0000 
21 22 0 0.0540 -0.1617 -7.1817 0.0390 -0.1942 -7.3785 0.0720 0.2000 0.4314 0.3922 0.1961 3.6447 1.0000 
22 23 0 0.0390 -0.1942 -7.3785 0.0264 -0.2134 -7.5771 0.0720 0.2000 0.4314 0.3922 0.1961 3.8162 1.0000 
