"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","z3"
0,1,0,0,0,-3,-0.0221,-0.0057,-3.1987,0.0735,0.2,0.4314,0.3922,0.1961,0.1547,1,-46.6377
1,2,0,-0.0221,-0.0057,-3.1987,-0.0444,-0.0129,-3.3973,0.0735,0.2,0.4314,0.3922,0.1961,0.31,1,-46.4391
2,3,0,-0.0444,-0.0129,-3.3973,-0.0455,-0.013,-3.41,0.0735,0.0127,0.4314,0.3922,0.1961,0.3199,1,-46.4264
3,4,0,-0.0455,-0.013,-3.41,-0.0658,-0.0057,-3.6088,0.0735,0.2,0.4314,0.3922,0.1961,0.4757,1,-46.2276
4,5,0,-0.0658,-0.0057,-3.6088,-0.0651,-2e-04,-3.8087,0.0735,0.2,0.4314,0.3922,0.1961,0.632,1,-46.0277
5,6,0,-0.0651,-2e-04,-3.8087,-0.0653,5e-04,-3.8227,0.0735,0.014,0.4314,0.3922,0.1961,0.643,1,-46.0137
6,7,0,-0.0653,5e-04,-3.8227,-0.0609,-1e-04,-4.0227,0.0735,0.2,0.4314,0.3922,0.1961,0.7999,1,-45.8137
7,8,0,-0.0609,-1e-04,-4.0227,-0.0574,-9e-04,-4.2227,0.0735,0.2,0.4314,0.3922,0.1961,0.9573,1,-45.6137
8,9,0,-0.0574,-9e-04,-4.2227,-0.0573,-8e-04,-4.2307,0.0735,0.0081,0.4314,0.3922,0.1961,0.9637,1,-45.6057
9,10,0,-0.0573,-8e-04,-4.2307,-0.059,0.0022,-4.4307,0.0735,0.2,0.4314,0.3922,0.1961,1.1216,1,-45.4057
10,11,0,-0.059,0.0022,-4.4307,-0.0644,0.008,-4.6267,0.0735,0.1961,0.4314,0.3922,0.1961,1.277,1,-45.2097
11,12,0,-0.0644,0.008,-4.6267,-0.0644,0.0168,-4.8265,0.0735,0.2,0.4314,0.3922,0.1961,1.4361,1,-45.0099
12,13,0,-0.0644,0.0168,-4.8265,-0.0646,0.0275,-5.0262,0.0735,0.2,0.4314,0.3922,0.1961,1.5956,1,-44.8102
13,14,0,-0.0646,0.0275,-5.0262,-0.0646,0.0277,-5.033,0.0735,0.0068,0.4314,0.3922,0.1961,1.601,1,-44.8034
14,15,0,-0.0646,0.0277,-5.033,-0.069,0.0549,-5.2311,0.0735,0.2,0.4314,0.3922,0.1961,1.7612,1,-44.6053
15,16,0,-0.069,0.0549,-5.2311,-0.0737,0.0752,-5.399,0.0735,0.1692,0.4314,0.3922,0.1961,1.897,1,-44.4374
16,17,0,-0.0737,0.0752,-5.399,-0.1045,0.081,-5.5965,0.0735,0.2,0.4314,0.3922,0.1961,2.0582,1,-44.2399
17,18,0,-0.1045,0.081,-5.5965,-0.119,0.0941,-5.7956,0.0735,0.2,0.4314,0.3922,0.1961,2.2199,1,-44.0408
18,19,0,-0.119,0.0941,-5.7956,-0.1192,0.0942,-5.7981,0.0735,0.0025,0.4314,0.3922,0.1961,2.2219,1,-44.0383
19,20,0,-0.1192,0.0942,-5.7981,-0.1072,0.0816,-5.9973,0.0735,0.2,0.4314,0.3922,0.1961,2.3841,1,-43.8391
20,21,0,-0.1072,0.0816,-5.9973,-0.1175,0.0546,-6.1883,0.0735,0.1932,0.4314,0.3922,0.1961,2.5414,1,-43.6481
21,22,0,-0.1175,0.0546,-6.1883,-0.1215,0.0421,-6.3879,0.0735,0.2,0.4314,0.3922,0.1961,2.7048,1,-43.4485
22,23,0,-0.1215,0.0421,-6.3879,-0.1253,0.0351,-6.5878,0.0735,0.2,0.4314,0.3922,0.1961,2.8687,1,-43.2486
23,24,0,-0.1253,0.0351,-6.5878,-0.1254,0.0349,-6.5952,0.0735,0.0074,0.4314,0.3922,0.1961,2.8748,1,-43.2412
24,25,0,-0.1254,0.0349,-6.5952,-0.1297,0.0326,-6.7951,0.0735,0.2,0.4314,0.3922,0.1961,3.0394,1,-43.0413
25,26,0,-0.1297,0.0326,-6.7951,-0.1344,0.0303,-6.9951,0.0735,0.2,0.4314,0.3922,0.1961,3.2045,1,-42.8413
26,27,0,-0.1344,0.0303,-6.9951,-0.1352,0.0305,-7.0103,0.0735,0.0153,0.4314,0.3922,0.1961,3.2171,1,-42.8261
27,28,0,-0.1352,0.0305,-7.0103,-0.1293,0.0127,-7.2095,0.0735,0.2,0.4314,0.3922,0.1961,3.3828,1,-42.6269
28,29,0,-0.1293,0.0127,-7.2095,-0.1236,-0.0012,-7.3758,0.0735,0.1671,0.4314,0.3922,0.1961,3.5217,1,-42.4606
29,30,0,-0.1236,-0.0012,-7.3758,-0.1204,-0.0105,-7.5756,0.0735,0.2,0.4314,0.3922,0.1961,3.6885,1,-42.2608
30,31,0,-0.1204,-0.0105,-7.5756,-0.1156,-0.0218,-7.7687,0.0735,0.1935,0.4314,0.3922,0.1961,3.8505,1,-42.0677
