node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 0.0011 0.0011 -3.2000 0.0641 0.2000 0.4314 0.3922 0.1961 0.1420 1.0000 
1 2 0 0.0011 0.0011 -3.2000 0.0025 0.0007 -3.3789 0.0641 0.1789 0.4314 0.3922 0.1961 0.2694 1.0000 
2 3 0 0.0025 0.0007 -3.3789 0.0104 -0.0003 -3.5787 0.0641 0.2000 0.4314 0.3922 0.1961 0.4123 1.0000 
3 4 0 0.0104 -0.0003 -3.5787 0.0103 0.0051 -3.7729 0.0641 0.1942 0.4314 0.3922 0.1961 0.5515 1.0000 
4 5 0 0.0103 0.0051 -3.7729 -0.0033 0.0116 -3.9723 0.0641 0.2000 0.4314 0.3922 0.1961 0.6953 1.0000 
5 6 0 -0.0033 0.0116 -3.9723 -0.0012 -0.0000 -4.1673 0.0641 0.1953 0.4314 0.3922 0.1961 0.8362 1.0000 
6 7 0 -0.0012 -0.0000 -4.1673 0.0001 -0.0131 -4.3668 0.0641 0.2000 0.4314 0.3922 0.1961 0.9810 1.0000 
7 8 0 0.0001 -0.0131 -4.3668 -0.0014 -0.0302 -4.5442 0.0641 0.1782 0.4314 0.3922 0.1961 1.1104 1.0000 
8 9 0 -0.0014 -0.0302 -4.5442 -0.0138 -0.0307 -4.7438 0.0641 0.2000 0.4314 0.3922 0.1961 1.2560 1.0000 
9 10 0 -0.0138 -0.0307 -4.7438 -0.0271 -0.0381 -4.9432 0.0641 0.2000 0.4314 0.3922 0.1961 1.4022 1.0000 
10 11 0 -0.0271 -0.0381 -4.9432 -0.0275 -0.0384 -4.9497 0.0641 0.0065 0.4314 0.3922 0.1961 1.4069 1.0000 
11 12 0 -0.0275 -0.0384 -4.9497 0.0039 -0.0061 -5.1446 0.0641 0.2000 0.4314 0.3922 0.1961 1.5536 1.0000 
