node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 0.0064 0.0134 -3.1785 0.2179 0.1792 0.4314 0.3922 0.1961 0.1413 1.0000 
1 2 0 0.0064 0.0134 -3.1785 -0.0004 0.0166 -3.3718 0.2179 0.1935 0.4314 0.3922 0.1961 0.2942 1.0000 
2 3 0 -0.0004 0.0166 -3.3718 0.0012 0.0154 -3.5183 0.2179 0.1464 0.4314 0.3922 0.1961 0.4103 1.0000 
3 4 0 0.0012 0.0154 -3.5183 0.0067 0.0083 -3.6023 0.2179 0.0845 0.4314 0.3922 0.1961 0.4775 1.0000 
4 5 0 0.0067 0.0083 -3.6023 0.0181 -0.0156 -3.8005 0.2179 0.2000 0.4314 0.3922 0.1961 0.6367 1.0000 
5 6 0 0.0181 -0.0156 -3.8005 0.0207 -0.0186 -3.9285 0.2179 0.1281 0.4314 0.3922 0.1961 0.7389 1.0000 
6 7 0 0.0207 -0.0186 -3.9285 0.0162 -0.0002 -4.1187 0.2179 0.1911 0.4314 0.3922 0.1961 0.8918 1.0000 
7 8 0 0.0162 -0.0002 -4.1187 0.0411 -0.0004 -4.3171 0.2179 0.2000 0.4314 0.3922 0.1961 1.0523 1.0000 
8 9 0 0.0411 -0.0004 -4.3171 0.0540 -0.0021 -4.4146 0.2179 0.0984 0.4314 0.3922 0.1961 1.1315 1.0000 
9 10 0 0.0540 -0.0021 -4.4146 0.0631 0.0053 -4.4994 0.2179 0.0856 0.4314 0.3922 0.1961 1.2004 1.0000 
10 11 0 0.0631 0.0053 -4.4994 0.0543 0.0234 -4.6984 0.2179 0.2000 0.4314 0.3922 0.1961 1.3620 1.0000 
11 12 0 0.0543 0.0234 -4.6984 0.0431 0.0392 -4.7925 0.2179 0.0961 0.4314 0.3922 0.1961 1.4397 1.0000 
12 13 0 0.0431 0.0392 -4.7925 0.0123 0.0556 -4.9715 0.2179 0.1823 0.4314 0.3922 0.1961 1.5876 1.0000 
13 14 0 0.0123 0.0556 -4.9715 0.0039 0.0592 -5.0203 0.2179 0.0497 0.4314 0.3922 0.1961 1.6280 1.0000 
14 15 0 0.0039 0.0592 -5.0203 -0.0013 0.0615 -5.0805 0.2179 0.0604 0.4314 0.3922 0.1961 1.6772 1.0000 
15 16 0 -0.0013 0.0615 -5.0805 -0.0161 0.0749 -5.2795 0.2179 0.2000 0.4314 0.3922 0.1961 1.8402 1.0000 
16 17 0 -0.0161 0.0749 -5.2795 -0.0170 0.0754 -5.2904 0.2179 0.0110 0.4314 0.3922 0.1961 1.8492 1.0000 
17 18 0 -0.0170 0.0754 -5.2904 -0.0271 0.0817 -5.4901 0.2179 0.2000 0.4314 0.3922 0.1961 2.0128 1.0000 
18 19 0 -0.0271 0.0817 -5.4901 -0.0276 0.0822 -5.5009 0.2179 0.0109 0.4314 0.3922 0.1961 2.0217 1.0000 
19 20 0 -0.0276 0.0822 -5.5009 -0.0300 0.0862 -5.5735 0.2179 0.0727 0.4314 0.3922 0.1961 2.0813 1.0000 
20 21 0 -0.0300 0.0862 -5.5735 -0.0294 0.0885 -5.6110 0.2179 0.0375 0.4314 0.3922 0.1961 2.1121 1.0000 
21 22 0 -0.0294 0.0885 -5.6110 -0.0266 0.0903 -5.6794 0.2179 0.0685 0.4314 0.3922 0.1961 2.1684 1.0000 
22 23 0 -0.0266 0.0903 -5.6794 -0.0234 0.0938 -5.7422 0.2179 0.0629 0.4314 0.3922 0.1961 2.2202 1.0000 
23 24 0 -0.0234 0.0938 -5.7422 -0.0153 0.0944 -5.8149 0.2179 0.0732 0.4314 0.3922 0.1961 2.2804 1.0000 
24 25 0 -0.0153 0.0944 -5.8149 -0.0053 0.0965 -5.9122 0.2179 0.0979 0.4314 0.3922 0.1961 2.3610 1.0000 
25 26 0 -0.0053 0.0965 -5.9122 0.0153 0.1002 -6.1111 0.2179 0.2000 0.4314 0.3922 0.1961 2.5263 1.0000 
26 27 0 0.0153 0.1002 -6.1111 0.0207 0.1012 -6.1599 0.2179 0.0491 0.4314 0.3922 0.1961 2.5669 1.0000 
27 28 0 0.0207 0.1012 -6.1599 0.0419 0.1023 -6.3587 0.2179 0.2000 0.4314 0.3922 0.1961 2.7328 1.0000 
28 29 0 0.0419 0.1023 -6.3587 0.0432 0.1026 -6.3887 0.2179 0.0300 0.4314 0.3922 0.1961 2.7578 1.0000 
29 30 0 0.0432 0.1026 -6.3887 0.0592 0.0957 -6.5880 0.2179 0.2000 0.4314 0.3922 0.1961 2.9243 1.0000 
30 31 0 0.0592 0.0957 -6.5880 0.0640 0.0937 -6.6963 0.2179 0.1084 0.4314 0.3922 0.1961 3.0148 1.0000 
31 32 0 0.0640 0.0937 -6.6963 0.0662 0.1027 -6.8960 0.2179 0.2000 0.4314 0.3922 0.1961 3.1822 1.0000 
32 33 0 0.0662 0.1027 -6.8960 0.0662 0.1027 -6.8970 0.2179 0.0009 0.4314 0.3922 0.1961 3.1830 1.0000 
33 34 0 0.0662 0.1027 -6.8970 0.0583 0.1204 -7.0960 0.2179 0.2000 0.4314 0.3922 0.1961 3.3509 1.0000 
34 35 0 0.0583 0.1204 -7.0960 0.0554 0.1270 -7.1749 0.2179 0.0792 0.4314 0.3922 0.1961 3.4176 1.0000 
35 36 0 0.0554 0.1270 -7.1749 0.0444 0.1272 -7.3568 0.2179 0.1822 0.4314 0.3922 0.1961 3.5713 1.0000 
36 37 0 0.0444 0.1272 -7.3568 0.0372 0.1166 -7.5564 0.2179 0.2000 0.4314 0.3922 0.1961 3.7406 1.0000 
37 38 0 0.0372 0.1166 -7.5564 0.0342 0.1107 -7.6268 0.2179 0.0708 0.4314 0.3922 0.1961 3.8006 1.0000 
