node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 0.0129 0.0170 -3.1989 0.0543 0.2000 0.4314 0.3922 0.1961 0.1531 1.0000 
1 2 0 0.0129 0.0170 -3.1989 0.0218 0.0256 -3.2987 0.0543 0.1006 0.4314 0.3922 0.1961 0.2303 1.0000 
2 3 0 0.0218 0.0256 -3.2987 0.0297 0.0272 -3.4680 0.0543 0.1696 0.4314 0.3922 0.1961 0.3608 1.0000 
3 4 0 0.0297 0.0272 -3.4680 0.0313 0.0328 -3.6680 0.0543 0.2000 0.4314 0.3922 0.1961 0.5152 1.0000 
4 5 0 0.0313 0.0328 -3.6680 0.0204 0.0431 -3.7535 0.0543 0.0868 0.4314 0.3922 0.1961 0.5825 1.0000 
5 6 0 0.0204 0.0431 -3.7535 0.0248 0.0490 -3.9533 0.0543 0.2000 0.4314 0.3922 0.1961 0.7378 1.0000 
6 7 0 0.0248 0.0490 -3.9533 0.0274 0.0462 -4.0282 0.0543 0.0750 0.4314 0.3922 0.1961 0.7961 1.0000 
7 8 0 0.0274 0.0462 -4.0282 0.0238 0.0451 -4.1365 0.0543 0.1084 0.4314 0.3922 0.1961 0.8807 1.0000 
8 9 0 0.0238 0.0451 -4.1365 0.0219 0.0418 -4.3365 0.0543 0.2000 0.4314 0.3922 0.1961 1.0371 1.0000 
9 10 0 0.0219 0.0418 -4.3365 0.0208 0.0416 -4.3718 0.0543 0.0353 0.4314 0.3922 0.1961 1.0648 1.0000 
10 11 0 0.0208 0.0416 -4.3718 0.0150 0.0461 -4.5302 0.0543 0.1585 0.4314 0.3922 0.1961 1.1894 1.0000 
11 12 0 0.0150 0.0461 -4.5302 0.0189 0.0369 -4.7201 0.0543 0.1903 0.4314 0.3922 0.1961 1.3393 1.0000 
12 13 0 0.0189 0.0369 -4.7201 -0.0054 0.0439 -4.8918 0.0543 0.1735 0.4314 0.3922 0.1961 1.4766 1.0000 
13 14 0 -0.0054 0.0439 -4.8918 -0.0239 0.0441 -5.0910 0.0543 0.2000 0.4314 0.3922 0.1961 1.6354 1.0000 
14 15 0 -0.0239 0.0441 -5.0910 -0.0265 0.0450 -5.1461 0.0543 0.0552 0.4314 0.3922 0.1961 1.6793 1.0000 
15 16 0 -0.0265 0.0450 -5.1461 -0.0336 0.0399 -5.2430 0.0543 0.0974 0.4314 0.3922 0.1961 1.7569 1.0000 
16 17 0 -0.0336 0.0399 -5.2430 -0.0377 0.0368 -5.4091 0.0543 0.1662 0.4314 0.3922 0.1961 1.8897 1.0000 
17 18 0 -0.0377 0.0368 -5.4091 -0.0315 0.0330 -5.5644 0.0543 0.1554 0.4314 0.3922 0.1961 2.0144 1.0000 
18 19 0 -0.0315 0.0330 -5.5644 -0.0309 0.0238 -5.7388 0.0543 0.1746 0.4314 0.3922 0.1961 2.1549 1.0000 
19 20 0 -0.0309 0.0238 -5.7388 -0.0204 0.0193 -5.9385 0.0543 0.2000 0.4314 0.3922 0.1961 2.3163 1.0000 
20 21 0 -0.0204 0.0193 -5.9385 -0.0152 0.0258 -6.0225 0.0543 0.0844 0.4314 0.3922 0.1961 2.3847 1.0000 
21 22 0 -0.0152 0.0258 -6.0225 -0.0102 0.0403 -6.2032 0.0543 0.1814 0.4314 0.3922 0.1961 2.5320 1.0000 
22 23 0 -0.0102 0.0403 -6.2032 0.0069 0.0573 -6.4018 0.0543 0.2000 0.4314 0.3922 0.1961 2.6950 1.0000 
23 24 0 0.0069 0.0573 -6.4018 0.0071 0.0576 -6.4084 0.0543 0.0067 0.4314 0.3922 0.1961 2.7004 1.0000 
24 25 0 0.0071 0.0576 -6.4084 0.0223 0.0573 -6.6079 0.0543 0.2000 0.4314 0.3922 0.1961 2.8641 1.0000 
25 26 0 0.0223 0.0573 -6.6079 0.0304 0.0554 -6.6829 0.0543 0.0755 0.4314 0.3922 0.1961 2.9261 1.0000 
26 27 0 0.0304 0.0554 -6.6829 0.0468 0.0521 -6.8312 0.0543 0.1492 0.4314 0.3922 0.1961 3.0488 1.0000 
27 28 0 0.0468 0.0521 -6.8312 0.0766 0.0531 -7.0289 0.0543 0.2000 0.4314 0.3922 0.1961 3.2139 1.0000 
28 29 0 0.0766 0.0531 -7.0289 0.0816 0.0502 -7.1049 0.0543 0.0762 0.4314 0.3922 0.1961 3.2770 1.0000 
29 30 0 0.0816 0.0502 -7.1049 0.0828 0.0462 -7.2046 0.0543 0.0997 0.4314 0.3922 0.1961 3.3597 1.0000 
30 31 0 0.0828 0.0462 -7.2046 0.0843 0.0432 -7.3225 0.0543 0.1180 0.4314 0.3922 0.1961 3.4578 1.0000 
31 32 0 0.0843 0.0432 -7.3225 0.1042 0.0415 -7.5215 0.0543 0.2000 0.4314 0.3922 0.1961 3.6246 1.0000 
32 33 0 0.1042 0.0415 -7.5215 0.1185 0.0222 -7.6854 0.0543 0.1657 0.4314 0.3922 0.1961 3.7633 1.0000 
33 34 0 0.1185 0.0222 -7.6854 0.1318 -0.0133 -7.8818 0.0543 0.2000 0.4314 0.3922 0.1961 3.9314 1.0000 
34 35 0 0.1318 -0.0133 -7.8818 0.1373 -0.0357 -8.0511 0.0543 0.1709 0.4314 0.3922 0.1961 4.0755 1.0000 
35 36 0 0.1373 -0.0357 -8.0511 0.1265 -0.0286 -8.2507 0.0543 0.2000 0.4314 0.3922 0.1961 4.2449 1.0000 
36 37 0 0.1265 -0.0286 -8.2507 0.1266 -0.0284 -8.2716 0.0543 0.0209 0.4314 0.3922 0.1961 4.2627 1.0000 
37 38 0 0.1266 -0.0284 -8.2716 0.1298 -0.0276 -8.4163 0.0543 0.1447 0.4314 0.3922 0.1961 4.3857 1.0000 
38 39 0 0.1298 -0.0276 -8.4163 0.1249 -0.0364 -8.6160 0.0543 0.2000 0.4314 0.3922 0.1961 4.5564 1.0000 
39 40 0 0.1249 -0.0364 -8.6160 0.1247 -0.0368 -8.6240 0.0543 0.0079 0.4314 0.3922 0.1961 4.5632 1.0000 
40 41 0 0.1247 -0.0368 -8.6240 0.1191 -0.0488 -8.7739 0.0543 0.1506 0.4314 0.3922 0.1961 4.6922 1.0000 
41 42 0 0.1191 -0.0488 -8.7739 0.1219 -0.0526 -8.8701 0.0543 0.0963 0.4314 0.3922 0.1961 4.7749 1.0000 
42 43 0 0.1219 -0.0526 -8.8701 0.1329 -0.0688 -9.0692 0.0543 0.2000 0.4314 0.3922 0.1961 4.9472 1.0000 
43 44 0 0.1329 -0.0688 -9.0692 0.1362 -0.0738 -9.1288 0.0543 0.0599 0.4314 0.3922 0.1961 4.9990 1.0000 
44 45 0 0.1362 -0.0738 -9.1288 0.1425 -0.0725 -9.2855 0.0543 0.1569 0.4314 0.3922 0.1961 5.1348 1.0000 
45 46 0 0.1425 -0.0725 -9.2855 0.1509 -0.0769 -9.4853 0.0543 0.2000 0.4314 0.3922 0.1961 5.3087 1.0000 
46 47 0 0.1509 -0.0769 -9.4853 0.1530 -0.0771 -9.5701 0.0543 0.0848 0.4314 0.3922 0.1961 5.3827 1.0000 
47 48 0 0.1530 -0.0771 -9.5701 0.1546 -0.0767 -9.6559 0.0543 0.0858 0.4314 0.3922 0.1961 5.4577 1.0000 
48 49 0 0.1546 -0.0767 -9.6559 0.1619 -0.0629 -9.7852 0.0543 0.1303 0.4314 0.3922 0.1961 5.5718 1.0000 
49 50 0 0.1619 -0.0629 -9.7852 0.1536 -0.0399 -9.9492 0.0543 0.1658 0.4314 0.3922 0.1961 5.7174 1.0000 
