node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -0.0000 0.0012 0.0154 -0.1994 0.0585 0.2000 0.4314 0.3922 0.1961 0.1648 1.0000 
1 2 0 0.0012 0.0154 -0.1994 -0.0003 0.0151 -0.2319 0.0585 0.0325 0.4314 0.3922 0.1961 0.1917 1.0000 
2 3 0 -0.0003 0.0151 -0.2319 -0.0158 0.0125 -0.4313 0.0585 0.2000 0.4314 0.3922 0.1961 0.3574 1.0000 
3 4 0 -0.0158 0.0125 -0.4313 -0.0207 0.0098 -0.4967 0.0585 0.0657 0.4314 0.3922 0.1961 0.4119 1.0000 
4 5 0 -0.0207 0.0098 -0.4967 -0.0204 -0.0037 -0.6962 0.0585 0.2000 0.4314 0.3922 0.1961 0.5784 1.0000 
5 6 0 -0.0204 -0.0037 -0.6962 -0.0168 -0.0074 -0.7837 0.0585 0.0876 0.4314 0.3922 0.1961 0.6516 1.0000 
6 7 0 -0.0168 -0.0074 -0.7837 -0.0103 -0.0142 -0.9455 0.0585 0.1621 0.4314 0.3922 0.1961 0.7874 1.0000 
7 8 0 -0.0103 -0.0142 -0.9455 -0.0044 -0.0132 -1.1189 0.0585 0.1735 0.4314 0.3922 0.1961 0.9332 1.0000 
8 9 0 -0.0044 -0.0132 -1.1189 0.0006 -0.0256 -1.3185 0.0585 0.2000 0.4314 0.3922 0.1961 1.1020 1.0000 
9 10 0 0.0006 -0.0256 -1.3185 0.0052 -0.0242 -1.3997 0.0585 0.0814 0.4314 0.3922 0.1961 1.1708 1.0000 
10 11 0 0.0052 -0.0242 -1.3997 0.0100 -0.0305 -1.4828 0.0585 0.0835 0.4314 0.3922 0.1961 1.2416 1.0000 
11 12 0 0.0100 -0.0305 -1.4828 0.0183 -0.0225 -1.6825 0.0585 0.2000 0.4314 0.3922 0.1961 1.4117 1.0000 
12 13 0 0.0183 -0.0225 -1.6825 0.0241 -0.0230 -1.7344 0.0585 0.0522 0.4314 0.3922 0.1961 1.4562 1.0000 
13 14 0 0.0241 -0.0230 -1.7344 0.0348 -0.0451 -1.9329 0.0585 0.2000 0.4314 0.3922 0.1961 1.6272 1.0000 
14 15 0 0.0348 -0.0451 -1.9329 0.0392 -0.0490 -1.9781 0.0585 0.0455 0.4314 0.3922 0.1961 1.6662 1.0000 
15 16 0 0.0392 -0.0490 -1.9781 0.0525 -0.0520 -2.1055 0.0585 0.1282 0.4314 0.3922 0.1961 1.7763 1.0000 
16 17 0 0.0525 -0.0520 -2.1055 0.0484 -0.0665 -2.3049 0.0585 0.2000 0.4314 0.3922 0.1961 1.9486 1.0000 
17 18 0 0.0484 -0.0665 -2.3049 0.0680 -0.0743 -2.4577 0.0585 0.1543 0.4314 0.3922 0.1961 2.0821 1.0000 
18 19 0 0.0680 -0.0743 -2.4577 0.0880 -0.0758 -2.6567 0.0585 0.2000 0.4314 0.3922 0.1961 2.2558 1.0000 
19 20 0 0.0880 -0.0758 -2.6567 0.0959 -0.0779 -2.7500 0.0585 0.0936 0.4314 0.3922 0.1961 2.3374 1.0000 
20 21 0 0.0959 -0.0779 -2.7500 0.1064 -0.0681 -2.9077 0.0585 0.1584 0.4314 0.3922 0.1961 2.4758 1.0000 
21 22 0 0.1064 -0.0681 -2.9077 0.0743 -0.0623 -3.1051 0.0585 0.2000 0.4314 0.3922 0.1961 2.6512 1.0000 
22 23 0 0.0743 -0.0623 -3.1051 0.0721 -0.0618 -3.1211 0.0585 0.0162 0.4314 0.3922 0.1961 2.6655 1.0000 
23 24 0 0.0721 -0.0618 -3.1211 0.0688 -0.0475 -3.3181 0.0585 0.1976 0.4314 0.3922 0.1961 2.8396 1.0000 
24 25 0 0.0688 -0.0475 -3.3181 0.0639 -0.0308 -3.5174 0.0585 0.2000 0.4314 0.3922 0.1961 3.0166 1.0000 
25 26 0 0.0639 -0.0308 -3.5174 0.0613 -0.0305 -3.5547 0.0585 0.0375 0.4314 0.3922 0.1961 3.0499 1.0000 
26 27 0 0.0613 -0.0305 -3.5547 0.0616 -0.0291 -3.7225 0.0585 0.1678 0.4314 0.3922 0.1961 3.1991 1.0000 
27 28 0 0.0616 -0.0291 -3.7225 0.0625 -0.0280 -3.9225 0.0585 0.2000 0.4314 0.3922 0.1961 3.3778 1.0000 
28 29 0 0.0625 -0.0280 -3.9225 0.0401 -0.0115 -4.0496 0.0585 0.1301 0.4314 0.3922 0.1961 3.4944 1.0000 
29 30 0 0.0401 -0.0115 -4.0496 0.0231 -0.0009 -4.2486 0.0585 0.2000 0.4314 0.3922 0.1961 3.6744 1.0000 
30 31 0 0.0231 -0.0009 -4.2486 0.0172 0.0057 -4.3373 0.0585 0.0891 0.4314 0.3922 0.1961 3.7549 1.0000 
31 32 0 0.0172 0.0057 -4.3373 0.0076 0.0206 -4.5294 0.0585 0.1929 0.4314 0.3922 0.1961 3.9297 1.0000 
32 33 0 0.0076 0.0206 -4.5294 0.0073 0.0235 -4.5562 0.0585 0.0270 0.4314 0.3922 0.1961 3.9542 1.0000 
33 34 0 0.0073 0.0235 -4.5562 0.0091 0.0337 -4.6911 0.0585 0.1353 0.4314 0.3922 0.1961 4.0772 1.0000 
