id,order_id,order,type,x,y
1,1,Taproot,kr,0,8.17E-08
2,1,Taproot,kr,1,8.17E-08
3,1,Taproot,kr,2,8.17E-08
4,1,Taproot,kr,3,8.17E-08
5,1,Taproot,kr,4,8.17E-08
6,1,Taproot,kr,5,8.17E-08
7,1,Taproot,kr,6,8.17E-08
8,1,Taproot,kr,7,8.17E-08
9,1,Taproot,kr,8,7.03E-08
10,1,Taproot,kr,9,7.03E-08
11,1,Taproot,kr,10,7.03E-08
12,1,Taproot,kr,11,7.03E-08
13,1,Taproot,kr,12,7.03E-08
14,1,Taproot,kr,13,7.03E-08
15,1,Taproot,kr,14,7.03E-08
16,1,Taproot,kr,15,7.03E-08
17,1,Taproot,kr,16,7.03E-08
18,1,Taproot,kr,17,7.03E-08
19,1,Taproot,kr,18,7.03E-08
20,1,Taproot,kr,19,7.03E-08
21,1,Taproot,kr,20,7.03E-08
22,1,Taproot,kr,21,7.03E-08
23,1,Taproot,kr,22,7.03E-08
24,1,Taproot,kr,23,7.03E-08
25,1,Taproot,kr,24,7.03E-08
26,1,Taproot,kr,25,6.38E-08
27,1,Taproot,kr,26,6.38E-08
28,1,Taproot,kr,27,5.23E-08
29,1,Taproot,kr,28,4.82E-08
30,1,Taproot,kr,29,4.52E-08
31,1,Taproot,kr,30,4.15E-08
32,1,Taproot,kx,0,8.17E-08
33,1,Taproot,kx,1,8.17E-08
34,1,Taproot,kx,2,8.17E-08
35,1,Taproot,kx,3,8.17E-08
36,1,Taproot,kx,4,8.17E-08
37,1,Taproot,kx,5,8.17E-08
38,1,Taproot,kx,6,8.17E-08
39,1,Taproot,kx,7,8.17E-08
40,1,Taproot,kx,8,7.03E-08
41,1,Taproot,kx,9,7.03E-08
42,1,Taproot,kx,10,7.03E-08
43,1,Taproot,kx,11,7.03E-08
44,1,Taproot,kx,12,7.03E-08
45,1,Taproot,kx,13,7.03E-08
46,1,Taproot,kx,14,7.03E-08
47,1,Taproot,kx,15,7.03E-08
48,1,Taproot,kx,16,7.03E-08
49,1,Taproot,kx,17,7.03E-08
50,1,Taproot,kx,18,7.03E-08
51,1,Taproot,kx,19,7.03E-08
52,1,Taproot,kx,20,7.03E-08
53,1,Taproot,kx,21,7.03E-08
54,1,Taproot,kx,22,7.03E-08
55,1,Taproot,kx,23,7.03E-08
56,1,Taproot,kx,24,7.03E-08
57,1,Taproot,kx,25,0.2070076
58,1,Taproot,kx,26,0.3204593
59,1,Taproot,kx,27,0.496089
60,1,Taproot,kx,28,0.7679735
61,1,Taproot,kx,29,1.188866
62,1,Taproot,kx,30,1.840431
63,2,Lateral,kr,0,7.03E-08
64,2,Lateral,kr,1,7.03E-08
65,2,Lateral,kr,2,7.03E-08
66,2,Lateral,kr,3,7.03E-08
67,2,Lateral,kr,4,7.03E-08
68,2,Lateral,kr,5,7.03E-08
69,2,Lateral,kr,6,7.03E-08
70,2,Lateral,kr,7,7.03E-08
71,2,Lateral,kr,8,7.03E-08
72,2,Lateral,kr,9,7.03E-08
73,2,Lateral,kr,10,7.03E-08
74,2,Lateral,kr,11,7.03E-08
75,2,Lateral,kr,12,7.03E-08
76,2,Lateral,kr,13,7.03E-08
77,2,Lateral,kr,14,7.03E-08
78,2,Lateral,kr,15,7.03E-08
79,2,Lateral,kr,16,7.03E-08
80,2,Lateral,kr,17,7.03E-08
81,2,Lateral,kr,18,7.03E-08
82,2,Lateral,kr,19,7.03E-08
83,2,Lateral,kr,20,7.03E-08
84,2,Lateral,kr,21,7.03E-08
85,2,Lateral,kr,22,7.03E-08
86,2,Lateral,kr,23,7.03E-08
87,2,Lateral,kr,24,7.03E-08
88,2,Lateral,kr,25,7.03E-08
89,2,Lateral,kr,26,7.03E-08
90,2,Lateral,kr,27,7.03E-08
91,2,Lateral,kr,28,7.03E-08
92,2,Lateral,kr,29,7.03E-08
93,2,Lateral,kr,30,7.03E-08
94,2,Lateral,kx,0,0.02472353
95,2,Lateral,kx,1,0.02472353
96,2,Lateral,kx,2,0.02472353
97,2,Lateral,kx,3,0.02472353
98,2,Lateral,kx,4,0.02472353
99,2,Lateral,kx,5,0.02472353
100,2,Lateral,kx,6,0.02472353
101,2,Lateral,kx,7,0.02472353
102,2,Lateral,kx,8,0.02472353
103,2,Lateral,kx,9,0.02472353
104,2,Lateral,kx,10,0.02472353
105,2,Lateral,kx,11,0.02472353
106,2,Lateral,kx,12,0.02472353
107,2,Lateral,kx,13,0.02472353
108,2,Lateral,kx,14,0.02472353
109,2,Lateral,kx,15,0.02472353
110,2,Lateral,kx,16,0.02472353
111,2,Lateral,kx,17,0.02472353
112,2,Lateral,kx,18,0.02472353
113,2,Lateral,kx,19,0.02472353
114,2,Lateral,kx,20,0.02472353
115,2,Lateral,kx,21,0.02472353
116,2,Lateral,kx,22,0.02472353
117,2,Lateral,kx,23,0.02472353
118,2,Lateral,kx,24,0.02472353
119,2,Lateral,kx,25,0.02472353
120,2,Lateral,kx,26,0.02472353
121,2,Lateral,kx,27,0.02472353
122,2,Lateral,kx,28,0.02472353
123,2,Lateral,kx,29,0.02472353
124,2,Lateral,kx,30,0.02472353
