node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 -0.0016 0.0001 -3.2000 0.0662 0.2000 0.4314 0.3922 0.1961 0.1379 1.0000 
1 2 0 -0.0016 0.0001 -3.2000 -0.0006 0.0104 -3.3783 0.0662 0.1786 0.4314 0.3922 0.1961 0.2616 1.0000 
2 3 0 -0.0006 0.0104 -3.3783 -0.0052 0.0053 -3.5782 0.0662 0.2000 0.4314 0.3922 0.1961 0.4005 1.0000 
3 4 0 -0.0052 0.0053 -3.5782 0.0108 0.0120 -3.7612 0.0662 0.1838 0.4314 0.3922 0.1961 0.5287 1.0000 
4 5 0 0.0108 0.0120 -3.7612 0.0241 0.0240 -3.9603 0.0662 0.2000 0.4314 0.3922 0.1961 0.6687 1.0000 
5 6 0 0.0241 0.0240 -3.9603 0.0267 0.0056 -4.1595 0.0662 0.2000 0.4314 0.3922 0.1961 0.8092 1.0000 
6 7 0 0.0267 0.0056 -4.1595 0.0273 0.0047 -4.1704 0.0662 0.0110 0.4314 0.3922 0.1961 0.8169 1.0000 
7 8 0 0.0273 0.0047 -4.1704 0.0683 -0.0135 -4.3654 0.0662 0.2000 0.4314 0.3922 0.1961 0.9580 1.0000 
8 9 0 0.0683 -0.0135 -4.3654 0.1125 -0.0350 -4.5482 0.0662 0.1894 0.4314 0.3922 0.1961 1.0921 1.0000 
9 10 0 0.1125 -0.0350 -4.5482 0.1397 -0.0871 -4.7394 0.0662 0.2000 0.4314 0.3922 0.1961 1.2343 1.0000 
10 11 0 0.1397 -0.0871 -4.7394 0.1429 -0.1389 -4.9305 0.0662 0.1980 0.4314 0.3922 0.1961 1.3757 1.0000 
11 12 0 0.1429 -0.1389 -4.9305 0.1155 -0.1421 -5.1286 0.0662 0.2000 0.4314 0.3922 0.1961 1.5190 1.0000 
12 13 0 0.1155 -0.1421 -5.1286 0.1032 -0.1695 -5.3168 0.0662 0.1906 0.4314 0.3922 0.1961 1.6561 1.0000 
13 14 0 0.1032 -0.1695 -5.3168 0.0917 -0.1620 -5.5163 0.0662 0.2000 0.4314 0.3922 0.1961 1.8005 1.0000 
