node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -3.0000 0.0012 -0.0027 -3.0096 0.0975 0.0100 0.0000 0.0000 205.0000 0.0028 1.0000 
1 2 0 0.0012 -0.0027 -3.0096 0.0244 -0.0539 -3.1927 0.0975 0.1916 0.0000 0.0000 205.0000 0.0558 1.0000 
2 3 0 0.0244 -0.0539 -3.1927 0.0491 -0.0953 -3.3999 0.0975 0.2127 0.0000 0.0000 205.0000 0.1146 1.0000 
3 4 0 0.0491 -0.0953 -3.3999 0.0727 -0.1341 -3.5978 0.0975 0.2030 0.0000 0.0000 205.0000 0.1709 1.0000 
4 5 0 0.0727 -0.1341 -3.5978 0.0930 -0.1693 -3.7752 0.0975 0.1819 0.0000 0.0000 205.0000 0.2213 1.0000 
5 6 0 0.0930 -0.1693 -3.7752 0.1087 -0.2169 -3.9814 0.0975 0.2122 0.0000 0.0000 205.0000 0.2802 1.0000 
6 7 0 0.1087 -0.2169 -3.9814 0.1213 -0.2587 -4.1751 0.0975 0.1986 0.0000 0.0000 205.0000 0.3353 1.0000 
7 8 0 0.1213 -0.2587 -4.1751 0.1327 -0.2916 -4.3689 0.0975 0.1969 0.0000 0.0000 205.0000 0.3900 1.0000 
8 9 0 0.1327 -0.2916 -4.3689 0.1432 -0.3274 -4.5753 0.0975 0.2098 0.0000 0.0000 205.0000 0.4484 1.0000 
9 10 0 0.1432 -0.3274 -4.5753 0.1525 -0.3611 -4.7545 0.0975 0.1825 0.0000 0.0000 205.0000 0.4992 1.0000 
10 11 0 0.1525 -0.3611 -4.7545 0.1626 -0.3992 -4.9564 0.0975 0.2057 0.0000 0.0000 205.0000 0.5565 1.0000 
11 12 0 0.1626 -0.3992 -4.9564 0.1703 -0.4394 -5.1690 0.0975 0.2166 0.0000 0.0000 205.0000 0.6169 1.0000 
12 13 0 0.1703 -0.4394 -5.1690 0.1814 -0.4843 -5.3558 0.0975 0.1924 0.0000 0.0000 205.0000 0.6705 1.0000 
13 14 0 0.1814 -0.4843 -5.3558 0.1931 -0.5306 -5.5634 0.0975 0.2131 0.0000 0.0000 205.0000 0.7300 1.0000 
