"","X","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","kr","kx","suf","jr","jxl","psi"
"1",1,0,1,0,0,0,-3,0.0129,0.017,-3.1989,0.849645563990649,0.2,0.4314,0.3922,0.1961,0.1531,"1",7.0312e-08,0.198815513413122,0.00134982533804297,0.00110352531749901,0.817531933057119,-14999.178152498
"2",2,1,2,0,0.0129,0.017,-3.1989,0.0218,0.0256,-3.2987,0.829536639286344,0.1006,0.4314,0.3922,0.1961,0.2303,"1",7.0312e-08,0.197261930436673,0.000662865311981878,0.000541913559664263,0.784498201277871,-14998.7782108545
"3",3,2,3,0,0.0218,0.0256,-3.2987,0.0297,0.0272,-3.468,0.796506491208365,0.1696,0.4314,0.3922,0.1961,0.3608,"1",7.0312e-08,0.194635731234256,0.0010729782306867,0.000877193966742958,0.783956287712541,-14998.095475989
"4",4,3,4,0,0.0297,0.0272,-3.468,0.0313,0.0328,-3.668,0.759177248397245,0.2,0.4314,0.3922,0.1961,0.5152,"1",7.0312e-08,0.191528565281358,0.00120594429304962,0.000985897968698035,0.751724959957525,-14997.3110164955
"5",5,4,5,0,0.0313,0.0328,-3.668,0.0204,0.0431,-3.7535,0.74375767711808,0.0868,0.4314,0.3922,0.1961,0.5825,"1",7.0312e-08,0.19017421120992,0.000512729944406338,0.000419173102434563,0.739242630976784,-14996.9737043658
"6",6,5,6,0,0.0204,0.0431,-3.7535,0.0248,0.049,-3.9533,0.708934599503621,0.2,0.4314,0.3922,0.1961,0.7378,"1",7.0312e-08,0.187048933538385,0.00112604828325307,0.000920580429389231,0.738823457877808,-14996.184217733
"7",7,6,7,0,0.0248,0.049,-3.9533,0.0274,0.0462,-4.0282,0.696304649234043,0.075,0.4314,0.3922,0.1961,0.7961,"1",7.0312e-08,0.18587569665332,0.000414730038673812,0.00033905505009073,0.712632614900488,-14995.896742111
"8",8,7,8,0,0.0274,0.0462,-4.0282,0.0238,0.0451,-4.1365,0.678439480300573,0.1084,0.4314,0.3922,0.1961,0.8807,"1",7.0312e-08,0.184173195101409,0.0005840296394865,0.000477462879958663,0.712293559853279,-14995.4776434293
"9",9,8,9,0,0.0238,0.0451,-4.1365,0.0219,0.0418,-4.3365,0.646643591161778,0.2,0.4314,0.3922,0.1961,1.0371,"1",7.0312e-08,0.181100199123642,0.00102700329788641,0.000839607991072218,0.701078897171476,-14994.703862845
"10",10,9,10,0,0.0219,0.0418,-4.3365,0.0208,0.0416,-4.3718,0.641188367613325,0.0353,0.4314,0.3922,0.1961,1.0648,"1",7.0312e-08,0.180598323616019,0.000179731341718612,0.000146936111172807,0.67750928923522,-14994.5714502954
"11",11,10,11,0,0.0208,0.0416,-4.3718,0.015,0.0461,-4.5302,0.617270462643839,0.1585,0.4314,0.3922,0.1961,1.1894,"1",7.0312e-08,0.178340789744185,0.000776886166888988,0.000635129249551447,0.677362353135366,-14993.9697281723
"12",12,11,12,0,0.015,0.0461,-4.5302,0.0189,0.0369,-4.7201,0.589769202982124,0.1903,0.4314,0.3922,0.1961,1.3393,"1",7.0312e-08,0.175624864163223,0.000891156865579584,0.000728549194709833,0.653268063344382,-14993.2622680354
