"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","suf","kr","kx","jr","jxl","psi"
"1",0,1,0,0,0,-3,0.0129,0.017,-3.1989,0.849645563990649,0.2,0.4314,0.3922,0.1961,0.1531,1,0.00291662964313556,1.211e-05,43.2,0.0151995654646383,21.7979419647425,-14999.8991187867
"2",1,2,0,0.0129,0.017,-3.1989,0.0218,0.0256,-3.2987,0.829536639286344,0.1006,0.4314,0.3922,0.1961,0.2303,1,0.00143232102475297,1.211e-05,43.2,0.00769684075046232,21.7827423994475,-14999.8484021957
"3",2,3,0,0.0218,0.0256,-3.2987,0.0297,0.0272,-3.468,0.796506491208365,0.1696,0.4314,0.3922,0.1961,0.3608,1,0.0023185475014422,1.211e-05,43.2,0.0130981329824665,21.7599709493172,-14999.762999873
"4",3,4,0,0.0297,0.0272,-3.468,0.0313,0.0328,-3.668,0.759177248397245,0.2,0.4314,0.3922,0.1961,0.5152,1,0.00260594937218554,1.211e-05,43.2,0.0155700998782107,21.5892611388997,-14999.6630856323
"5",4,5,0,0.0313,0.0328,-3.668,0.0204,0.0431,-3.7535,0.74375767711808,0.0868,0.4314,0.3922,0.1961,0.5825,1,0.00110799509352564,1.211e-05,43.2,0.00677416935603298,21.5736910382296,-14999.6197452994
"6",5,6,0,0.0204,0.0431,-3.7535,0.0248,0.049,-3.9533,0.708934599503621,0.2,0.4314,0.3922,0.1961,0.7378,1,0.00243341847809114,1.211e-05,43.2,0.0156692712125287,21.4081333689581,-14999.5206698427
"7",6,7,0,0.0248,0.049,-3.9533,0.0274,0.0462,-4.0282,0.696304649234043,0.075,0.4314,0.3922,0.1961,0.7961,1,0.000896263020870922,1.211e-05,43.2,0.00588039968074833,21.3924640963826,-14999.4835352526
"8",7,8,0,0.0274,0.0462,-4.0282,0.0238,0.0451,-4.1365,0.678439480300573,0.1084,0.4314,0.3922,0.1961,0.8807,1,0.00126215173717169,1.211e-05,43.2,0.00850353682325759,21.2221536940615,-14999.4302940358
"9",8,9,0,0.0238,0.0451,-4.1365,0.0219,0.0418,-4.3365,0.646643591161778,0.2,0.4314,0.3922,0.1961,1.0371,1,0.00221952494994071,1.211e-05,43.2,0.015676428100577,21.0555685093943,-14999.3328508404
"10",9,10,0,0.0219,0.0418,-4.3365,0.0208,0.0416,-4.3718,0.641188367613325,0.0353,0.4314,0.3922,0.1961,1.0648,1,0.000388437169687801,1.211e-05,43.2,0.00276579049577787,21.039892079478,-14999.3156596512
"11",10,11,0,0.0208,0.0416,-4.3718,0.015,0.0461,-4.5302,0.617270462643839,0.1585,0.4314,0.3922,0.1961,1.1894,1,0.00167904170932769,1.211e-05,43.2,0.0123883921867313,20.876822240206,-14999.2390857036
"12",11,12,0,0.015,0.0461,-4.5302,0.0189,0.0369,-4.7201,0.589769202982124,0.1903,0.4314,0.3922,0.1961,1.3393,1,0.0019260654457531,1.211e-05,43.2,0.0148064677104942,20.7057261047152,-14999.1479076751
"13",12,13,0,0.0189,0.0369,-4.7201,-0.0054,0.0439,-4.8918,0.5659599290594,0.1735,0.4314,0.3922,0.1961,1.4766,1,0.0016851115334344,1.211e-05,43.2,0.013425156316266,20.53219812747,-14999.0654731442
"14",13,14,0,-0.0054,0.0439,-4.8918,-0.0239,0.0441,-5.091,0.539539112083874,0.2,0.4314,0.3922,0.1961,1.6354,1,0.00185178156425749,1.211e-05,43.2,0.0153535728664821,20.3618141657925,-14998.971241027
"15",14,15,0,-0.0239,0.0441,-5.091,-0.0265,0.045,-5.1461,0.532451215329557,0.0552,0.4314,0.3922,0.1961,1.6793,1,0.000504372309511175,1.211e-05,43.2,0.00422706747987146,20.346460594745,-14998.9452454724
"16",15,16,0,-0.0265,0.045,-5.1461,-0.0336,0.0399,-5.243,0.520211406013381,0.0974,0.4314,0.3922,0.1961,1.7569,1,0.000869497864795669,1.211e-05,43.2,0.00742432723833729,20.1841105800482,-14998.8997461483
"17",16,17,0,-0.0336,0.0399,-5.243,-0.0377,0.0368,-5.4091,0.499881604299728,0.1662,0.4314,0.3922,0.1961,1.8897,1,0.00142568445588243,1.211e-05,43.2,0.0125590178634415,20.0209774915629,-14998.8227451576
"18",17,18,0,-0.0377,0.0368,-5.4091,-0.0315,0.033,-5.5644,0.481592961461427,0.1554,0.4314,0.3922,0.1961,2.0144,1,0.00128425441988127,1.211e-05,43.2,0.011637860873401,19.8538171160693,-14998.7513474976
"19",18,19,0,-0.0315,0.033,-5.5644,-0.0309,0.0238,-5.7388,0.461851439100755,0.1746,0.4314,0.3922,0.1961,2.1549,1,0.00138376119905857,1.211e-05,43.2,0.0129325326976105,19.6902565475538,-14998.6717921787
"20",19,20,0,-0.0309,0.0238,-5.7388,-0.0204,0.0193,-5.9385,0.440237907205548,0.2,0.4314,0.3922,0.1961,2.3163,1,0.00151086671052749,1.211e-05,43.2,0.0146117473983463,19.5281666157041,-14998.5814178236
"21",20,21,0,-0.0204,0.0193,-5.9385,-0.0152,0.0258,-6.0225,0.431451574807378,0.0844,0.4314,0.3922,0.1961,2.3847,1,0.000624854369642614,1.211e-05,43.2,0.00612844761934056,19.513554867743,-14998.5433001058
"22",21,22,0,-0.0152,0.0258,-6.0225,-0.0102,0.0403,-6.2032,0.413140314156746,0.1814,0.4314,0.3922,0.1961,2.532,1,0.00128598263513452,1.211e-05,43.2,0.0129911216398973,19.3607053120134,-14998.4620303456
"23",22,23,0,-0.0102,0.0403,-6.2032,0.0069,0.0573,-6.4018,0.393910323862467,0.2,0.4314,0.3922,0.1961,2.695,1,0.00135182941267147,1.211e-05,43.2,0.0140934918716541,19.2030228498977,-14998.373160086
"24",23,24,0,0.0069,0.0573,-6.4018,0.0071,0.0576,-6.4084,0.39328686382018,0.0067,0.4314,0.3922,0.1961,2.7004,1,4.52142898980573e-05,1.211e-05,43.2,0.000471861812161496,19.188929383603,-14998.3701840618
"25",24,25,0,0.0071,0.0576,-6.4084,0.0223,0.0573,-6.6079,0.374899983219578,0.2,0.4314,0.3922,0.1961,2.8641,1,0.00128657156904836,1.211e-05,43.2,0.013844932112612,18.9048520236383,-14998.2826936474
"26",25,26,0,0.0223,0.0573,-6.6079,0.0304,0.0554,-6.6829,0.36821215455005,0.0755,0.4314,0.3922,0.1961,2.9261,1,0.000477012433124386,1.211e-05,43.2,0.005191402319334,18.8910070906716,-14998.2496826506
"27",26,27,0,0.0304,0.0554,-6.6829,0.0468,0.0521,-6.8312,0.355337228847177,0.1492,0.4314,0.3922,0.1961,3.0488,1,0.000909684975228613,1.211e-05,43.2,0.0101199737925272,18.7447614328478,-14998.1849612744
"28",27,28,0,0.0468,0.0521,-6.8312,0.0766,0.0531,-7.0289,0.338870923752482,0.2,0.4314,0.3922,0.1961,3.2139,1,0.00116289634270674,1.211e-05,43.2,0.0133113013092762,18.5991710273054,-14998.0988848145
"29",28,29,0,0.0766,0.0531,-7.0289,0.0816,0.0502,-7.1049,0.332745947697651,0.0762,0.4314,0.3922,0.1961,3.277,1,0.000435051530884454,1.211e-05,43.2,0.00503370797082761,18.5858597251897,-14998.0661058625
"30",29,30,0,0.0816,0.0502,-7.1049,0.0828,0.0462,-7.2046,0.324878504127302,0.0997,0.4314,0.3922,0.1961,3.3597,1,0.000555759290764709,1.211e-05,43.2,0.0065205847272321,18.4448451175453,-14998.0235450753
"31",30,31,0,0.0828,0.0462,-7.2046,0.0843,0.0432,-7.3225,0.315814583084016,0.118,0.4314,0.3922,0.1961,3.4578,1,0.000639413677888368,1.211e-05,43.2,0.00762485861745677,18.3040080468531,-14997.9735584299
"32",31,32,0,0.0843,0.0432,-7.3225,0.1042,0.0415,-7.5215,0.301085801510957,0.2,0.4314,0.3922,0.1961,3.6246,1,0.00103319885370722,1.211e-05,43.2,0.0126555484559832,18.1664444181511,-14997.889483816
"33",32,33,0,0.1042,0.0415,-7.5215,0.1185,0.0222,-7.6854,0.289472204114525,0.1657,0.4314,0.3922,0.1961,3.7633,1,0.000822978246950636,1.211e-05,43.2,0.0103002366721752,18.1537888689804,-14997.8198720235
"34",33,34,0,0.1185,0.0222,-7.6854,0.1318,-0.0133,-7.8818,0.276144223730052,0.2,0.4314,0.3922,0.1961,3.9314,1,0.000947589687228248,1.211e-05,43.2,0.0121629653056325,18.018206904647,-14997.736482554
"35",34,35,0,0.1318,-0.0133,-7.8818,0.1373,-0.0357,-8.0511,0.26514882681964,0.1709,0.4314,0.3922,0.1961,4.0755,1,0.000777466177214914,1.211e-05,43.2,0.0101936741677756,18.0060439396065,-14997.665270474
"36",35,36,0,0.1373,-0.0357,-8.0511,0.1265,-0.0286,-8.2507,0.252746567951665,0.2,0.4314,0.3922,0.1961,4.2449,1,0.000867282148947292,1.211e-05,43.2,0.0116532469502816,17.875820088902,-14997.5825390229
"37",36,37,0,0.1265,-0.0286,-8.2507,0.1266,-0.0284,-8.2716,0.251481965441391,0.0209,0.4314,0.3922,0.1961,4.2627,1,9.01769553519999e-05,1.211e-05,43.2,0.00121472473907293,17.8641668362161,-14997.573896699
"38",37,38,0,0.1266,-0.0284,-8.2716,0.1298,-0.0276,-8.4163,0.242898407303609,0.1447,0.4314,0.3922,0.1961,4.3857,1,0.000603022662235374,1.211e-05,43.2,0.00826515107662303,17.7448366385698,-14997.5144735537
"39",38,39,0,0.1298,-0.0276,-8.4163,0.1249,-0.0364,-8.616,0.231531348485359,0.2,0.4314,0.3922,0.1961,4.5564,1,0.000794467465733004,1.211e-05,43.2,0.0111475698000204,17.6212304463303,-14997.4329195878
"40",39,40,0,0.1249,-0.0364,-8.616,0.1247,-0.0368,-8.624,0.231087234781854,0.0079,0.4314,0.3922,0.1961,4.5632,1,3.13210926054572e-05,1.211e-05,43.2,0.000439886888520321,17.6100828860414,-14997.4296992657
