node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
0 1 0 0.0000 0.0000 -0.0000 -0.0001 -0.0002 -0.0010 0.0900 0.0010 0.0000 0.0000 205.0000 0.0003 1.0000 
1 2 0 -0.0001 -0.0002 -0.0010 -0.0516 -0.1075 -0.5347 0.0900 0.5469 0.0000 0.0000 205.0000 0.1571 1.0000 
2 3 0 -0.0516 -0.1075 -0.5347 -0.0860 -0.1879 -0.9467 0.0900 0.4212 0.0000 0.0000 205.0000 0.2781 1.0000 
3 4 0 -0.0860 -0.1879 -0.9467 -0.1291 -0.2888 -1.4904 0.0900 0.5547 0.0000 0.0000 205.0000 0.4378 1.0000 
4 5 0 -0.1291 -0.2888 -1.4904 -0.1881 -0.3893 -2.0209 0.0900 0.5431 0.0000 0.0000 205.0000 0.5945 1.0000 
5 6 0 -0.1881 -0.3893 -2.0209 -0.2516 -0.4710 -2.5222 0.0900 0.5119 0.0000 0.0000 205.0000 0.7425 1.0000 
6 7 0 -0.2516 -0.4710 -2.5222 -0.3494 -0.5509 -3.0290 0.0900 0.5223 0.0000 0.0000 205.0000 0.8939 1.0000 
7 8 0 -0.3494 -0.5509 -3.0290 -0.4500 -0.5877 -3.5545 0.0900 0.5363 0.0000 0.0000 205.0000 1.0497 1.0000 
8 9 0 -0.4500 -0.5877 -3.5545 -0.5457 -0.6282 -4.0949 0.0900 0.5503 0.0000 0.0000 205.0000 1.2099 1.0000 
9 10 0 -0.5457 -0.6282 -4.0949 -0.6279 -0.6586 -4.5767 0.0900 0.4897 0.0000 0.0000 205.0000 1.3527 1.0000 
10 11 0 -0.6279 -0.6586 -4.5767 -0.6961 -0.6624 -4.9882 0.0900 0.4171 0.0000 0.0000 205.0000 1.4747 1.0000 
11 12 0 -0.6961 -0.6624 -4.9882 -0.7562 -0.6224 -5.4909 0.0900 0.5079 0.0000 0.0000 205.0000 1.6234 1.0000 
