node1ID,node2ID,branchID,x1,y1,z1,x2,y2,z2,radius,length,R,G,B,time,type
0,1,0,0,0,-0,0,-3e-4,-0.001,0.09,0.001,0,0,205,3e-4,1
1,2,0,0,-3e-4,-0.001,0.0362,-0.1046,-0.463,0.09,0.4751,0,0,205,0.1437,1
2,3,0,0.0362,-0.1046,-0.463,0.0773,-0.1692,-1.0572,0.09,0.5991,0,0,205,0.3249,1
3,4,0,0.0773,-0.1692,-1.0572,0.1071,-0.2326,-1.6285,0.09,0.5756,0,0,205,0.4994,1
4,5,0,0.1071,-0.2326,-1.6285,0.1409,-0.2693,-2.1004,0.09,0.4746,0,0,205,0.6436,1
5,6,0,0.1409,-0.2693,-2.1004,0.1779,-0.315,-2.6497,0.09,0.5524,0,0,205,0.8119,1
6,7,0,0.1779,-0.315,-2.6497,0.2132,-0.3515,-3.2126,0.09,0.5652,0,0,205,0.9844,1
7,8,0,0.2132,-0.3515,-3.2126,0.1976,-0.3623,-3.6832,0.09,0.471,0,0,205,1.1285,1
8,9,0,0.1976,-0.3623,-3.6832,0.1728,-0.3723,-4.1699,0.09,0.4875,0,0,205,1.2779,1
9,10,0,0.1728,-0.3723,-4.1699,0.1337,-0.4105,-4.7236,0.09,0.5564,0,0,205,1.4489,1
10,11,0,0.1337,-0.4105,-4.7236,0.115,-0.4551,-5.3529,0.09,0.6312,0,0,205,1.6433,1
11,12,0,0.115,-0.4551,-5.3529,0.0974,-0.4868,-5.7782,0.09,0.4269,0,0,205,1.7751,1
12,13,0,0.0974,-0.4868,-5.7782,0.1222,-0.5279,-6.374,0.09,0.5977,0,0,205,1.96,1
13,14,0,0.1222,-0.5279,-6.374,0.1469,-0.5675,-6.9405,0.09,0.5684,0,0,205,2.1364,1
14,15,0,0.1469,-0.5675,-6.9405,0.1631,-0.5919,-7.341,0.09,0.4016,0,0,205,2.2612,1
15,16,0,0.1631,-0.5919,-7.341,0.1696,-0.6195,-7.8395,0.09,0.4993,0,0,205,2.4167,1
16,17,0,0.1696,-0.6195,-7.8395,0.1685,-0.6395,-8.2712,0.09,0.4322,0,0,205,2.5516,1
17,18,0,0.1685,-0.6395,-8.2712,0.1862,-0.6796,-8.8067,0.09,0.5373,0,0,205,2.7196,1
18,19,0,0.1862,-0.6796,-8.8067,0.2052,-0.8174,-9.4761,0.09,0.6838,0,0,205,2.934,1
19,20,0,0.2052,-0.8174,-9.4761,0.2337,-0.8967,-9.9645,0.09,0.4956,0,0,205,3.0898,1
20,21,0,0.2337,-0.8967,-9.9645,0.2547,-0.9743,-10.456,0.09,0.498,0,0,205,3.2467,1
21,22,0,0.2547,-0.9743,-10.456,0.2583,-1.0383,-10.949,0.09,0.4972,0,0,205,3.4038,1
22,23,0,0.2583,-1.0383,-10.949,0.2402,-1.0895,-11.4805,0.09,0.5342,0,0,205,3.5728,1
23,24,0,0.2402,-1.0895,-11.4805,0.2233,-1.1285,-11.9799,0.09,0.5012,0,0,205,3.7318,1
24,25,0,0.2233,-1.1285,-11.9799,0.2338,-1.1549,-12.4888,0.09,0.5097,0,0,205,3.8939,1
25,26,0,0.2338,-1.1549,-12.4888,0.2325,-1.1937,-12.9032,0.09,0.4161,0,0,205,4.0264,1
26,27,0,0.2325,-1.1937,-12.9032,0.2374,-1.2413,-13.401,0.09,0.5002,0,0,205,4.1861,1
27,28,0,0.2374,-1.2413,-13.401,0.286,-1.2412,-13.8337,0.09,0.4354,0,0,205,4.3254,1
28,29,0,0.286,-1.2412,-13.8337,0.3351,-1.1875,-14.4166,0.09,0.5874,0,0,205,4.5137,1
29,30,0,0.3351,-1.1875,-14.4166,0.3769,-1.1595,-14.9255,0.09,0.5114,0,0,205,4.6781,1
30,31,0,0.3769,-1.1595,-14.9255,0.4187,-1.1338,-15.5526,0.09,0.629,0,0,205,4.8807,1
31,32,0,0.4187,-1.1338,-15.5526,0.4385,-1.1211,-15.9959,0.09,0.4439,0,0,205,5.0241,1
32,33,0,0.4385,-1.1211,-15.9959,0.4518,-1.0871,-16.5058,0.09,0.5113,0,0,205,5.1896,1
33,34,0,0.4518,-1.0871,-16.5058,0.4414,-1.0549,-16.9929,0.09,0.4883,0,0,205,5.348,1
