"CS_id","id_cell","x","y","type","plant_id","segment","coloration","cut","zoom","repetition","age"
"B04_B_To_C01_Z20_01","58",708,336,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",712,330,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",715,324,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",722,325,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",729,325,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",738,324,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",745,322,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",751,319,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",766,314,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",773,316,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",787,321,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",784,328,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",781,335,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",778,342,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",774,348,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",763,358,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",758,362,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",752,366,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",748,372,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",739,383,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",725,382,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",717,381,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",709,369,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",705,362,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",701,355,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","58",698,348,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","12",484,936,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","12",492,926,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","12",496,920,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","12",499,915,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","12",502,910,"exodermis","B04","B","To","C01","Z20",1,2.05
"B04_B_To_C01_Z20_01","12",512,899,"exodermis","B04","B","To","C01","Z20",1,2.05
