"CS_id","aerenchyma_n_files","aerenchyma_proportion","cortex_cell_diameter","cortex_n_layers","cortex_order","endodermis_cell_diameter","endodermis_n_layers","endodermis_order","epidermis_cell_diameter","epidermis_n_layers","epidermis_order","exodermis_cell_diameter","exodermis_n_layers","exodermis_order","pericycle_cell_diameter","pericycle_n_layers","pericycle_order","phloem_cell_diameter","phloem_n_layers","phloem_order","phloem_proportion","planttype_param","randomness_param","secondarygrowth_param","stele_cell_diameter","stele_layer_diameter","stele_n_layers","stele_order","stele_SD","xylem_cell_diameter","xylem_max_size","xylem_n_cells","xylem_n_files","xylem_order","plant_id","segment","coloration","cut","zoom","repetition","age","radius"
"B04_B_To_C01_Z20_01",10,0,0.019406,3,4,0.012696,1,3,0.014168,1,6,0.023835375,1,5,0.0117558181818182,1,2,0.005745,0,1.5,0,2,2,0,0.00616973996816802,0.1162,9,1,0.000597499925216829,0.0148167542476432,0.0233588932575891,6,2,1.5,"B04","B","To","C01","Z20","01",2.05,0.167017375
"B04_B_To_C03_Z20_01",10,0,0.0169855384615385,3,4,0.0124771818181818,1,3,0.0110465,1,6,0.0214234,1,5,0.0109402857142857,1,2,0.007,0,1.5,0,2,2,0,0.00697128383047626,0.1134,7,1,0.000710507033578918,0.0145563799078058,0.0210280352989264,5,2,1.5,"B04","B","To","C03","Z20","01",2.05,0.152603697202797
"B04_B_To_C04_Z20_01",10,0,0.0182595555555556,3,4,0.0137832857142857,1,3,0.0125784947384467,1,6,0.0215884285714286,1,5,0.0119822,1,2,0.00671625,0,1.5,0,2,2,0,0.00726578496207466,0.1131,7,1,0.00105490168235709,0.0171039448393175,0.0229903482463245,4,2,1.5,"B04","B","To","C04","Z20","01",2.05,0.159278875690828
"B05_A_To_C03_Z20_01",10,0,0.0236728333333333,3,4,0.0169963076923077,1,3,0.017413,1,6,0.02555,1,5,0.0154034666666667,1,2,0.0108494285714286,0,1.5,0,2,2,0,0.00749435256159022,0.12576,5,1,0.00101202505145012,0.0146512441879742,0.0177027552122218,4,2,1.5,"B05","A","To","C03","Z20","01",0.63,0.193857807692308
"B05_B_To_C01_Z20_01",10,0,0.0250015238095238,3,4,0.0166885714285714,1,3,0.0163771666666667,1,6,0.0311984,1,5,0.0149964285714286,1,2,0.0105286666666667,0,1.5,0,2,2,0,0.00906928159770313,0.1452,5,1,0.00138009981093563,0.0182768574827478,0.023994260660865,6,2,1.5,"B05","B","To","C01","Z20","01",1.89,0.21186870952381
"B05_C_To_C01_Z20_01",10,0,0.0195481,3,4,0.012809,1,3,0.0139765,1,6,0.023663,1,5,0.0125043571428571,1,2,0.00487510992266751,0,1.5,0,2,2,0,0.00808694699817415,0.13526,3,1,0.00152706616173413,0.0170862093143341,0.0220882347567201,6,2,1.5,"B05","C","To","C01","Z20","01",3.15,0.1767228
"B05_D_To_C03_Z20_01",10,0,0.0211655,3,4,0.0129880833333333,1,3,0.01421975,1,6,0.0263024615384615,1,5,0.0117045,1,2,0.00747019799177171,1,1.5,0.115492957746479,2,2,1,0.00747008783335208,0.142,6,1,0.0004351002105055,0.0260943803449274,0.0531347267975415,7,2,1.5,"B05","D","To","C03","Z20","01",8.19,0.188006794871795
"B05_E2_To_C01_Z20_01",10,0,0.0194306666666667,3,4,0.0134849,1,3,0.0139747272727273,1,6,0.0270191176470588,1,5,0.011681,1,2,0.00962419955539126,1,1.5,0.153925089789636,2,2,1,0.00962405763323411,0.15592,6,1,0.00138521974185253,0.0282391689410839,0.0567532321122866,7,2,1.5,"B05","E2","To","C01","Z20","01",16.38,0.190730744919786
"B11_C_To_C01_Z20_01",10,0,0.019715,3,4,0.0139338947368421,1,3,0.013643,1,6,0.024779,1,5,0.0108835714285714,1,2,0.00701255508832611,0,1.5,0,2,2,0,0.00701245167848517,0.1078,5,1,0.000931817414500338,0.0165076704505096,0.0204951058851961,4,2,1.5,"B11","C","To","C01","Z20","01",2.98,0.165400894736842
"B11_D_To_C01_Z20_01",10,0,0.0182008333333333,3,4,0.01180425,1,3,0.0149035,1,6,0.0242870833333333,1,5,0.0107647142857143,1,2,0.0082698311101991,1,1.5,0.15525654295431,2,2,1,0.00826970916008121,0.13526,8,1,0.00122358974780378,0.0203349572020319,0.0355995848291528,8,2,1.5,"B11","D","To","C01","Z20","01",14.11,0.173227333333333
"B11_E_To_C01_Z20_02",10,0,0.0234785,2,4,0.0194012941176471,1,3,0.015087,1,6,0.02823125,1,5,0.01546,1,2,0.0115211852823428,1,1.5,0.104695919938414,2,2,1,0.0115210153865028,0.2598,10,1,0.00181760698486478,0.0463116730228646,0.0645426176394888,8,2,1.5,"B11","E","To","C01","Z20","02",25.83,0.239576544117647
"B11_F_To_C01_Z10_01",10,0,0.027329125,2,4,0.024643,1,3,0.031655,1,6,0.037912,1,5,0.017907,1,2,0.0089406,5,1.5,0.186697247706422,2,2,1,0.0188217325285489,0.436,7,1,0.00324615149829386,0.0507315684585047,0.0699733205414097,14,2,1.5,"B11","F","To","C01","Z10","01",28.22,0.36686825
"B11_F_To_C02_Z10_01",10,0,0.0266878,2,4,0.02394525,1,3,0.022361,1,6,0.033352,1,5,0.0166084285714286,1,2,0.0104045833333333,4,1.5,0.220129032258064,2,2,1,0.0124205025011934,0.31,7,1,0.0023486986736415,0.045819000336525,0.0678419148086331,11,2,1.5,"B11","F","To","C02","Z10","01",28.22,0.28803385
"B11_F_To_C03_Z10_01",10,0,0.0309581666666667,2,4,0.0273901333333333,1,3,0.031288,1,6,0.0417027142857143,1,5,0.0184228666666667,1,2,0.011021625,4,1.5,0.190220385674931,2,2,1,0.0170842260153678,0.4356,8,1,0.00275818794414442,0.0484205406249893,0.0719719471982765,14,2,1.5,"B11","F","To","C03","Z10","01",28.22,0.380097180952381
"P01_A_To_C04_Z20_03",10,0,0.02465025,2,4,0.01215175,1,3,0.0140233105859673,1,6,0.0212491666666667,1,5,0.00908333333333333,1,2,0.00769522944747726,1,1.5,0.127737226277372,2,2,1,0.00785112425815587,0.1096,6,1,0.000898006516288527,0.0198280119476704,0.0253642720550466,6,2,1.5,"P01","A","To","C04","Z20","03",1.58,0.151524727252634
"P04_A_FY_C01_Z20_04",10,0,0.0242814166666667,3,4,0.0159271,1,3,0.0167084285714286,1,6,0.0295325,1,5,0.01212175,1,2,0.00778331216103443,0,1.5,0,2,2,0,0.00778319738531254,0.106374,5,1,0.00104776887156073,0.0108401214252086,0.0133960041771441,4,2,1.5,"P04","A","FY","C01","Z20","04",0.93,0.188199278571429
