"name","type","value","CS_id","age"
"aerenchyma","n_files",10,"B04_B_To_C01_Z20_01",2.05
"epidermis","cell_diameter",0.014168,"B04_B_To_C01_Z20_01",2.05
"exodermis","order",5,"B04_B_To_C01_Z20_01",2.05
"exodermis","n_layers",1,"B04_B_To_C01_Z20_01",2.05
"endodermis","cell_diameter",0.012696,"B04_B_To_C01_Z20_01",2.05
"stele","order",1,"B04_B_To_C01_Z20_01",2.05
"xylem","order",1.5,"B04_B_To_C01_Z20_01",2.05
"cortex","cell_diameter",0.019406,"B04_B_To_C01_Z20_01",2.05
"randomness","param",2,"B04_B_To_C01_Z20_01",2.05
"epidermis","n_layers",1,"B04_B_To_C01_Z20_01",2.05
"planttype","param",2,"B04_B_To_C01_Z20_01",2.05
"secondarygrowth","param",0,"B04_B_To_C01_Z20_01",2.05
"cortex","order",4,"B04_B_To_C01_Z20_01",2.05
"pericycle","order",2,"B04_B_To_C01_Z20_01",2.05
"phloem","proportion",0,"B04_B_To_C01_Z20_01",2.05
"aerenchyma","proportion",0,"B04_B_To_C01_Z20_01",2.05
"phloem","n_layers",0,"B04_B_To_C01_Z20_01",2.05
"xylem","n_files",2,"B04_B_To_C01_Z20_01",2.05
"stele","n_layers",9,"B04_B_To_C01_Z20_01",2.05
"phloem","order",1.5,"B04_B_To_C01_Z20_01",2.05
"pericycle","cell_diameter",0.0117558181818182,"B04_B_To_C01_Z20_01",2.05
"pericycle","n_layers",1,"B04_B_To_C01_Z20_01",2.05
"stele","layer_diameter",0.1162,"B04_B_To_C01_Z20_01",2.05
"stele","SD",0.000597499925216829,"B04_B_To_C01_Z20_01",2.05
"cortex","n_layers",3,"B04_B_To_C01_Z20_01",2.05
"xylem","n_cells",6,"B04_B_To_C01_Z20_01",2.05
"endodermis","n_layers",1,"B04_B_To_C01_Z20_01",2.05
"stele","cell_diameter",0.00616973996816802,"B04_B_To_C01_Z20_01",2.05
"xylem","max_size",0.0233588932575891,"B04_B_To_C01_Z20_01",2.05
"endodermis","order",3,"B04_B_To_C01_Z20_01",2.05
"phloem","cell_diameter",0.005745,"B04_B_To_C01_Z20_01",2.05
"epidermis","order",6,"B04_B_To_C01_Z20_01",2.05
"exodermis","cell_diameter",0.023835375,"B04_B_To_C01_Z20_01",2.05
"xylem","cell_diameter",0.0148167542476432,"B04_B_To_C01_Z20_01",2.05
"phloem","proportion",0,"B04_B_To_C03_Z20_01",2.05
"xylem","order",1.5,"B04_B_To_C03_Z20_01",2.05
"epidermis","order",6,"B04_B_To_C03_Z20_01",2.05
"xylem","n_cells",5,"B04_B_To_C03_Z20_01",2.05
"xylem","cell_diameter",0.0145563799078058,"B04_B_To_C03_Z20_01",2.05
