"CS_id","plant_id","segment","coloration","cut","zoom","repetition","age"
"B04_B_To_C01_Z20_01","B04","B","To","C01","Z20","01",2.05
"P11_E2_To_C01_Z20_03","P11","E2","To","C01","Z20","03",25.5
"B05_B_To_C01_Z20_01","B05","B","To","C01","Z20","01",1.89
"B05_D_To_C03_Z20_01","B05","D","To","C03","Z20","01",8.19
"B11_F_To_C02_Z10_01","B11","F","To","C02","Z10","01",28.22
"P13_F_To_C01_Z10_01","P13","F","To","C01","Z10","01",27.02
"P14_E_To_C01_Z20_02","P14","E","To","C01","Z20","02",27.21
"P04_D_FY_C02_Z20_01","P04","D","FY","C02","Z20","01",7.41
"P11_D_To_C01_Z20_01","P11","D","To","C01","Z20","01",11.25
"B05_C_To_C01_Z20_01","B05","C","To","C01","Z20","01",3.15
"B11_F_To_C01_Z10_01","B11","F","To","C01","Z10","01",28.22
"P13_E_To_C01_Z20_01","P13","E","To","C01","Z20","01",24.72
"P04_A_FY_C01_Z20_04","P04","A","FY","C01","Z20","04",0.93
"P04_C_BH_C01_Z20_01","P04","C","BH","C01","Z20","01",4.63
"P11_C_To_C01_Z20_01","P11","C","To","C01","Z20","01",3.75
"B04_B_To_C04_Z20_01","B04","B","To","C04","Z20","01",2.05
"P12_C_To_C01_Z20_07","P12","C","To","C01","Z20","07",2.53
"P12_F_To_C01_Z10_01","P12","F","To","C01","Z10","01",28.64
"P13_D2_To_C01_Z20_01","P13","D2","To","C01","Z20","01",22.2
"P04_B_BH_C01_Z20_05","P04","B","BH","C01","Z20","05",2.78
"P11_B_To_C01_Z20_01","P11","B","To","C01","Z20","01",2.25
"B04_B_To_C03_Z20_01","B04","B","To","C03","Z20","01",2.05
"B05_A_To_C03_Z20_01","B05","A","To","C03","Z20","01",0.63
"P12_B_To_C01_Z20_01","P12","B","To","C01","Z20","01",1.52
"P13_B_To_C01_Z20_01","P13","B","To","C01","Z20","01",1.47
"B11_F_To_C03_Z10_01","B11","F","To","C03","Z10","01",28.22
"P14_C_To_C01_Z20_03","P14","C","To","C01","Z20","03",2.58
"P14_F_To_C02_Z10_04","P14","F","To","C02","Z10","04",28.76
"P04_D_To_C01_Z20_01","P04","D","To","C01","Z20","01",7.41
"P11_F2_To_C02_Z10_01","P11","F2","To","C02","Z10","01",30.5
"P14_D_To_C01_Z20_01","P14","D","To","C01","Z20","01",4.13
"B11_C_To_C01_Z20_01","B11","C","To","C01","Z20","01",2.98
"P01_A_To_C04_Z20_03","P01","A","To","C04","Z20","03",1.58
"P14_B_To_C02_Z20_01","P14","B","To","C02","Z20","01",1.55
"P11_A_To_C02_Z20_01","P11","A","To","C02","Z20","01",0.75
"P11_F_To_C01_Z20_01","P11","F","To","C01","Z20","01",28.5
"P12_D2_To_C03_Z20_06","P12","D2","To","C03","Z20","06",24.6
"B05_E2_To_C01_Z20_01","B05","E2","To","C01","Z20","01",16.38
"B11_E_To_C01_Z20_02","B11","E","To","C01","Z20","02",25.83
"P13_F2_To_C01_Z10_01","P13","F2","To","C01","Z10","01",29.11
"P04_F_FY_C01_Z10_01","P04","F","FY","C01","Z10","01",16.68
"P14_D2_To_C02_Z20_01","P14","D2","To","C02","Z20","01",25.14
"P12_D_To_C01_Z20_03","P12","D","To","C01","Z20","03",3.88
"B11_D_To_C01_Z20_01","B11","D","To","C01","Z20","01",14.11
"P12_E_To_C01_Z20_02","P12","E","To","C01","Z20","02",26.62
