"name","type","param_id","units"
"secondarygrowth","param","secondarygrowth_param","-"
"randomness","param","randomness_param","-"
"planttype","param","planttype_param","-"
"aerenchyma","proportion","aerenchyma_proportion","-"
"aerenchyma","n_files","aerenchyma_n_files","-"
"xylem","n_files","xylem_n_files","-"
"xylem","max_size","xylem_max_size","µm"
"xylem","cell_diameter","xylem_cell_diameter","µm"
"xylem","order","xylem_order","-"
"xylem","n_cells","xylem_n_cells",""
"stele","cell_diameter","stele_cell_diameter","mm"
"stele","SD","stele_SD","mm"
"stele","order","stele_order","-"
"cortex","cell_diameter","cortex_cell_diameter","mm"
"cortex","order","cortex_order","-"
"endodermis","cell_diameter","endodermis_cell_diameter","mm"
"endodermis","n_layers","endodermis_n_layers","-"
"endodermis","order","endodermis_order","-"
"exodermis","cell_diameter","exodermis_cell_diameter","mm"
"exodermis","n_layers","exodermis_n_layers","-"
"exodermis","order","exodermis_order","-"
"epidermis","cell_diameter","epidermis_cell_diameter","mm"
"epidermis","n_layers","epidermis_n_layers","-"
"epidermis","order","epidermis_order","-"
"pericycle","cell_diameter","pericycle_cell_diameter","mm"
"pericycle","order","pericycle_order","-"
"pericycle","n_layers","pericycle_n_layers","-"
"endodermis","barrier","endodermis_barrier","maturation_stage"
"exodermis","barrier","exodermis_barrier","maturation_stage"
"stele","n_layers","stele_n_layers","-"
"stele","layer_diameter","stele_layer_diameter","mm"
"cortex","n_layers","cortex_n_layers","-"
"phloem","n_layers","phloem_n_layers","-"
"phloem","proportion","phloem_proportion","-"
"phloem","cell_diameter","phloem_cell_diameter","mm"
"phloem","order","phloem_order","-"
