CS_id,param_id,value
B04_B_To_C01_Z20_01,aerenchyma_n_files,10
B04_B_To_C01_Z20_01,aerenchyma_proportion,0
B04_B_To_C01_Z20_01,cortex_cell_diameter,0.019406
B04_B_To_C01_Z20_01,cortex_n_layers,3
B04_B_To_C01_Z20_01,cortex_order,4
B04_B_To_C01_Z20_01,endodermis_barrier,1
B04_B_To_C01_Z20_01,endodermis_cell_diameter,0.012696
B04_B_To_C01_Z20_01,endodermis_n_layers,1
B04_B_To_C01_Z20_01,endodermis_order,3
B04_B_To_C01_Z20_01,epidermis_cell_diameter,0.014168
B04_B_To_C01_Z20_01,epidermis_n_layers,1
B04_B_To_C01_Z20_01,epidermis_order,6
B04_B_To_C01_Z20_01,exodermis_barrier,0
B04_B_To_C01_Z20_01,exodermis_cell_diameter,0.023835375
B04_B_To_C01_Z20_01,exodermis_n_layers,1
B04_B_To_C01_Z20_01,exodermis_order,5
B04_B_To_C01_Z20_01,pericycle_cell_diameter,0.0117558181818182
B04_B_To_C01_Z20_01,pericycle_n_layers,1
B04_B_To_C01_Z20_01,pericycle_order,2
B04_B_To_C01_Z20_01,phloem_max_size,0.005745
B04_B_To_C01_Z20_01,phloem_n_files,0
B04_B_To_C01_Z20_01,phloem_proportion,0
B04_B_To_C01_Z20_01,planttype_param,2
B04_B_To_C01_Z20_01,randomness_param,2
B04_B_To_C01_Z20_01,secondarygrowth_param,1
B04_B_To_C01_Z20_01,stele_cell_diameter,0.00616973996816802
B04_B_To_C01_Z20_01,stele_layer_diameter,0.1162
B04_B_To_C01_Z20_01,stele_mean_size,30.15375
B04_B_To_C01_Z20_01,stele_n_layers,9
B04_B_To_C01_Z20_01,stele_order,1
B04_B_To_C01_Z20_01,stele_SD,5.54805391146711
B04_B_To_C01_Z20_01,stele_totarea,9106.644
B04_B_To_C01_Z20_01,xylem_max_size,428.543
B04_B_To_C01_Z20_01,xylem_mean_size,172.423333333333
B04_B_To_C01_Z20_01,xylem_n_files,6
B04_B_To_C01_Z20_01,xylem_order,1.5
B04_B_To_C03_Z20_01,aerenchyma_n_files,10
B04_B_To_C03_Z20_01,aerenchyma_proportion,0
B04_B_To_C03_Z20_01,cortex_cell_diameter,0.0169855384615385
B04_B_To_C03_Z20_01,cortex_n_layers,3
B04_B_To_C03_Z20_01,cortex_order,4
B04_B_To_C03_Z20_01,endodermis_barrier,1
B04_B_To_C03_Z20_01,endodermis_cell_diameter,0.0124771818181818
B04_B_To_C03_Z20_01,endodermis_n_layers,1
B04_B_To_C03_Z20_01,endodermis_order,3
B04_B_To_C03_Z20_01,epidermis_cell_diameter,0.0110465
B04_B_To_C03_Z20_01,epidermis_n_layers,1
B04_B_To_C03_Z20_01,epidermis_order,6
B04_B_To_C03_Z20_01,exodermis_barrier,0
B04_B_To_C03_Z20_01,exodermis_cell_diameter,0.0214234
B04_B_To_C03_Z20_01,exodermis_n_layers,1
B04_B_To_C03_Z20_01,exodermis_order,5
B04_B_To_C03_Z20_01,pericycle_cell_diameter,0.0109402857142857
B04_B_To_C03_Z20_01,pericycle_n_layers,1
B04_B_To_C03_Z20_01,pericycle_order,2
B04_B_To_C03_Z20_01,phloem_max_size,0.007
B04_B_To_C03_Z20_01,phloem_n_files,0
B04_B_To_C03_Z20_01,phloem_proportion,0
B04_B_To_C03_Z20_01,planttype_param,2
B04_B_To_C03_Z20_01,randomness_param,2
B04_B_To_C03_Z20_01,secondarygrowth_param,1
B04_B_To_C03_Z20_01,stele_cell_diameter,0.00697128383047626
B04_B_To_C03_Z20_01,stele_layer_diameter,0.1134
B04_B_To_C03_Z20_01,stele_mean_size,38.5375714285714
B04_B_To_C03_Z20_01,stele_n_layers,7
B04_B_To_C03_Z20_01,stele_order,1
B04_B_To_C03_Z20_01,stele_SD,8.12112816825807
B04_B_To_C03_Z20_01,stele_totarea,9471.232
B04_B_To_C03_Z20_01,xylem_max_size,347.286
B04_B_To_C03_Z20_01,xylem_mean_size,166.4166
B04_B_To_C03_Z20_01,xylem_n_files,5
B04_B_To_C03_Z20_01,xylem_order,1.5
B04_B_To_C04_Z20_01,aerenchyma_n_files,10
B04_B_To_C04_Z20_01,aerenchyma_proportion,0
B04_B_To_C04_Z20_01,cortex_cell_diameter,0.0182595555555556
B04_B_To_C04_Z20_01,cortex_n_layers,3
B04_B_To_C04_Z20_01,cortex_order,4
B04_B_To_C04_Z20_01,endodermis_barrier,1
B04_B_To_C04_Z20_01,endodermis_cell_diameter,0.0137832857142857
B04_B_To_C04_Z20_01,endodermis_n_layers,1
B04_B_To_C04_Z20_01,endodermis_order,3
B04_B_To_C04_Z20_01,epidermis_cell_diameter,0.0125784947384467
B04_B_To_C04_Z20_01,epidermis_n_layers,1
B04_B_To_C04_Z20_01,epidermis_order,6
B04_B_To_C04_Z20_01,exodermis_barrier,0
B04_B_To_C04_Z20_01,exodermis_cell_diameter,0.0215884285714286
B04_B_To_C04_Z20_01,exodermis_n_layers,1
B04_B_To_C04_Z20_01,exodermis_order,5
B04_B_To_C04_Z20_01,pericycle_cell_diameter,0.0119822
B04_B_To_C04_Z20_01,pericycle_n_layers,1
B04_B_To_C04_Z20_01,pericycle_order,2
B04_B_To_C04_Z20_01,phloem_max_size,0.007399
B04_B_To_C04_Z20_01,phloem_n_files,0
B04_B_To_C04_Z20_01,phloem_proportion,0
B04_B_To_C04_Z20_01,planttype_param,2
B04_B_To_C04_Z20_01,randomness_param,2
