"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","suf","kr","kx","jr","jxl","psi"
"1",0,1,0,0,0,-3,0.0129,0.017,-3.1989,0.849645563990649,0.2,0.4314,0.3922,0.1961,0.1531,"1",0.000869180303003217,7.0312e-08,0.588621148079508,0.00110353998523429,1.26963298779936,-14999.5687952364
"2",1,2,0,0.0129,0.017,-3.1989,0.0218,0.0256,-3.2987,0.829536639286344,0.1006,0.4314,0.3922,0.1961,0.2303,"1",0.000426840918894333,7.0312e-08,0.584560247797848,0.00054193131126707,1.26852944779395,-14999.350534067
"3",2,3,0,0.0218,0.0256,-3.2987,0.0297,0.0272,-3.468,0.796506491208365,0.1696,0.4314,0.3922,0.1961,0.3608,"1",0.00069093793772376,7.0312e-08,0.577695643047116,0.000877237598411922,1.24460937642274,-14998.9852701729
"4",3,4,0,0.0297,0.0272,-3.468,0.0313,0.0328,-3.668,0.759177248397245,0.2,0.4314,0.3922,0.1961,0.5152,"1",0.000776578437842049,7.0312e-08,0.569573842483797,0.000985969602473044,1.22034465098829,-14998.5569318003
"5",4,5,0,0.0313,0.0328,-3.668,0.0204,0.0431,-3.7535,0.74375767711808,0.0868,0.4314,0.3922,0.1961,0.5825,"1",0.000330182647472251,7.0312e-08,0.566033705321158,0.000419210781304138,1.21935868134502,-14998.3699780222
"6",5,6,0,0.0204,0.0431,-3.7535,0.0248,0.049,-3.9533,0.708934599503621,0.2,0.4314,0.3922,0.1961,0.7378,"1",0.0007251538127995,7.0312e-08,0.55786456265611,0.000920679202122218,1.19550183065872,-14997.9415437502
"7",6,7,0,0.0248,0.049,-3.9533,0.0274,0.0462,-4.0282,0.696304649234043,0.075,0.4314,0.3922,0.1961,0.7961,"1",0.000267082732296252,7.0312e-08,0.554797846510764,0.000339097047455122,1.19458115146087,-14997.7800779645
"8",7,8,0,0.0274,0.0462,-4.0282,0.0238,0.0451,-4.1365,0.678439480300573,0.1084,0.4314,0.3922,0.1961,0.8807,"1",0.000376114308450251,7.0312e-08,0.55034768894822,0.000477527133276579,1.1706630058647,-14997.5495437216
"9",8,9,0,0.0238,0.0451,-4.1365,0.0219,0.0418,-4.3365,0.646643591161778,0.2,0.4314,0.3922,0.1961,1.0371,"1",0.000661400897428275,7.0312e-08,0.542120683714391,0.000839736397684156,1.14661465466978,-14997.1266877713
"10",9,10,0,0.0219,0.0418,-4.3365,0.0208,0.0416,-4.3718,0.641188367613325,0.0353,0.4314,0.3922,0.1961,1.0648,"1",0.000115750478413224,7.0312e-08,0.540663599027837,0.000146960625773083,1.14577491827184,-14997.0518847685
"11",10,11,0,0.0208,0.0416,-4.3718,0.015,0.0461,-4.5302,0.617270462643839,0.1585,0.4314,0.3922,0.1961,1.1894,"1",0.00050033535598997,7.0312e-08,0.534109348055107,0.000635242273040005,1.12197845371713,-14996.7190255095
"12",11,12,0,0.015,0.0461,-4.5302,0.0189,0.0369,-4.7201,0.589769202982124,0.1903,0.4314,0.3922,0.1961,1.3393,"1",0.000573940046334545,7.0312e-08,0.526224258000434,0.00072869321597483,1.09763041682325,-14996.3222180084
"13",12,13,0,0.0189,0.0369,-4.7201,-0.0054,0.0439,-4.8918,0.5659599290594,0.1735,0.4314,0.3922,0.1961,1.4766,"1",0.00050213402471924,7.0312e-08,0.51900195736997,0.000637525922193216,1.0731300950168,-14995.9635820471
"14",13,14,0,-0.0054,0.0439,-4.8918,-0.0239,0.0441,-5.091,0.539539112083874,0.2,0.4314,0.3922,0.1961,1.6354,"1",0.000551792826376619,7.0312e-08,0.51064870653153,0.000700574374923205,1.04866651485313,-14995.5529998944
"15",14,15,0,-0.0239,0.0441,-5.091,-0.0265,0.045,-5.1461,0.532451215329557,0.0552,0.4314,0.3922,0.1961,1.6793,"1",0.000150291449933769,7.0312e-08,0.508339464013851,0.000190814982653993,1.04796594051097,-14995.4392128338
"16",15,16,0,-0.0265,0.045,-5.1461,-0.0336,0.0399,-5.243,0.520211406013381,0.0974,0.4314,0.3922,0.1961,1.7569,"1",0.000259089371640535,7.0312e-08,0.50425752279809,0.000328948413081445,1.02385559177816,-14995.2414814955
"17",16,17,0,-0.0336,0.0399,-5.243,-0.0377,0.0368,-5.4091,0.499881604299728,0.1662,0.4314,0.3922,0.1961,1.8897,"1",0.000424816217411083,7.0312e-08,0.497271932676271,0.000539360683473033,0.999579783918895,-14994.9074885067
"18",17,18,0,-0.0377,0.0368,-5.4091,-0.0315,0.033,-5.5644,0.481592961461427,0.1554,0.4314,0.3922,0.1961,2.0144,"1",0.000382670128071721,7.0312e-08,0.490712421470015,0.000485850618131539,0.975028596438722,-14994.598791016
"19",18,19,0,-0.0315,0.033,-5.5644,-0.0309,0.0238,-5.7388,0.461851439100755,0.1746,0.4314,0.3922,0.1961,2.1549,"1",0.000412316127957939,7.0312e-08,0.483321793366736,0.000523490157550061,0.950409044181148,-14994.2555503004
"20",19,20,0,-0.0309,0.0238,-5.7388,-0.0204,0.0193,-5.9385,0.440237907205548,0.2,0.4314,0.3922,0.1961,2.3163,"1",0.000450184336367966,7.0312e-08,0.474831776456635,0.000571568884144829,0.925764939801582,-14993.8657368127
"21",20,21,0,-0.0204,0.0193,-5.9385,-0.0152,0.0258,-6.0225,0.431451574807378,0.0844,0.4314,0.3922,0.1961,2.3847,"1",0.000186182666382886,7.0312e-08,0.471233776725216,0.000236383655038131,0.925193370910803,-14993.700051862
"22",21,22,0,-0.0152,0.0258,-6.0225,-0.0102,0.0403,-6.2032,0.413140314156746,0.1814,0.4314,0.3922,0.1961,2.532,"1",0.000383170390335703,7.0312e-08,0.463485452742205,0.000486485767604553,0.900730005214263,-14993.3476172871
"23",22,23,0,-0.0102,0.0403,-6.2032,0.0069,0.0573,-6.4018,0.393910323862467,0.2,0.4314,0.3922,0.1961,2.695,"1",0.000402785236643926,7.0312e-08,0.454911272095696,0.000511389423532511,0.875945191860876,-14992.9626237511
"24",23,24,0,0.0069,0.0573,-6.4018,0.0071,0.0576,-6.4084,0.39328686382018,0.0067,0.4314,0.3922,0.1961,2.7004,"1",1.34717665555489e-05,7.0312e-08,0.454627219485321,1.71041992258943e-05,0.875433802828882,-14992.9497223036
"25",24,25,0,0.0071,0.0576,-6.4084,0.0223,0.0573,-6.6079,0.374899983219578,0.2,0.4314,0.3922,0.1961,2.8641,"1",0.000383336394402731,7.0312e-08,0.446016217204134,0.000486696531844199,0.826677450991941,-14992.5791375267
"26",25,26,0,0.0223,0.0573,-6.6079,0.0304,0.0554,-6.6829,0.36821215455005,0.0755,0.4314,0.3922,0.1961,2.9261,"1",0.000142125547415104,7.0312e-08,0.442754872418345,0.000180447283439302,0.826190754435639,-14992.438268179
"27",26,27,0,0.0304,0.0554,-6.6829,0.0468,0.0521,-6.8312,0.355337228847177,0.1492,0.4314,0.3922,0.1961,3.0488,"1",0.000271038185222335,7.0312e-08,0.436300565882599,0.000344119020972657,0.801455508962218,-14992.1642564084
"28",27,28,0,0.0468,0.0521,-6.8312,0.0766,0.0531,-7.0289,0.338870923752482,0.2,0.4314,0.3922,0.1961,3.2139,"1",0.000346478134083263,7.0312e-08,0.427615920332055,0.000439900068661397,0.776588894522452,-14991.8011413294
"29",28,29,0,0.0766,0.0531,-7.0289,0.0816,0.0502,-7.1049,0.332745947697651,0.0762,0.4314,0.3922,0.1961,3.277,"1",0.000129619950059729,7.0312e-08,0.424296712977486,0.000164569764501961,0.776148994425091,-14991.661766497
"30",29,30,0,0.0816,0.0502,-7.1049,0.0828,0.0462,-7.2046,0.324878504127302,0.0997,0.4314,0.3922,0.1961,3.3597,"1",0.000165582922025061,7.0312e-08,0.419946499851926,0.000210229540056558,0.751333904297859,-14991.483416373
"31",30,31,0,0.0828,0.0462,-7.2046,0.0843,0.0432,-7.3225,0.315814583084016,0.118,0.4314,0.3922,0.1961,3.4578,"1",0.000190505669267355,7.0312e-08,0.414786210763444,0.000241872282107579,0.726447476949132,-14991.2767881642
"32",31,32,0,0.0843,0.0432,-7.3225,0.1042,0.0415,-7.5215,0.301085801510957,0.2,0.4314,0.3922,0.1961,3.6246,"1",0.000307826374821499,7.0312e-08,0.406012141242967,0.000390826520057467,0.701489475901386,-14990.9313334398
"33",32,33,0,0.1042,0.0415,-7.5215,0.1185,0.0222,-7.6854,0.289472204114525,0.1657,0.4314,0.3922,0.1961,3.7633,"1",0.000245191562420963,7.0312e-08,0.398716197343147,0.000311303296035001,0.701098649388932,-14990.6400328721
"34",33,34,0,0.1185,0.0222,-7.6854,0.1318,-0.0133,-7.8818,0.276144223730052,0.2,0.4314,0.3922,0.1961,3.9314,"1",0.000282314167841253,7.0312e-08,0.389873744786839,0.00035843538047803,0.675941799473677,-14990.2933757349
"35",34,35,0,0.1318,-0.0133,-7.8818,0.1373,-0.0357,-8.0511,0.26514882681964,0.1709,0.4314,0.3922,0.1961,4.0755,"1",0.000231626849429973,7.0312e-08,0.382293748276643,0.000294081088948551,0.675583364102238,-14989.9914297362
"36",35,36,0,0.1373,-0.0357,-8.0511,0.1265,-0.0286,-8.2507,0.252746567951665,0.2,0.4314,0.3922,0.1961,4.2449,"1",0.000258382311416409,7.0312e-08,0.373382912684504,0.000328050706096374,0.650286654037165,-14989.643196003
"37",36,37,0,0.1265,-0.0286,-8.2507,0.1266,-0.0284,-8.2716,0.251481965441391,0.0209,0.4314,0.3922,0.1961,4.2627,"1",2.68655021154588e-05,7.0312e-08,0.372446591116971,3.4109327725637e-05,0.649958603385288,-14989.6067242546
"38",37,38,0,0.1266,-0.0284,-8.2716,0.1298,-0.0276,-8.4163,0.242898407303609,0.1447,0.4314,0.3922,0.1961,4.3857,"1",0.000179651495772124,7.0312e-08,0.365976503880648,0.000228091465380289,0.624842002269392,-14989.359718957
"39",38,39,0,0.1298,-0.0276,-8.4163,0.1249,-0.0364,-8.616,0.231531348485359,0.2,0.4314,0.3922,0.1961,4.5564,"1",0.000236683956883352,7.0312e-08,0.356997285252678,0.000300501759395347,0.599463523072429,-14989.0239666718
"40",39,40,0,0.1249,-0.0364,-8.616,0.1247,-0.0368,-8.624,0.231087234781854,0.0079,0.4314,0.3922,0.1961,4.5632,"1",9.33097255940849e-06,7.0312e-08,0.356639589372947,1.18469105717794e-05,0.599163021387922,-14989.0106946145
"41",40,41,0,0.1247,-0.0368,-8.624,0.1191,-0.0488,-8.7739,0.18,0.1506,0.4314,0.3922,0.1961,4.6922,"1",0.00013855349784009,7.0312e-08,0.349853888125096,0.000175912091464003,0.573908234216239,-14988.763684829
"42",41,42,0,0.1191,-0.0488,-8.7739,0.1219,-0.0526,-8.8701,0.18,0.0963,0.4314,0.3922,0.1961,4.7749,"1",8.85957518978798e-05,7.0312e-08,0.345503674999536,0.00011248408920841,0.548469087023084,-14988.6108292712
"43",42,43,0,0.1219,-0.0526,-8.8701,0.1329,-0.0688,-9.0692,0.18,0.2,0.4314,0.3922,0.1961,4.9472,"1",0.000183996580229202,7.0312e-08,0.336440292635159,0.00023360812794275,0.523045130892106,-14988.2999697589
