"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","time2"
0,1,0,0,0,-3,0.0064,0.0134,-3.1785,1,0.1792,0.4314,0.3922,0.1961,0.1413,1,59.8587
1,2,0,0.0064,0.0134,-3.1785,-4e-04,0.0166,-3.3718,1,0.1935,0.4314,0.3922,0.1961,0.2942,1,59.7058
2,3,0,-4e-04,0.0166,-3.3718,0.0012,0.0154,-3.5183,1,0.1464,0.4314,0.3922,0.1961,0.4103,1,59.5897
3,4,0,0.0012,0.0154,-3.5183,0.0067,0.0083,-3.6023,1,0.0845,0.4314,0.3922,0.1961,0.4775,1,59.5225
4,5,0,0.0067,0.0083,-3.6023,0.0181,-0.0156,-3.8005,1,0.2,0.4314,0.3922,0.1961,0.6367,1,59.3633
5,6,0,0.0181,-0.0156,-3.8005,0.0207,-0.0186,-3.9285,1,0.1281,0.4314,0.3922,0.1961,0.7389,1,59.2611
6,7,0,0.0207,-0.0186,-3.9285,0.0162,-2e-04,-4.1187,1,0.1911,0.4314,0.3922,0.1961,0.8918,1,59.1082
7,8,0,0.0162,-2e-04,-4.1187,0.0411,-4e-04,-4.3171,1,0.2,0.4314,0.3922,0.1961,1.0523,1,58.9477
8,9,0,0.0411,-4e-04,-4.3171,0.054,-0.0021,-4.4146,1,0.0984,0.4314,0.3922,0.1961,1.1315,1,58.8685
9,10,0,0.054,-0.0021,-4.4146,0.0631,0.0053,-4.4994,1,0.0856,0.4314,0.3922,0.1961,1.2004,1,58.7996
10,11,0,0.0631,0.0053,-4.4994,0.0543,0.0234,-4.6984,1,0.2,0.4314,0.3922,0.1961,1.362,1,58.638
11,12,0,0.0543,0.0234,-4.6984,0.0431,0.0392,-4.7925,1,0.0961,0.4314,0.3922,0.1961,1.4397,1,58.5603
12,13,0,0.0431,0.0392,-4.7925,0.0123,0.0556,-4.9715,1,0.1823,0.4314,0.3922,0.1961,1.5876,1,58.4124
13,14,0,0.0123,0.0556,-4.9715,0.0039,0.0592,-5.0203,1,0.0497,0.4314,0.3922,0.1961,1.628,1,58.372
14,15,0,0.0039,0.0592,-5.0203,-0.0013,0.0615,-5.0805,1,0.0604,0.4314,0.3922,0.1961,1.6772,1,58.3228
15,16,0,-0.0013,0.0615,-5.0805,-0.0161,0.0749,-5.2795,1,0.2,0.4314,0.3922,0.1961,1.8402,1,58.1598
16,17,0,-0.0161,0.0749,-5.2795,-0.017,0.0754,-5.2904,1,0.011,0.4314,0.3922,0.1961,1.8492,1,58.1508
17,18,0,-0.017,0.0754,-5.2904,-0.0271,0.0817,-5.4901,1,0.2,0.4314,0.3922,0.1961,2.0128,1,57.9872
18,19,0,-0.0271,0.0817,-5.4901,-0.0276,0.0822,-5.5009,1,0.0109,0.4314,0.3922,0.1961,2.0217,1,57.9783
19,20,0,-0.0276,0.0822,-5.5009,-0.03,0.0862,-5.5735,1,0.0727,0.4314,0.3922,0.1961,2.0813,1,57.9187
20,21,0,-0.03,0.0862,-5.5735,-0.0294,0.0885,-5.611,1,0.0375,0.4314,0.3922,0.1961,2.1121,1,57.8879
