"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","z3","time2"
0,1,0,0,0,-3,0.5866,0.008,-3.8098,0.534731514557256,1,0,0,205,0.143,1,-81.9453,29.857
1,2,0,0.5866,0.008,-3.8098,0.983,0.1002,-4.5684,0.51795599089194,0.8608,0,0,205,0.2675,1,-81.1867,29.7325
2,3,0,0.983,0.1002,-4.5684,1.08,0.1413,-4.7555,0.514377164263497,0.2148,0,0,205,0.2988,1,-80.9996,29.7012
3,4,0,1.08,0.1413,-4.7555,1.1807,0.1747,-4.9448,0.510360214314802,0.217,0,0,205,0.3304,1,-80.8103,29.6696
4,5,0,1.1807,0.1747,-4.9448,1.2527,0.2073,-5.1148,0.506548350413721,0.1874,0,0,205,0.3578,1,-80.6403,29.6422
5,6,0,1.2527,0.2073,-5.1148,1.3255,0.2352,-5.2973,0.502617166029533,0.1985,0,0,205,0.3869,1,-80.4578,29.6131
6,7,0,1.3255,0.2352,-5.2973,1.3867,0.2426,-5.4914,0.498936472976192,0.2036,0,0,205,0.4168,1,-80.2637,29.5832
7,8,0,1.3867,0.2426,-5.4914,1.461,0.2485,-5.7195,0.49530700328836,0.24,0,0,205,0.4521,1,-80.0356,29.5479
8,9,0,1.461,0.2485,-5.7195,1.5111,0.2347,-5.9319,0.491258408208051,0.2187,0,0,205,0.4844,1,-79.8232,29.5156
9,10,0,1.5111,0.2347,-5.9319,1.5506,0.262,-6.1307,0.487445884919067,0.2045,0,0,205,0.5147,1,-79.6244,29.4853
10,11,0,1.5506,0.262,-6.1307,1.5856,0.2862,-6.3061,0.483603704506978,0.1805,0,0,205,0.5415,1,-79.449,29.4585
11,12,0,1.5856,0.2862,-6.3061,1.6384,0.3057,-6.5227,0.480344607681878,0.2238,0,0,205,0.5747,1,-79.2324,29.4253
12,13,0,1.6384,0.3057,-6.5227,1.6658,0.3159,-6.7306,0.476651816060241,0.2099,0,0,205,0.606,1,-79.0245,29.394
13,14,0,1.6658,0.3159,-6.7306,1.6901,0.3263,-6.8959,0.47304535837655,0.1674,0,0,205,0.631,1,-78.8592,29.369
14,15,0,1.6901,0.3263,-6.8959,1.7218,0.3277,-7.1059,0.469098270735335,0.2124,0,0,205,0.6628,1,-78.6492,29.3372
15,16,0,1.7218,0.3277,-7.1059,1.7751,0.3419,-7.317,0.464728460443033,0.2182,0,0,205,0.6956,1,-78.4381,29.3044
16,17,0,1.7751,0.3419,-7.317,1.8,0.3539,-7.4974,0.460963691219241,0.1824,0,0,205,0.7231,1,-78.2577,29.2769
17,18,0,1.8,0.3539,-7.4974,1.8285,0.368,-7.6991,0.457263028020523,0.2042,0,0,205,0.7539,1,-78.056,29.2461
18,19,0,1.8285,0.368,-7.6991,1.8662,0.3905,-7.8921,0.453736566205511,0.198,0,0,205,0.7838,1,-77.863,29.2162
19,20,0,1.8662,0.3905,-7.8921,1.8889,0.4155,-8.0782,0.44979628442307,0.1891,0,0,205,0.8125,1,-77.6769,29.1875
20,21,0,1.8889,0.4155,-8.0782,1.8993,0.4345,-8.3293,0.446327406940412,0.252,0,0,205,0.8508,1,-77.4258,29.1492
21,22,0,1.8993,0.4345,-8.3293,1.9077,0.4483,-8.5264,0.44311320492091,0.1978,0,0,205,0.8809,1,-77.2287,29.1191
22,23,0,1.9077,0.4483,-8.5264,1.9329,0.4394,-8.7337,0.439405105432157,0.2089,0,0,205,0.9128,1,-77.0214,29.0872
23,24,0,1.9329,0.4394,-8.7337,1.9516,0.4254,-8.9382,0.436059097540853,0.2058,0,0,205,0.9444,1,-76.8169,29.0556
24,25,0,1.9516,0.4254,-8.9382,1.9667,0.4179,-9.1054,0.433088579633404,0.1681,0,0,205,0.9702,1,-76.6497,29.0298
25,26,0,1.9667,0.4179,-9.1054,1.9838,0.4166,-9.3016,0.429443325870597,0.1969,0,0,205,1.0005,1,-76.4535,28.9995
26,27,0,1.9838,0.4166,-9.3016,1.9799,0.4194,-9.4551,0.425557587223764,0.1536,0,0,205,1.0241,1,-76.3,28.9759
27,28,0,1.9799,0.4194,-9.4551,1.9743,0.4441,-9.7053,0.422275641189488,0.2515,0,0,205,1.063,1,-76.0498,28.937
28,29,0,1.9743,0.4441,-9.7053,1.98,0.474,-9.9022,0.418854782616739,0.1992,0,0,205,1.0939,1,-75.8529,28.9061
29,30,0,1.98,0.474,-9.9022,1.9851,0.5006,-10.0791,0.415543074909931,0.179,0,0,205,1.1217,1,-75.676,28.8783
30,31,0,1.9851,0.5006,-10.0791,1.9915,0.5291,-10.2892,0.412429292508805,0.2121,0,0,205,1.1547,1,-75.4659,28.8453
31,32,0,1.9915,0.5291,-10.2892,1.9995,0.5556,-10.486,0.409088199290742,0.1988,0,0,205,1.1858,1,-75.2691,28.8142
32,33,0,1.9995,0.5556,-10.486,2.0075,0.5757,-10.6552,0.406301412296564,0.1705,0,0,205,1.2124,1,-75.0999,28.7876
33,34,0,2.0075,0.5757,-10.6552,2.0174,0.5926,-10.8688,0.403217363062955,0.2145,0,0,205,1.2461,1,-74.8863,28.7539
34,35,0,2.0174,0.5926,-10.8688,2.0241,0.6109,-11.0586,0.399823531687446,0.1908,0,0,205,1.2761,1,-74.6965,28.7239
35,36,0,2.0241,0.6109,-11.0586,2.0283,0.6255,-11.2528,0.396225216839598,0.1947,0,0,205,1.3068,1,-74.5023,28.6932
36,37,0,2.0283,0.6255,-11.2528,2.023,0.6414,-11.4812,0.392890237506211,0.2291,0,0,205,1.343,1,-74.2739,28.657
37,38,0,2.023,0.6414,-11.4812,2.0194,0.6451,-11.7165,0.389564239171798,0.2354,0,0,205,1.3803,1,-74.0386,28.6197
38,39,0,2.0194,0.6451,-11.7165,1.9946,0.6364,-11.904,0.386948372207574,0.1893,0,0,205,1.4104,1,-73.8511,28.5896
39,40,0,1.9946,0.6364,-11.904,1.9623,0.6288,-12.1009,0.383738480028895,0.1997,0,0,205,1.4422,1,-73.6542,28.5578
40,41,0,1.9623,0.6288,-12.1009,1.9227,0.6225,-12.3357,0.380583187031472,0.2382,0,0,205,1.4803,1,-73.4194,28.5197
41,42,0,1.9227,0.6225,-12.3357,1.9091,0.6173,-12.5039,0.377213476926405,0.1689,0,0,205,1.5073,1,-73.2512,28.4927
42,43,0,1.9091,0.6173,-12.5039,1.9021,0.629,-12.7088,0.374157667330887,0.2053,0,0,205,1.5403,1,-73.0463,28.4597
43,44,0,1.9021,0.629,-12.7088,1.891,0.6327,-12.9,0.370772170758065,0.1916,0,0,205,1.5712,1,-72.8551,28.4288
