"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","time2"
0,1,0,0,0,0,0.0012,0.0154,-0.1994,0.53239158413285,0.2,0.4314,0.3922,0.1961,0.1648,1,29.8352
1,2,0,0.0012,0.0154,-0.1994,-3e-04,0.0151,-0.2319,0.528894394171114,0.0325,0.4314,0.3922,0.1961,0.1917,1,29.8083
2,3,0,-3e-04,0.0151,-0.2319,-0.0158,0.0125,-0.4313,0.507853123590103,0.2,0.4314,0.3922,0.1961,0.3574,1,29.6426
3,4,0,-0.0158,0.0125,-0.4313,-0.0207,0.0098,-0.4967,0.501117086306242,0.0657,0.4314,0.3922,0.1961,0.4119,1,29.5881
4,5,0,-0.0207,0.0098,-0.4967,-0.0204,-0.0037,-0.6962,0.481086592062973,0.2,0.4314,0.3922,0.1961,0.5784,1,29.4216
5,6,0,-0.0204,-0.0037,-0.6962,-0.0168,-0.0074,-0.7837,0.472535690240702,0.0876,0.4314,0.3922,0.1961,0.6516,1,29.3484
6,7,0,-0.0168,-0.0074,-0.7837,-0.0103,-0.0142,-0.9455,0.45707261762507,0.1621,0.4314,0.3922,0.1961,0.7874,1,29.2126
7,8,0,-0.0103,-0.0142,-0.9455,-0.0044,-0.0132,-1.1189,0.441033695246265,0.1735,0.4314,0.3922,0.1961,0.9332,1,29.0668
8,9,0,-0.0044,-0.0132,-1.1189,6e-04,-0.0256,-1.3185,0.42316631395973,0.2,0.4314,0.3922,0.1961,1.102,1,28.898
9,10,0,6e-04,-0.0256,-1.3185,0.0052,-0.0242,-1.3997,0.416093202227015,0.0814,0.4314,0.3922,0.1961,1.1708,1,28.8292
10,11,0,0.0052,-0.0242,-1.3997,0.01,-0.0305,-1.4828,0.408937886999077,0.0835,0.4314,0.3922,0.1961,1.2416,1,28.7584
11,12,0,0.01,-0.0305,-1.4828,0.0183,-0.0225,-1.6825,0.392245837217577,0.2,0.4314,0.3922,0.1961,1.4117,1,28.5883
12,13,0,0.0183,-0.0225,-1.6825,0.0241,-0.023,-1.7344,0.38799260454172,0.0522,0.4314,0.3922,0.1961,1.4562,1,28.5438
13,14,0,0.0241,-0.023,-1.7344,0.0348,-0.0451,-1.9329,0.372073449241853,0.2,0.4314,0.3922,0.1961,1.6272,1,28.3728
14,15,0,0.0348,-0.0451,-1.9329,0.0392,-0.049,-1.9781,0.368535218252317,0.0455,0.4314,0.3922,0.1961,1.6662,1,28.3338
15,16,0,0.0392,-0.049,-1.9781,0.0525,-0.052,-2.1055,0.358727045006536,0.1282,0.4314,0.3922,0.1961,1.7763,1,28.2237
16,17,0,0.0525,-0.052,-2.1055,0.0484,-0.0665,-2.3049,0.34389909263615,0.2,0.4314,0.3922,0.1961,1.9486,1,28.0514
17,18,0,0.0484,-0.0665,-2.3049,0.068,-0.0743,-2.4577,0.332832972140924,0.1543,0.4314,0.3922,0.1961,2.0821,1,27.9179
18,19,0,0.068,-0.0743,-2.4577,0.088,-0.0758,-2.6567,0.318965925026978,0.2,0.4314,0.3922,0.1961,2.2558,1,27.7442
19,20,0,0.088,-0.0758,-2.6567,0.0959,-0.0779,-2.75,0.312652477751323,0.0936,0.4314,0.3922,0.1961,2.3374,1,27.6626
20,21,0,0.0959,-0.0779,-2.75,0.1064,-0.0681,-2.9077,0.302228779617472,0.1584,0.4314,0.3922,0.1961,2.4758,1,27.5242
21,22,0,0.1064,-0.0681,-2.9077,0.0743,-0.0623,-3.1051,0.289516207233703,0.2,0.4314,0.3922,0.1961,2.6512,1,27.3488
22,23,0,0.0743,-0.0623,-3.1051,0.0721,-0.0618,-3.1211,0.288503661963544,0.0162,0.4314,0.3922,0.1961,2.6655,1,27.3345
23,24,0,0.0721,-0.0618,-3.1211,0.0688,-0.0475,-3.3181,0.276456443073572,0.1976,0.4314,0.3922,0.1961,2.8396,1,27.1604
24,25,0,0.0688,-0.0475,-3.3181,0.0639,-0.0308,-3.5174,0.264724133732698,0.2,0.4314,0.3922,0.1961,3.0166,1,26.9834
