"root","x","Barrier","Kr","Kx","kAQP","perimeter","kr","radius","Barrier_Name"
"root1",1,"b1",5.74746564609053e-12,2.41108513644902e-11,1.157e-07,0.114120707319229,5.03630391109756e-08,0.181628746789987,"M1"
"root1",1,"b3",3.76268594253489e-12,2.41108513644902e-11,1.157e-07,0.114120707319229,3.29711060413388e-08,0.181628746789987,"M2"
"root1",1,"b4",3.40232043040544e-12,2.41108513644902e-11,1.157e-07,0.114120707319229,2.98133486054214e-08,0.181628746789987,"M3"
"root1",1,"b6",4.46227480702192e-12,2.41108513644902e-11,1.157e-07,0.114120707319229,3.91013595327588e-08,0.181628746789987,"T2"
"root1",1,"b8",3.16730453704619e-12,2.41108513644902e-11,1.157e-07,0.114120707319229,2.77539862085354e-08,0.181628746789987,"T3"
"root1",1,"b9",4.59768085197461e-12,2.41108513644902e-11,1.157e-07,0.114120707319229,4.02878755308934e-08,0.181628746789987,"T1"
"root1",1,"b1",7.14810084537233e-12,2.41108513644902e-11,2.315e-07,0.114120707319229,6.26363173983578e-08,0.181628746789987,"M1"
"root1",1,"b3",4.15221444274199e-12,2.41108513644902e-11,2.315e-07,0.114120707319229,3.63844085817575e-08,0.181628746789987,"M2"
"root1",1,"b4",3.8534474573816e-12,2.41108513644902e-11,2.315e-07,0.114120707319229,3.37664175757549e-08,0.181628746789987,"M3"
"root1",1,"b6",5.51509549622164e-12,2.41108513644902e-11,2.315e-07,0.114120707319229,4.83268604425514e-08,0.181628746789987,"T2"
"root1",1,"b8",3.54328921307343e-12,2.41108513644902e-11,2.315e-07,0.114120707319229,3.10486089361662e-08,0.181628746789987,"T3"
"root1",1,"b9",5.72790795639283e-12,2.41108513644902e-11,2.315e-07,0.114120707319229,5.01916618898111e-08,0.181628746789987,"T1"
"root1",1,"b1",8.21481697899321e-12,2.41108513644902e-11,3.472e-07,0.114120707319229,7.19835792466126e-08,0.181628746789987,"M1"
"root1",1,"b3",4.36809731978391e-12,2.41108513644902e-11,3.472e-07,0.114120707319229,3.82761150223602e-08,0.181628746789987,"M2"
"root1",1,"b4",4.11338979434127e-12,2.41108513644902e-11,3.472e-07,0.114120707319229,3.60442017138478e-08,0.181628746789987,"M3"
"root1",1,"b6",6.26036789048972e-12,2.41108513644902e-11,3.472e-07,0.114120707319229,5.48574227898679e-08,0.181628746789987,"T2"
"root1",1,"b8",3.74644331066949e-12,2.41108513644902e-11,3.472e-07,0.114120707319229,3.28287775170337e-08,0.181628746789987,"T3"
"root1",1,"b9",6.54603430946753e-12,2.41108513644902e-11,3.472e-07,0.114120707319229,5.73606180967347e-08,0.181628746789987,"T1"
"root1",1,"b1",9.10848211877445e-12,2.41108513644902e-11,4.63e-07,0.114120707319229,7.98144555246697e-08,0.181628746789987,"M1"
"root1",1,"b3",4.51241965040323e-12,2.41108513644902e-11,4.63e-07,0.114120707319229,3.95407613254681e-08,0.181628746789987,"M2"
"root1",1,"b4",4.2907412482132e-12,2.41108513644902e-11,4.63e-07,0.114120707319229,3.75982707170815e-08,0.181628746789987,"M3"
"root1",1,"b6",6.84723178003763e-12,2.41108513644902e-11,4.63e-07,0.114120707319229,5.9999906597879e-08,0.181628746789987,"T2"
"root1",1,"b8",3.87815836586847e-12,2.41108513644902e-11,4.63e-07,0.114120707319229,3.39829506578514e-08,0.181628746789987,"T3"
"root1",1,"b9",7.20349291680155e-12,2.41108513644902e-11,4.63e-07,0.114120707319229,6.31216988223817e-08,0.181628746789987,"T1"
"root1",1,"b1",9.89361768428502e-12,2.41108513644902e-11,5.787e-07,0.114120707319229,8.66943249537498e-08,0.181628746789987,"M1"
"root1",1,"b3",4.61932637567657e-12,2.41108513644902e-11,5.787e-07,0.114120707319229,4.04775477140617e-08,0.181628746789987,"M2"
"root1",1,"b4",4.42340497670768e-12,2.41108513644902e-11,5.787e-07,0.114120707319229,3.87607567514817e-08,0.181628746789987,"M3"
"root1",1,"b6",7.33557841027405e-12,2.41108513644902e-11,5.787e-07,0.114120707319229,6.42791179847343e-08,0.181628746789987,"T2"
"root1",1,"b8",3.97273383493587e-12,2.41108513644902e-11,5.787e-07,0.114120707319229,3.48116825443692e-08,0.181628746789987,"T3"
"root1",1,"b9",7.76078260424298e-12,2.41108513644902e-11,5.787e-07,0.114120707319229,6.80050342006189e-08,0.181628746789987,"T1"
"root1",1,"b1",1.06036487999696e-11,2.41108513644902e-11,6.944e-07,0.114120707319229,9.29160802544632e-08,0.181628746789987,"M1"
"root1",1,"b3",4.7038248720136e-12,2.41108513644902e-11,6.944e-07,0.114120707319229,4.12179785992355e-08,0.181628746789987,"M2"
"root1",1,"b4",4.52859386643296e-12,2.41108513644902e-11,6.944e-07,0.114120707319229,3.96824903456404e-08,0.181628746789987,"M3"
"root1",1,"b6",7.75615314864047e-12,2.41108513644902e-11,6.944e-07,0.114120707319229,6.79644678940189e-08,0.181628746789987,"T2"
"root1",1,"b8",4.04526776655069e-12,2.41108513644902e-11,6.944e-07,0.114120707319229,3.54472721171881e-08,0.181628746789987,"T3"
"root1",1,"b9",8.24889863530338e-12,2.41108513644902e-11,6.944e-07,0.114120707319229,7.22822249272325e-08,0.181628746789987,"T1"
"root1",1,"b1",1.12584579244015e-11,2.41108513644902e-11,8.102e-07,0.114120707319229,9.86539444844862e-08,0.181628746789987,"M1"
"root1",1,"b3",4.77363437565403e-12,2.41108513644902e-11,8.102e-07,0.114120707319229,4.18296949588717e-08,0.181628746789987,"M2"
"root1",1,"b4",4.61540900270772e-12,2.41108513644902e-11,8.102e-07,0.114120707319229,4.04432211394999e-08,0.181628746789987,"M3"
"root1",1,"b6",8.1270454558051e-12,2.41108513644902e-11,8.102e-07,0.114120707319229,7.12144679674248e-08,0.181628746789987,"T2"
"root1",1,"b8",4.10351353947082e-12,2.41108513644902e-11,8.102e-07,0.114120707319229,3.59576595331826e-08,0.181628746789987,"T3"
"root1",1,"b9",8.68607530059146e-12,2.41108513644902e-11,8.102e-07,0.114120707319229,7.61130517382263e-08,0.181628746789987,"T1"
"root1",1,"b1",1.18709391432277e-11,2.41108513644902e-11,9.259e-07,0.114120707319229,1.04020904024203e-07,0.181628746789987,"M1"
"root1",1,"b3",4.83316600446329e-12,2.41108513644902e-11,9.259e-07,0.114120707319229,4.23513498820465e-08,0.181628746789987,"M2"
"root1",1,"b4",4.68917526514501e-12,2.41108513644902e-11,9.259e-07,0.114120707319229,4.10896091979873e-08,0.181628746789987,"M3"
"root1",1,"b6",8.45986619245731e-12,2.41108513644902e-11,9.259e-07,0.114120707319229,7.41308601320932e-08,0.181628746789987,"T2"
"root1",1,"b8",4.15188795393567e-12,2.41108513644902e-11,9.259e-07,0.114120707319229,3.63815476740923e-08,0.181628746789987,"T3"
"root1",1,"b9",9.0840277790645e-12,2.41108513644902e-11,9.259e-07,0.114120707319229,7.96001706653799e-08,0.181628746789987,"T1"
"root1",1,"b1",1.24499639206599e-11,2.41108513644902e-11,1.0417e-06,0.114120707319229,1.09094696423793e-07,0.181628746789987,"M1"
"root1",1,"b3",4.88514085674601e-12,2.41108513644902e-11,1.0417e-06,0.114120707319229,4.28067874052063e-08,0.181628746789987,"M2"
"root1",1,"b4",4.75324430926712e-12,2.41108513644902e-11,1.0417e-06,0.114120707319229,4.16510239107694e-08,0.181628746789987,"M3"
"root1",1,"b6",8.76253331972055e-12,2.41108513644902e-11,1.0417e-06,0.114120707319229,7.67830267228293e-08,0.181628746789987,"T2"
"root1",1,"b8",4.19310431976879e-12,2.41108513644902e-11,1.0417e-06,0.114120707319229,3.67427123286175e-08,0.181628746789987,"T3"
"root1",1,"b9",9.45075779073916e-12,2.41108513644902e-11,1.0417e-06,0.114120707319229,8.28136979934993e-08,0.181628746789987,"T1"
"root1",1,"b1",1.30019054990562e-11,2.41108513644902e-11,1.1574e-06,0.114120707319229,1.13931168185683e-07,0.181628746789987,"M1"
"root1",1,"b3",4.93133887601299e-12,2.41108513644902e-11,1.1574e-06,0.114120707319229,4.32116045532262e-08,0.181628746789987,"M2"
"root1",1,"b4",4.80984640744232e-12,2.41108513644902e-11,1.1574e-06,0.114120707319229,4.214700837761e-08,0.181628746789987,"M3"
"root1",1,"b6",9.0406942608851e-12,2.41108513644902e-11,1.1574e-06,0.114120707319229,7.92204541424338e-08,0.181628746789987,"T2"
"root1",1,"b8",4.22892861311038e-12,2.41108513644902e-11,1.1574e-06,0.114120707319229,3.70566281304306e-08,0.181628746789987,"T3"
