"plant_id","length","days","growth_rate","CS_date"
"P01",10,21,0.476190476190476,2022-11-07
"B01",16.5,21,0.785714285714286,2022-11-01
"B02",27.5,21,1.30952380952381,2022-11-02
"B04",23,21,1.0952380952381,2022-11-04
"P02",17,21,0.80952380952381,2022-11-08
"P03",21,21,1,2022-11-09
"P04",17,21,0.80952380952381,2022-11-14
"B05",25,21,1.19047619047619,2022-11-28
"B11",39,31,1.25806451612903,2022-11-23
"P11",31,31,1,2022-12-09
"P12",46,31,1.48387096774194,2022-12-12
"P13",37,31,1.19354838709677,2022-12-14
"P14",45,31,1.45161290322581,2022-12-20
