"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","time2"
0,1,0,0,0,-3,8e-04,0.0017,-3.2,0.533018044922536,0.2,0.4314,0.3922,0.1961,0.16,1,29.84
1,2,0,8e-04,0.0017,-3.2,-0.0035,0.0033,-3.3796,0.514515807590615,0.1796,0.4314,0.3922,0.1961,0.3042,1,29.6958
2,3,0,-0.0035,0.0033,-3.3796,-0.0076,-0.0021,-3.5794,0.494603671872008,0.2,0.4314,0.3922,0.1961,0.4653,1,29.5347
3,4,0,-0.0076,-0.0021,-3.5794,-0.0197,-0.0047,-3.7583,0.477341314475278,0.1793,0.4314,0.3922,0.1961,0.6103,1,29.3897
4,5,0,-0.0197,-0.0047,-3.7583,-0.0365,-0.0094,-3.9575,0.458732971338685,0.2,0.4314,0.3922,0.1961,0.7726,1,29.2274
5,6,0,-0.0365,-0.0094,-3.9575,-0.0487,-0.0069,-4.1571,0.440774443660895,0.2,0.4314,0.3922,0.1961,0.9356,1,29.0644
6,7,0,-0.0487,-0.0069,-4.1571,-0.0496,-0.0065,-4.1738,0.439308227287616,0.0167,0.4314,0.3922,0.1961,0.9492,1,29.0508
7,8,0,-0.0496,-0.0065,-4.1738,-0.0527,-0.0051,-4.3737,0.422048095947839,0.2,0.4314,0.3922,0.1961,1.1128,1,28.8872
8,9,0,-0.0527,-0.0051,-4.3737,-0.0516,0.0018,-4.5736,0.405406504680685,0.2,0.4314,0.3922,0.1961,1.277,1,28.723
9,10,0,-0.0516,0.0018,-4.5736,-0.0519,0.0045,-4.5983,0.403385338073038,0.0248,0.4314,0.3922,0.1961,1.2974,1,28.7026
10,11,0,-0.0519,0.0045,-4.5983,-0.0518,0.0189,-4.7977,0.387403691168365,0.2,0.4314,0.3922,0.1961,1.4624,1,28.5376
11,12,0,-0.0518,0.0189,-4.7977,-0.0546,0.0241,-4.9572,0.375075477474177,0.1596,0.4314,0.3922,0.1961,1.5944,1,28.4056
12,13,0,-0.0546,0.0241,-4.9572,-0.0609,0.0267,-5.1571,0.360109545775184,0.2,0.4314,0.3922,0.1961,1.7606,1,28.2394
13,14,0,-0.0609,0.0267,-5.1571,-0.0486,0.023,-5.351,0.346096721874288,0.1943,0.4314,0.3922,0.1961,1.9226,1,28.0774
14,15,0,-0.0486,0.023,-5.351,-0.04,0.0221,-5.5508,0.332189396944153,0.2,0.4314,0.3922,0.1961,2.09,1,27.91
15,16,0,-0.04,0.0221,-5.5508,-0.0545,0.0186,-5.734,0.319858042117155,0.1838,0.4314,0.3922,0.1961,2.2444,1,27.7556
16,17,0,-0.0545,0.0186,-5.734,-0.094,-0.0262,-5.9249,0.306907309633741,0.2,0.4314,0.3922,0.1961,2.4131,1,27.5869
17,18,0,-0.094,-0.0262,-5.9249,-0.1396,-0.0361,-6.1064,0.295203302201188,0.1874,0.4314,0.3922,0.1961,2.5718,1,27.4282
18,19,0,-0.1396,-0.0361,-6.1064,-0.1696,-0.0266,-6.3039,0.283160614479429,0.2,0.4314,0.3922,0.1961,2.7418,1,27.2582
19,20,0,-0.1696,-0.0266,-6.3039,-0.1879,-0.0183,-6.5029,0.271569279241175,0.2,0.4314,0.3922,0.1961,2.9124,1,27.0876
