"param_id","reg_param","value"
"cortex_cell_diameter","Fx","exp(0.00823*X + -3.8538 + sd)"
"cortex_cell_diameter","sigma","0.20301"
"cortex_n_layers","Fx","-0.05407*X + 3.63181 + sd"
"cortex_n_layers","sigma","0.50463"
"endodermis_cell_diameter","Fx","exp(0.0141*X + -4.22711 + sd)"
"endodermis_cell_diameter","sigma","0.23149"
"epidermis_cell_diameter","Fx","exp(0.0088*X + -4.17252 + sd)"
"epidermis_cell_diameter","sigma","0.20906"
"exodermis_cell_diameter","Fx","exp(0.01157*X + -3.69029 + sd)"
"exodermis_cell_diameter","sigma","0.18593"
"pericycle_cell_diameter","Fx","7e-05*X + 0.0135 + sd"
"pericycle_cell_diameter","sigma","0.00313"
"phloem_max_size","Fx","0.00015*X + 0.00822 + sd"
"phloem_max_size","sigma","0.00326"
"phloem_n_files","Fx","exp(0.04936*X + -0.20331+ sd)"
"phloem_n_files","sigma","0.30806"
"phloem_proportion","Fx","0.00682*X + -0.00278 + sd"
"phloem_proportion","sigma","0.03647"
"stele_cell_diameter","Fx","0.0332*exp(0.04151*X + -2.19752)+ sd"
"stele_cell_diameter","sigma","0.00387"
"stele_layer_diameter","Fx","exp(0.04151*X + -2.19752 + sd)"
"stele_layer_diameter","sigma","0.34227"
"stele_mean_size","Fx","484.622*exp(0.04151*X + -2.19752)+ sd"
"stele_mean_size","sigma","25.70551"
"stele_n_layers","Fx","exp(0.01988*X + 1.68451 + sd)"
"stele_n_layers","sigma","0.24995"
"stele_SD","Fx","236.31294*exp(0.04151*X + -2.19752)+ sd"
"stele_SD","sigma","32.192"
"stele_totarea","Fx","795673.47686*((exp(0.04151*X + -2.19752))^2)+ sd"
"stele_totarea","sigma","5282.68722"
"xylem_max_size","Fx","2.63494*exp(0.08551*X + 5.04845)+ sd"
"xylem_max_size","sigma","756.08826"
"xylem_mean_size","Fx","exp(0.08551*X + 5.04845 + sd)"
"xylem_mean_size","sigma","0.28032"
"xylem_n_files","Fx","exp(0.04002*X + 1.55517 + sd)"
"xylem_n_files","sigma","0.37869"
