"plant_id","segment","begin","end","length","position","age"
"P01","A",0,1.5,1.5,0.75,1.58
"P01","B",1.5,3,1.5,2.25,4.73
"P01","C",3,4.5,1.5,3.75,7.88
"P01","G",8,10,2,9,18.9
"B01","A",0,1.5,1.5,0.75,0.95
"B01","B",1.5,3,1.5,2.25,2.86
"B01","C",3,4.5,1.5,3.75,4.77
"B01","D",4.5,7.5,3,6,7.64
"B01","E",7.5,10.5,3,9,11.45
"B01","F",10.5,13.5,3,12,15.27
"B01","G",13.5,16.5,3,15,19.09
"B02","A",0,1.5,1.5,0.75,0.57
"B02","B",1.5,3,1.5,2.25,1.72
"B02","C",3,4.5,1.5,3.75,2.86
"B02","D",4.5,7.5,3,6,4.58
"B02","E",7.5,10.5,3,9,6.87
"B02","F",10.5,13.5,3,12,9.16
"B02","G",22.5,25.5,3,24,18.33
"B04","A",0,1.5,1.5,0.75,0.68
"B04","B",1.5,3,1.5,2.25,2.05
"B04","C",3,4.5,1.5,3.75,3.42
"B04","D",4.5,7.5,3,6,5.48
"B04","E",15,17,2,16,14.61
"B04","F",17,21,4,19,17.35
"B04","G",21,23,2,22,20.09
"P02","A",0,1.5,1.5,0.75,0.93
"P02","B",1.5,3,1.5,2.25,2.78
"P02","C",3,4.5,1.5,3.75,4.63
"P02","D",4.5,9,4.5,6.75,8.34
"P02","E",9,12,3,10.5,12.97
"P02","F",12,15,3,13.5,16.68
"P02","G",15,17,2,16,19.76
"P03","A",0,1.5,1.5,0.75,0.75
"P03","B",1.5,3,1.5,2.25,2.25
"P03","C",3,4.5,1.5,3.75,3.75
"P03","D",4.5,7.5,3,6,6
"P03","E",7.5,10.5,3,9,9
"P03","E2",13,16,3,14.5,14.5
"P03","F",16,19,3,17.5,17.5
"P03","G",19,21,2,20,20
"P04","A",0,1.5,1.5,0.75,0.93
"P04","B",1.5,3,1.5,2.25,2.78
"P04","C",3,4.5,1.5,3.75,4.63
"P04","D",4.5,7.5,3,6,7.41
"P04","F",12,15,3,13.5,16.68
"P04","G",15,17,2,16,19.76
"B05","A",0,1.5,1.5,0.75,0.63
"B05","B",1.5,3,1.5,2.25,1.89
"B05","C",3,4.5,1.5,3.75,3.15
"B05","D",4.5,15,10.5,9.75,8.19
"B05","E",15,18,3,16.5,13.86
"B05","E2",18,21,3,19.5,16.38
"B05","F",21,24,3,22.5,18.9
"B11","A",0,1.5,1.5,0.75,0.6
"B11","B",1.5,3,1.5,2.25,1.79
"B11","C",3,4.5,1.5,3.75,2.98
"B11","D",4.5,31,26.5,17.75,14.11
"B11","E",31,34,3,32.5,25.83
"B11","F",34,37,3,35.5,28.22
"P11","A",0,1.5,1.5,0.75,0.75
"P11","B",1.5,3,1.5,2.25,2.25
"P11","C",3,4.5,1.5,3.75,3.75
"P11","D",4.5,18,13.5,11.25,11.25
"P11","D2",18,21,3,19.5,19.5
"P11","E",21,24,3,22.5,22.5
"P11","E2",24,27,3,25.5,25.5
"P11","F",27,30,3,28.5,28.5
"P11","F2",30,31,1,30.5,30.5
"P12","A",0,1.5,1.5,0.75,0.51
"P12","B",1.5,3,1.5,2.25,1.52
"P12","C",3,4.5,1.5,3.75,2.53
"P12","D",4.5,7,2.5,5.75,3.88
"P12","D2",35,38,3,36.5,24.6
"P12","E",38,41,3,39.5,26.62
"P12","F",41,44,3,42.5,28.64
"P13","A",0,1,1,0.5,0.42
"P13","B",1,2.5,1.5,1.75,1.47
"P13","C",2.5,4,1.5,3.25,2.72
"P13","D",4,25,21,14.5,12.15
"P13","D2",25,28,3,26.5,22.2
"P13","E",28,31,3,29.5,24.72
"P13","F",31,33.5,2.5,32.25,27.02
"P13","F2",33.5,36,2.5,34.75,29.11
"P13","G",36,37,1,36.5,30.58
"P14","B",1.5,3,1.5,2.25,1.55
"P14","C",3,4.5,1.5,3.75,2.58
"P14","D",4.5,7.5,3,6,4.13
"P14","D2",35,38,3,36.5,25.14
"P14","E",38,41,3,39.5,27.21
"P14","F",41,42.5,1.5,41.75,28.76
"P14","F2",42.5,44,1.5,43.25,29.79
"P14","G",44,45,1,44.5,30.66
