"","root","x","y","Barrier","Kr","Kx","perimeter","Kr2","param_id"
"1","root11",14,0.0219,"b1",7.90939846606181e-05,0.16412722044308,0.161849221183059,9.15439637275672e-08,"cortex_cell_diameter"
"2","root28",3,0.0369,"b4",2.85722046242031e-05,0.223428003198228,0.175907754947098,3.30696812780128e-08,"cortex_cell_diameter"
"3","root25",15,0.0222,"b6",5.72297904615274e-05,0.122294075469897,0.120806373650188,6.62381834045456e-08,"cortex_cell_diameter"
"4","root17",27,0.0285,"b6",6.38805194558774e-05,1.8469025541461,0.212037284028202,7.39357864072655e-08,"cortex_cell_diameter"
"5","root18",2,0.0217,"b1",8.20836477658707e-05,0.0821064753416343,0.145374090177569,9.50042219512392e-08,"cortex_cell_diameter"
"6","root20",6,0.0274,"b5",7.7808646974248e-05,0.147534781825033,0.1493496309713,9.00563043683426e-08,"cortex_cell_diameter"
"7","root29",17,0.0283,"b6",5.28637983411003e-05,0.0658046540133171,0.14402224064187,6.11849517836809e-08,"cortex_cell_diameter"
"8","root12",18,0.0199,"b4",4.18720427517277e-05,0.298908871275808,0.142385047018408,4.84630124441293e-08,"cortex_cell_diameter"
"9","root5",7,0.0144,"b1",9.83305949451623e-05,0.0444883417607344,0.115426637460779,1.13808558964308e-07,"cortex_cell_diameter"
"10","root23",28,0.0256,"b1",7.54600139629198e-05,1.37128961634932,0.192657723262278,8.73379791237498e-08,"cortex_cell_diameter"
"11","root19",14,0.0194,"b6",5.2884941695011e-05,0.122502767764537,0.127342936485211,6.12094232581146e-08,"cortex_cell_diameter"
"12","root9",22,0.0354,"b5",5.07616308080129e-05,0.252169282298329,0.1521546102974,5.87518875092742e-08,"cortex_cell_diameter"
"13","root25",30,0.0305,"b6",6.18850379136922e-05,5.3262265437367,0.218258651612991,7.16262012889956e-08,"cortex_cell_diameter"
"14","root22",23,0.0165,"b1",8.5593513711349e-05,1.77548217071745,0.21847909885334,9.90665667955428e-08,"cortex_cell_diameter"
"15","root10",17,0.0258,"b6",5.6601067993867e-05,0.619456397569034,0.174479722850002,6.5510495363272e-08,"cortex_cell_diameter"
"16","root22",9,0.0212,"b1",7.73860026459519e-05,0.130036230368094,0.146860450547384,8.9567132692074e-08,"cortex_cell_diameter"
"17","root30",20,0.0234,"b1",9.73854191648642e-05,0.460846489226961,0.140853735414919,1.12714605514889e-07,"cortex_cell_diameter"
"18","root15",22,0.0266,"b4",3.97419992715383e-05,0.528380905843913,0.163274338792001,4.59976843420582e-08,"cortex_cell_diameter"
"19","root18",26,0.0229,"b6",6.45566206619767e-05,1.74691780813607,0.239582058045928,7.47183109513619e-08,"cortex_cell_diameter"
"20","root5",22,0.0279,"b6",6.05444493154392e-05,1.57242339168017,0.190367861021088,7.00745941150917e-08,"cortex_cell_diameter"
"21","root19",10,0.0248,"b6",5.23628004751814e-05,0.194068009044917,0.125225013128061,6.06050931425711e-08,"cortex_cell_diameter"
"22","root18",21,0.0289,"b1",7.99980109602206e-05,0.930238642359989,0.18852557702842,9.25902904632183e-08,"cortex_cell_diameter"
"23","root3",21,0.0229,"b5",7.63241857988127e-05,0.645956831313825,0.16875881076813,8.83381780078851e-08,"cortex_cell_diameter"
"24","root16",8,0.0282,"b6",7.06423431439473e-05,0.0941393408493487,0.180813824716205,8.17619712314205e-08,"cortex_cell_diameter"
"25","root9",14,0.0159,"b5",8.58937053933561e-05,0.267801106461792,0.10508304394115,9.94140108719399e-08,"cortex_cell_diameter"
"26","root25",26,0.0261,"b6",6.23366004517077e-05,2.31288453849636,0.231485615851974,7.21488431154024e-08,"cortex_cell_diameter"
"27","root19",30,0.027,"b5",8.43595860877462e-05,4.4908543134494,0.212427623388423,9.76384098237803e-08,"cortex_cell_diameter"
"28","root16",15,0.0179,"b6",5.71714899823247e-05,0.010699350024265,0.100277338686814,6.6170705998061e-08,"cortex_cell_diameter"
"29","root2",13,0.0275,"b6",5.50588733598475e-05,0.00677360919338364,0.142174614947869,6.37255478701939e-08,"cortex_cell_diameter"
"30","root5",6,0.0228,"b6",5.80417750881758e-05,0.0189616763178764,0.121300875366289,6.71779804261294e-08,"cortex_cell_diameter"
"31","root2",13,0.0275,"b5",6.66319021142433e-05,0.00677360919338364,0.142174614947869,7.71202570766705e-08,"cortex_cell_diameter"
"32","root18",23,0.0272,"b6",5.82481341967225e-05,0.822843156264447,0.157106815435375,6.74168219869473e-08,"cortex_cell_diameter"
"33","root25",7,0.028,"b1",7.56335024140014e-05,0.119903295693073,0.130149275046969,8.75387759421312e-08,"cortex_cell_diameter"
"34","root4",17,0.0223,"b6",6.22211322776593e-05,0.232687063876743,0.136265104878729,7.2015199395439e-08,"cortex_cell_diameter"
"35","root28",18,0.0213,"b6",6.70290922754691e-05,0.895411566139812,0.175095914377274,7.75799679114226e-08,"cortex_cell_diameter"
"36","root25",16,0.0327,"b5",6.49654255235547e-05,0.463998668387444,0.185194473577085,7.51914647263365e-08,"cortex_cell_diameter"
"37","root18",18,0.0234,"b4",4.37062406054785e-05,0.97903788278203,0.186245999526105,5.05859266267112e-08,"cortex_cell_diameter"
"38","root21",24,0.0263,"b6",6.41906690509144e-05,1.57073906349493,0.148280918631986,7.42947558459657e-08,"cortex_cell_diameter"
"39","root29",6,0.0319,"b6",4.75570011994554e-05,0.172432363792322,0.181718052139537,5.50428254623326e-08,"cortex_cell_diameter"
"40","root17",27,0.0285,"b5",7.90950249992884e-05,1.8469025541461,0.212037284028202,9.15451678232504e-08,"cortex_cell_diameter"
"41","root10",18,0.0312,"b4",5.04527167903837e-05,1.00542864363508,0.24511761734145,5.83943481370182e-08,"cortex_cell_diameter"
"42","root14",28,0.0402,"b5",8.53197036958201e-05,3.69961581431242,0.206072359119091,9.87496570553473e-08,"cortex_cell_diameter"
"43","root25",28,0.0326,"b1",7.65377441425962e-05,6.65683002726819,0.301905240054769,8.85853520168938e-08,"cortex_cell_diameter"
"44","root30",22,0.0171,"b4",4.31710120318513e-05,0.206474221062565,0.144674595295172,4.9966449110939e-08,"cortex_cell_diameter"
"45","root21",30,0.025,"b1",0.000107806409226851,4.1493017980109,0.178919581997417,1.24775936605152e-07,"cortex_cell_diameter"
"46","root26",13,0.0156,"b6",5.78587622305156e-05,0.0381416140613624,0.141724583887934,6.69661599890227e-08,"cortex_cell_diameter"
"47","root26",21,0.0263,"b4",3.52181503990266e-05,0.45806177459692,0.232146276933477,4.07617481470215e-08,"cortex_cell_diameter"
"48","root29",24,0.0282,"b5",6.83028152091718e-05,0.345470727289777,0.207640237796373,7.90541842698748e-08,"cortex_cell_diameter"
"49","root24",23,0.0381,"b5",8.07785263422689e-05,1.53119261237588,0.177363136102659,9.34936647479964e-08,"cortex_cell_diameter"
"50","root11",24,0.0284,"b4",7.26754881248972e-05,5.39462286192142,0.197617128729892,8.41151482927051e-08,"cortex_cell_diameter"
"51","root30",8,0.024,"b6",5.90398423330159e-05,0.136070266318953,0.110660304979305,6.8333150848398e-08,"cortex_cell_diameter"
"52","root28",3,0.0369,"b5",5.08940360425491e-05,0.223428003198228,0.175907754947098,5.89051343085059e-08,"cortex_cell_diameter"
"53","root5",6,0.0228,"b5",7.17737278171313e-05,0.0189616763178764,0.121300875366289,8.30714442327909e-08,"cortex_cell_diameter"
