"","name","type","root","x","y"
"1","cortex","cell_diameter","root1",0,0.0184400299290327
"2","cortex","cell_diameter","root1",1,0.0242480381676795
"3","cortex","cell_diameter","root1",2,0.0161235556552
"4","cortex","cell_diameter","root1",3,0.0229515151598243
"5","cortex","cell_diameter","root1",4,0.0170042455928187
"6","cortex","cell_diameter","root1",5,0.0217904824943759
"7","cortex","cell_diameter","root1",6,0.0200836589506195
"8","cortex","cell_diameter","root1",7,0.0179061760972748
"9","cortex","cell_diameter","root1",8,0.0251467878564121
"10","cortex","cell_diameter","root1",9,0.02882467642388
"11","cortex","cell_diameter","root1",10,0.0149086569543424
"12","cortex","cell_diameter","root1",11,0.02363360966141
"13","cortex","cell_diameter","root1",12,0.0190747158437407
"14","cortex","cell_diameter","root1",13,0.0225828161046688
"15","cortex","cell_diameter","root1",14,0.018755786035982
"16","cortex","cell_diameter","root1",15,0.0222852603840863
"17","cortex","cell_diameter","root1",16,0.0217336570562352
"18","cortex","cell_diameter","root1",17,0.0278157843894397
"19","cortex","cell_diameter","root1",18,0.0283972277225845
"20","cortex","cell_diameter","root1",19,0.0228150011795937
"21","cortex","cell_diameter","root1",20,0.0283511553418109
"22","cortex","cell_diameter","root1",21,0.031000319094542
"23","cortex","cell_diameter","root1",22,0.0380114743937806
"24","cortex","cell_diameter","root1",23,0.0238996145365728
"25","cortex","cell_diameter","root1",24,0.0233635859233235
"26","cortex","cell_diameter","root1",25,0.0249220643526558
"27","cortex","cell_diameter","root1",26,0.0208222990506095
"28","cortex","cell_diameter","root1",27,0.0382816532393102
"29","cortex","cell_diameter","root1",28,0.0286673160789152
"30","cortex","cell_diameter","root1",29,0.0179563088579329
"31","cortex","cell_diameter","root1",30,0.0206178207316003
"32","cortex","n_layers","root1",0,3
"33","cortex","n_layers","root1",1,4
"34","cortex","n_layers","root1",2,4
"35","cortex","n_layers","root1",3,3
"36","cortex","n_layers","root1",4,3
"37","cortex","n_layers","root1",5,3
"38","cortex","n_layers","root1",6,4
"39","cortex","n_layers","root1",7,2
"40","cortex","n_layers","root1",8,3
"41","cortex","n_layers","root1",9,4
"42","cortex","n_layers","root1",10,3
"43","cortex","n_layers","root1",11,3
"44","cortex","n_layers","root1",12,3
"45","cortex","n_layers","root1",13,3
"46","cortex","n_layers","root1",14,3
"47","cortex","n_layers","root1",15,3
"48","cortex","n_layers","root1",16,3
"49","cortex","n_layers","root1",17,3
"50","cortex","n_layers","root1",18,3
"51","cortex","n_layers","root1",19,2
"52","cortex","n_layers","root1",20,3
"53","cortex","n_layers","root1",21,2
"54","cortex","n_layers","root1",22,2
