"","name","type","root","x","y"
"1","cortex","cell_diameter","root1",0,0.0212
"2","cortex","cell_diameter","root1",1,0.0317
"3","cortex","cell_diameter","root1",2,0.0277
"4","cortex","cell_diameter","root1",3,0.02
"5","cortex","cell_diameter","root1",4,0.0203
"6","cortex","cell_diameter","root1",5,0.0231
"7","cortex","cell_diameter","root1",6,0.0279
"8","cortex","cell_diameter","root1",7,0.0213
"9","cortex","cell_diameter","root1",8,0.0169
"10","cortex","cell_diameter","root1",9,0.0186
"11","cortex","cell_diameter","root1",10,0.0233
"12","cortex","cell_diameter","root1",11,0.0275
"13","cortex","cell_diameter","root1",12,0.0202
"14","cortex","cell_diameter","root1",13,0.0279
"15","cortex","cell_diameter","root1",14,0.0226
"16","cortex","cell_diameter","root1",15,0.0237
"17","cortex","cell_diameter","root1",16,0.0204
"18","cortex","cell_diameter","root1",17,0.0262
"19","cortex","cell_diameter","root1",18,0.0247
"20","cortex","cell_diameter","root1",19,0.0332
"21","cortex","cell_diameter","root1",20,0.0204
"22","cortex","cell_diameter","root1",21,0.0217
"23","cortex","cell_diameter","root1",22,0.0251
"24","cortex","cell_diameter","root1",23,0.0176
"25","cortex","cell_diameter","root1",24,0.0253
"26","cortex","cell_diameter","root1",25,0.0224
"27","cortex","cell_diameter","root1",26,0.0404
"28","cortex","cell_diameter","root1",27,0.0309
"29","cortex","cell_diameter","root1",28,0.0393
"30","cortex","cell_diameter","root1",29,0.022
"31","cortex","cell_diameter","root1",30,0.0287
"32","cortex","n_layers","root1",0,3
"33","cortex","n_layers","root1",1,3
"34","cortex","n_layers","root1",2,3
"35","cortex","n_layers","root1",3,4
"36","cortex","n_layers","root1",4,3
"37","cortex","n_layers","root1",5,3
"38","cortex","n_layers","root1",6,4
"39","cortex","n_layers","root1",7,3
"40","cortex","n_layers","root1",8,3
"41","cortex","n_layers","root1",9,3
"42","cortex","n_layers","root1",10,3
"43","cortex","n_layers","root1",11,3
"44","cortex","n_layers","root1",12,3
"45","cortex","n_layers","root1",13,3
"46","cortex","n_layers","root1",14,3
"47","cortex","n_layers","root1",15,3
"48","cortex","n_layers","root1",16,3
"49","cortex","n_layers","root1",17,3
"50","cortex","n_layers","root1",18,2
"51","cortex","n_layers","root1",19,2
"52","cortex","n_layers","root1",20,3
"53","cortex","n_layers","root1",21,3
"54","cortex","n_layers","root1",22,2
"55","cortex","n_layers","root1",23,2
"56","cortex","n_layers","root1",24,2
"57","cortex","n_layers","root1",25,0
"58","cortex","n_layers","root1",26,3
"59","cortex","n_layers","root1",27,2
"60","cortex","n_layers","root1",28,2
"61","cortex","n_layers","root1",29,1
"62","cortex","n_layers","root1",30,3
"63","endodermis","cell_diameter","root1",0,0.0131
"64","endodermis","cell_diameter","root1",1,0.0164
"65","endodermis","cell_diameter","root1",2,0.0169
"66","endodermis","cell_diameter","root1",3,0.0161
"67","endodermis","cell_diameter","root1",4,0.015
"68","endodermis","cell_diameter","root1",5,0.0198
"69","endodermis","cell_diameter","root1",6,0.0163
"70","endodermis","cell_diameter","root1",7,0.0161
"71","endodermis","cell_diameter","root1",8,0.0144
"72","endodermis","cell_diameter","root1",9,0.0229
"73","endodermis","cell_diameter","root1",10,0.0159
"74","endodermis","cell_diameter","root1",11,0.0153
"75","endodermis","cell_diameter","root1",12,0.0169
"76","endodermis","cell_diameter","root1",13,0.0162
"77","endodermis","cell_diameter","root1",14,0.0191
"78","endodermis","cell_diameter","root1",15,0.0297
"79","endodermis","cell_diameter","root1",16,0.0254
"80","endodermis","cell_diameter","root1",17,0.0164
"81","endodermis","cell_diameter","root1",18,0.0265
"82","endodermis","cell_diameter","root1",19,0.0138
"83","endodermis","cell_diameter","root1",20,0.0185
"84","endodermis","cell_diameter","root1",21,0.0303
"85","endodermis","cell_diameter","root1",22,0.0183
"86","endodermis","cell_diameter","root1",23,0.0135
"87","endodermis","cell_diameter","root1",24,0.0183
"88","endodermis","cell_diameter","root1",25,0.0175
"89","endodermis","cell_diameter","root1",26,0.0211
"90","endodermis","cell_diameter","root1",27,0.0224
"91","endodermis","cell_diameter","root1",28,0.0169
"92","endodermis","cell_diameter","root1",29,0.0196
"93","endodermis","cell_diameter","root1",30,0.0163
"94","epidermis","cell_diameter","root1",0,0.0149
"95","epidermis","cell_diameter","root1",1,0.0179
"96","epidermis","cell_diameter","root1",2,0.0131
"97","epidermis","cell_diameter","root1",3,0.0144
"98","epidermis","cell_diameter","root1",4,0.0162
"99","epidermis","cell_diameter","root1",5,0.0216
"100","epidermis","cell_diameter","root1",6,0.0198
"101","epidermis","cell_diameter","root1",7,0.0203
"102","epidermis","cell_diameter","root1",8,0.0103
"103","epidermis","cell_diameter","root1",9,0.0196
"104","epidermis","cell_diameter","root1",10,0.0138
"105","epidermis","cell_diameter","root1",11,0.014
"106","epidermis","cell_diameter","root1",12,0.0131
"107","epidermis","cell_diameter","root1",13,0.021
"108","epidermis","cell_diameter","root1",14,0.0227
"109","epidermis","cell_diameter","root1",15,0.0156
"110","epidermis","cell_diameter","root1",16,0.0146
"111","epidermis","cell_diameter","root1",17,0.0156
"112","epidermis","cell_diameter","root1",18,0.0178
"113","epidermis","cell_diameter","root1",19,0.0208
"114","epidermis","cell_diameter","root1",20,0.0228
"115","epidermis","cell_diameter","root1",21,0.02
"116","epidermis","cell_diameter","root1",22,0.0205
"117","epidermis","cell_diameter","root1",23,0.0183
"118","epidermis","cell_diameter","root1",24,0.0218
"119","epidermis","cell_diameter","root1",25,0.015
"120","epidermis","cell_diameter","root1",26,0.0148
"121","epidermis","cell_diameter","root1",27,0.0216
"122","epidermis","cell_diameter","root1",28,0.0242
"123","epidermis","cell_diameter","root1",29,0.02
"124","epidermis","cell_diameter","root1",30,0.0207
"125","exodermis","cell_diameter","root1",0,0.0165
"126","exodermis","cell_diameter","root1",1,0.0232
"127","exodermis","cell_diameter","root1",2,0.0294
"128","exodermis","cell_diameter","root1",3,0.0231
"129","exodermis","cell_diameter","root1",4,0.0313
"130","exodermis","cell_diameter","root1",5,0.0284
"131","exodermis","cell_diameter","root1",6,0.0232
"132","exodermis","cell_diameter","root1",7,0.0314
"133","exodermis","cell_diameter","root1",8,0.0275
"134","exodermis","cell_diameter","root1",9,0.0333
"135","exodermis","cell_diameter","root1",10,0.0259
"136","exodermis","cell_diameter","root1",11,0.0238
"137","exodermis","cell_diameter","root1",12,0.0426
"138","exodermis","cell_diameter","root1",13,0.0296
"139","exodermis","cell_diameter","root1",14,0.0283
"140","exodermis","cell_diameter","root1",15,0.0348
"141","exodermis","cell_diameter","root1",16,0.0242
"142","exodermis","cell_diameter","root1",17,0.0347
"143","exodermis","cell_diameter","root1",18,0.0265
"144","exodermis","cell_diameter","root1",19,0.0289
"145","exodermis","cell_diameter","root1",20,0.028
"146","exodermis","cell_diameter","root1",21,0.0347
"147","exodermis","cell_diameter","root1",22,0.0331
"148","exodermis","cell_diameter","root1",23,0.0332
"149","exodermis","cell_diameter","root1",24,0.0318
"150","exodermis","cell_diameter","root1",25,0.0334
"151","exodermis","cell_diameter","root1",26,0.0445
"152","exodermis","cell_diameter","root1",27,0.0446
"153","exodermis","cell_diameter","root1",28,0.038
"154","exodermis","cell_diameter","root1",29,0.0383
"155","exodermis","cell_diameter","root1",30,0.0347
"156","pericycle","cell_diameter","root1",0,0.0102
"157","pericycle","cell_diameter","root1",1,0.0128
"158","pericycle","cell_diameter","root1",2,0.0153
"159","pericycle","cell_diameter","root1",3,0.0156
"160","pericycle","cell_diameter","root1",4,0.0145
"161","pericycle","cell_diameter","root1",5,0.011
"162","pericycle","cell_diameter","root1",6,0.0127
"163","pericycle","cell_diameter","root1",7,0.0163
"164","pericycle","cell_diameter","root1",8,0.0172
"165","pericycle","cell_diameter","root1",9,0.0124
"166","pericycle","cell_diameter","root1",10,0.0114
"167","pericycle","cell_diameter","root1",11,0.0169
"168","pericycle","cell_diameter","root1",12,0.0138
"169","pericycle","cell_diameter","root1",13,0.0118
"170","pericycle","cell_diameter","root1",14,0.0136
"171","pericycle","cell_diameter","root1",15,0.0186
"172","pericycle","cell_diameter","root1",16,0.0229
"173","pericycle","cell_diameter","root1",17,0.0101
"174","pericycle","cell_diameter","root1",18,0.0178
"175","pericycle","cell_diameter","root1",19,0.0168
"176","pericycle","cell_diameter","root1",20,0.0174
"177","pericycle","cell_diameter","root1",21,0.0125
"178","pericycle","cell_diameter","root1",22,0.0079
"179","pericycle","cell_diameter","root1",23,0.0174
"180","pericycle","cell_diameter","root1",24,0.0187
"181","pericycle","cell_diameter","root1",25,0.0183
"182","pericycle","cell_diameter","root1",26,0.0174
"183","pericycle","cell_diameter","root1",27,0.0181
"184","pericycle","cell_diameter","root1",28,0.0177
"185","pericycle","cell_diameter","root1",29,0.0216
"186","pericycle","cell_diameter","root1",30,0.0193
"187","phloem","max_size","root1",0,0.0158
"188","phloem","max_size","root1",1,0.0104
"189","phloem","max_size","root1",2,0.0086
"190","phloem","max_size","root1",3,0.0081
"191","phloem","max_size","root1",4,0.0037
"192","phloem","max_size","root1",5,0.0098
"193","phloem","max_size","root1",6,0.0071
"194","phloem","max_size","root1",7,0.0061
"195","phloem","max_size","root1",8,0.0095
"196","phloem","max_size","root1",9,0.0118
"197","phloem","max_size","root1",10,0.0112
"198","phloem","max_size","root1",11,0.0175
"199","phloem","max_size","root1",12,0.0094
"200","phloem","max_size","root1",13,0.0121
"201","phloem","max_size","root1",14,0.0088
"202","phloem","max_size","root1",15,0.008
"203","phloem","max_size","root1",16,0.0139
"204","phloem","max_size","root1",17,0.0114
"205","phloem","max_size","root1",18,0.0119
"206","phloem","max_size","root1",19,0.0093
"207","phloem","max_size","root1",20,0.0109
"208","phloem","max_size","root1",21,0.0131
"209","phloem","max_size","root1",22,0.0144
"210","phloem","max_size","root1",23,0.0062
"211","phloem","max_size","root1",24,0.0159
"212","phloem","max_size","root1",25,0.0118
"213","phloem","max_size","root1",26,0.0074
"214","phloem","max_size","root1",27,0.0072
"215","phloem","max_size","root1",28,0.012
"216","phloem","max_size","root1",29,0.0178
"217","phloem","max_size","root1",30,0.0087
"218","phloem","n_files","root1",0,1
"219","phloem","n_files","root1",1,1
"220","phloem","n_files","root1",2,1
"221","phloem","n_files","root1",3,1
"222","phloem","n_files","root1",4,1
"223","phloem","n_files","root1",5,2
"224","phloem","n_files","root1",6,2
"225","phloem","n_files","root1",7,1
"226","phloem","n_files","root1",8,1
"227","phloem","n_files","root1",9,1
"228","phloem","n_files","root1",10,2
"229","phloem","n_files","root1",11,1
"230","phloem","n_files","root1",12,2
"231","phloem","n_files","root1",13,2
"232","phloem","n_files","root1",14,1
"233","phloem","n_files","root1",15,2
"234","phloem","n_files","root1",16,2
"235","phloem","n_files","root1",17,2
"236","phloem","n_files","root1",18,2
"237","phloem","n_files","root1",19,1
"238","phloem","n_files","root1",20,3
"239","phloem","n_files","root1",21,2
"240","phloem","n_files","root1",22,3
"241","phloem","n_files","root1",23,3
"242","phloem","n_files","root1",24,2
"243","phloem","n_files","root1",25,3
"244","phloem","n_files","root1",26,3
"245","phloem","n_files","root1",27,5
"246","phloem","n_files","root1",28,4
"247","phloem","n_files","root1",29,4
"248","phloem","n_files","root1",30,4
"249","phloem","proportion","root1",0,0
"250","phloem","proportion","root1",1,0
"251","phloem","proportion","root1",2,0
"252","phloem","proportion","root1",3,0
"253","phloem","proportion","root1",4,0
"254","phloem","proportion","root1",5,0
"255","phloem","proportion","root1",6,0
"256","phloem","proportion","root1",7,-0.0194
"257","phloem","proportion","root1",8,-0.0095
"258","phloem","proportion","root1",9,0.0571
"259","phloem","proportion","root1",10,0.0286
"260","phloem","proportion","root1",11,0.0014
"261","phloem","proportion","root1",12,0.0469
"262","phloem","proportion","root1",13,0.144
"263","phloem","proportion","root1",14,0.0541
"264","phloem","proportion","root1",15,0.1124
"265","phloem","proportion","root1",16,0.0862
"266","phloem","proportion","root1",17,0.101
"267","phloem","proportion","root1",18,0.1327
"268","phloem","proportion","root1",19,0.1143
"269","phloem","proportion","root1",20,0.2002
"270","phloem","proportion","root1",21,0.0917
"271","phloem","proportion","root1",22,0.1001
"272","phloem","proportion","root1",23,0.1515
"273","phloem","proportion","root1",24,0.1248
"274","phloem","proportion","root1",25,0.2223
"275","phloem","proportion","root1",26,0.2377
"276","phloem","proportion","root1",27,0.1143
"277","phloem","proportion","root1",28,0.1572
"278","phloem","proportion","root1",29,0.151
"279","phloem","proportion","root1",30,0.2647
"280","stele","cell_diameter","root1",0,0.0013
"281","stele","cell_diameter","root1",1,0.0028
"282","stele","cell_diameter","root1",2,0.0025
"283","stele","cell_diameter","root1",3,-9e-04
"284","stele","cell_diameter","root1",4,-0.0022
"285","stele","cell_diameter","root1",5,0.0033
"286","stele","cell_diameter","root1",6,0.0108
"287","stele","cell_diameter","root1",7,0.0033
"288","stele","cell_diameter","root1",8,0.0088
"289","stele","cell_diameter","root1",9,0.0034
"290","stele","cell_diameter","root1",10,0.0071
"291","stele","cell_diameter","root1",11,-0.0033
"292","stele","cell_diameter","root1",12,0.0032
"293","stele","cell_diameter","root1",13,0.0048
"294","stele","cell_diameter","root1",14,0.0089
"295","stele","cell_diameter","root1",15,0.0084
"296","stele","cell_diameter","root1",16,4e-04
"297","stele","cell_diameter","root1",17,0.0096
"298","stele","cell_diameter","root1",18,0.0074
"299","stele","cell_diameter","root1",19,0.003
"300","stele","cell_diameter","root1",20,0.0034
"301","stele","cell_diameter","root1",21,0.0044
"302","stele","cell_diameter","root1",22,0.0133
"303","stele","cell_diameter","root1",23,0.0135
"304","stele","cell_diameter","root1",24,0.0081
"305","stele","cell_diameter","root1",25,0.0157
"306","stele","cell_diameter","root1",26,0.0061
"307","stele","cell_diameter","root1",27,0.0179
"308","stele","cell_diameter","root1",28,0.0163
"309","stele","cell_diameter","root1",29,0.0127
"310","stele","cell_diameter","root1",30,0.0135
"311","stele","layer_diameter","root1",0,0.1579
"312","stele","layer_diameter","root1",1,0.1253
"313","stele","layer_diameter","root1",2,0.0765
"314","stele","layer_diameter","root1",3,0.1747
"315","stele","layer_diameter","root1",4,0.1061
"316","stele","layer_diameter","root1",5,0.1575
"317","stele","layer_diameter","root1",6,0.1882
"318","stele","layer_diameter","root1",7,0.1466
"319","stele","layer_diameter","root1",8,0.0926
"320","stele","layer_diameter","root1",9,0.2005
"321","stele","layer_diameter","root1",10,0.1198
"322","stele","layer_diameter","root1",11,0.2507
"323","stele","layer_diameter","root1",12,0.2785
"324","stele","layer_diameter","root1",13,0.1845
"325","stele","layer_diameter","root1",14,0.2903
"326","stele","layer_diameter","root1",15,0.1807
"327","stele","layer_diameter","root1",16,0.2194
"328","stele","layer_diameter","root1",17,0.3003
"329","stele","layer_diameter","root1",18,0.213
"330","stele","layer_diameter","root1",19,0.2066
"331","stele","layer_diameter","root1",20,0.2201
"332","stele","layer_diameter","root1",21,0.3959
"333","stele","layer_diameter","root1",22,0.2744
"334","stele","layer_diameter","root1",23,0.2081
"335","stele","layer_diameter","root1",24,0.2928
"336","stele","layer_diameter","root1",25,0.3661
"337","stele","layer_diameter","root1",26,0.378
"338","stele","layer_diameter","root1",27,0.3428
"339","stele","layer_diameter","root1",28,0.3377
"340","stele","layer_diameter","root1",29,0.4352
"341","stele","layer_diameter","root1",30,0.4452
"342","stele","mean_size","root1",0,42.3856
"343","stele","mean_size","root1",1,68.4608
"344","stele","mean_size","root1",2,47.5406
"345","stele","mean_size","root1",3,90.7711
"346","stele","mean_size","root1",4,41.4738
"347","stele","mean_size","root1",5,86.8346
"348","stele","mean_size","root1",6,43.1772
"349","stele","mean_size","root1",7,41.6985
"350","stele","mean_size","root1",8,132.7065
"351","stele","mean_size","root1",9,114.1279
"352","stele","mean_size","root1",10,75.7696
"353","stele","mean_size","root1",11,73.9037
"354","stele","mean_size","root1",12,96.7479
"355","stele","mean_size","root1",13,64.0078
"356","stele","mean_size","root1",14,64.8057
"357","stele","mean_size","root1",15,125.9248
"358","stele","mean_size","root1",16,132.5889
"359","stele","mean_size","root1",17,80.7953
"360","stele","mean_size","root1",18,80.2801
"361","stele","mean_size","root1",19,100.1843
"362","stele","mean_size","root1",20,155.5833
"363","stele","mean_size","root1",21,137.8697
"364","stele","mean_size","root1",22,143.6695
"365","stele","mean_size","root1",23,161.6222
"366","stele","mean_size","root1",24,159.7485
"367","stele","mean_size","root1",25,209.3868
"368","stele","mean_size","root1",26,160.491
"369","stele","mean_size","root1",27,137.8266
"370","stele","mean_size","root1",28,168.7672
"371","stele","mean_size","root1",29,191.7809
"372","stele","mean_size","root1",30,190.0765
"373","stele","n_layers","root1",0,4
"374","stele","n_layers","root1",1,6
"375","stele","n_layers","root1",2,3
"376","stele","n_layers","root1",3,4
"377","stele","n_layers","root1",4,9
"378","stele","n_layers","root1",5,7
"379","stele","n_layers","root1",6,8
"380","stele","n_layers","root1",7,4
"381","stele","n_layers","root1",8,4
"382","stele","n_layers","root1",9,7
"383","stele","n_layers","root1",10,5
"384","stele","n_layers","root1",11,6
"385","stele","n_layers","root1",12,13
"386","stele","n_layers","root1",13,8
"387","stele","n_layers","root1",14,9
"388","stele","n_layers","root1",15,10
"389","stele","n_layers","root1",16,8
"390","stele","n_layers","root1",17,8
"391","stele","n_layers","root1",18,9
"392","stele","n_layers","root1",19,9
"393","stele","n_layers","root1",20,7
"394","stele","n_layers","root1",21,7
"395","stele","n_layers","root1",22,9
"396","stele","n_layers","root1",23,10
"397","stele","n_layers","root1",24,10
"398","stele","n_layers","root1",25,9
"399","stele","n_layers","root1",26,8
"400","stele","n_layers","root1",27,14
"401","stele","n_layers","root1",28,15
"402","stele","n_layers","root1",29,14
"403","stele","n_layers","root1",30,8
"404","stele","SD","root1",0,12.1509
"405","stele","SD","root1",1,8.0712
"406","stele","SD","root1",2,64.4991
"407","stele","SD","root1",3,-16.7815
"408","stele","SD","root1",4,-3.8029
"409","stele","SD","root1",5,34.1829
"410","stele","SD","root1",6,-25.5069
"411","stele","SD","root1",7,38.3958
"412","stele","SD","root1",8,40.8809
"413","stele","SD","root1",9,-10.1994
"414","stele","SD","root1",10,88.8604
"415","stele","SD","root1",11,105.752
"416","stele","SD","root1",12,23.0144
"417","stele","SD","root1",13,46.9328
"418","stele","SD","root1",14,9.5456
"419","stele","SD","root1",15,101.7269
"420","stele","SD","root1",16,44.5314
"421","stele","SD","root1",17,-14.9397
"422","stele","SD","root1",18,126.5652
"423","stele","SD","root1",19,63.6156
"424","stele","SD","root1",20,9.093
"425","stele","SD","root1",21,52.7944
"426","stele","SD","root1",22,80.6911
"427","stele","SD","root1",23,68.1156
"428","stele","SD","root1",24,72.6678
"429","stele","SD","root1",25,111.2321
"430","stele","SD","root1",26,44.1118
"431","stele","SD","root1",27,64.6888
"432","stele","SD","root1",28,101.6376
"433","stele","SD","root1",29,127.3687
"434","stele","SD","root1",30,106.2826
"435","stele","totarea","root1",0,9591.7717
"436","stele","totarea","root1",1,4474.3048
"437","stele","totarea","root1",2,2454.7476
