"","X","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","kr","kx","suf","jr","jxl","psi"
"1",1,0,1,0,0,0,0,0.0012,0.0154,-0.1994,0.18,0.2,0.4314,0.3922,0.1961,0.1648,1,7.0312e-08,0.200436612544495,0.000330336698855376,0.000233786120770379,0.707720702895108,-14999.2939375697
"2",2,1,2,0,0.0012,0.0154,-0.1994,-3e-04,0.0151,-0.2319,0.18,0.0325,0.4314,0.3922,0.1961,0.1917,1,7.0312e-08,0.200198314870895,5.36782228562419e-05,3.7989189620445e-05,0.68011375319354,-14999.1835316471
"3",3,2,3,0,-3e-04,0.0151,-0.2319,-0.0158,0.0125,-0.4313,0.18,0.2,0.4314,0.3922,0.1961,0.3574,1,7.0312e-08,0.198730436636116,0.000330318595325533,0.00023377330852751,0.680075764008212,-14998.4992289424
"4",4,3,4,0,-0.0158,0.0125,-0.4313,-0.0207,0.0098,-0.4967,0.18,0.0657,0.4314,0.3922,0.1961,0.4119,1,7.0312e-08,0.198247640234212,0.0001085063341905,7.67921791230269e-05,0.65295565167206,-14998.2828497531
"5",5,4,5,0,-0.0207,0.0098,-0.4967,-0.0204,-0.0037,-0.6962,0.18,0.2,0.4314,0.3922,0.1961,0.5784,1,7.0312e-08,0.196772675079772,0.000330298588917634,0.000233759149578446,0.652878859494828,-14997.6193816381
"6",6,5,6,0,-0.0204,-0.0037,-0.6962,-0.0168,-0.0074,-0.7837,0.18,0.0876,0.4314,0.3922,0.1961,0.6516,1,7.0312e-08,0.196124221930793,0.00014466614209716,0.00010238322379833,0.625460489516361,-14997.3400390157
"7",7,6,7,0,-0.0168,-0.0074,-0.7837,-0.0103,-0.0142,-0.9455,0.18,0.1621,0.4314,0.3922,0.1961,0.7874,1,7.0312e-08,0.194921217318343,0.000267691140915362,0.000189450562459603,0.625358106303861,-14996.820058711
"8",8,7,8,0,-0.0103,-0.0142,-0.9455,-0.0044,-0.0132,-1.1189,0.18,0.1735,0.4314,0.3922,0.1961,0.9332,1,7.0312e-08,0.193629626210131,0.000286506709733238,0.00020276673005243,0.603082293310723,-14996.2797633553
"9",9,8,9,0,-0.0044,-0.0132,-1.1189,6e-04,-0.0256,-1.3185,0.18,0.2,0.4314,0.3922,0.1961,1.102,1,7.0312e-08,0.192134286161666,0.000330254178544759,0.00023372771943813,0.585864338402736,-14995.6700361843
"10",10,9,10,0,6e-04,-0.0256,-1.3185,0.0052,-0.0242,-1.3997,0.18,0.0814,0.4314,0.3922,0.1961,1.1708,1,7.0312e-08,0.191524811070822,0.000134409569047284,9.51244347081773e-05,0.562607375926663,-14995.4309425203
"11",11,10,11,0,0.0052,-0.0242,-1.3997,0.01,-0.0305,-1.4828,0.18,0.0835,0.4314,0.3922,0.1961,1.2416,1,7.0312e-08,0.190897618680826,0.00013787486202825,9.75768942930792e-05,0.562512251493867,-14995.1849169309
"12",12,11,12,0,0.01,-0.0305,-1.4828,0.0183,-0.0225,-1.6825,0.18,0.2,0.4314,0.3922,0.1961,1.4117,1,7.0312e-08,0.189390762387912,0.000330230022665147,0.000233710623822028,0.539745930116028,-14994.6150590696
"13",13,12,13,0,0.0183,-0.0225,-1.6825,0.0241,-0.023,-1.7344,0.18,0.0522,0.4314,0.3922,0.1961,1.4562,1,7.0312e-08,0.18899655248177,8.61879639680699e-05,6.09970064573841e-05,0.494935272920645,-14994.4783685909
"14",14,13,14,0,0.0241,-0.023,-1.7344,0.0348,-0.0451,-1.9329,0.18,0.2,0.4314,0.3922,0.1961,1.6272,1,7.0312e-08,0.187481723404237,0.000330214617459659,0.000233699721239168,0.494874275893476,-14993.9505758905
"15",15,14,15,0,0.0348,-0.0451,-1.9329,0.0392,-0.049,-1.9781,0.18,0.0455,0.4314,0.3922,0.1961,1.6662,1,7.0312e-08,0.187136236070765,7.51221863821573e-05,5.31655265640437e-05,0.466667926025039,-14993.8371174735
"16",16,15,16,0,0.0392,-0.049,-1.9781,0.0525,-0.052,-2.1055,0.18,0.1282,0.4314,0.3922,0.1961,1.7763,1,7.0312e-08,0.186160898752423,0.000211659820222621,0.000149796036783872,0.466614760513467,-14993.5158340529
"17",17,16,17,0,0.0525,-0.052,-2.1055,0.0484,-0.0665,-2.3049,0.18,0.2,0.4314,0.3922,0.1961,1.9486,1,7.0312e-08,0.184634553430441,0.000330193479348353,0.000233684761360173,0.446906495535221,-14993.0318621806
"18",18,17,18,0,0.0484,-0.0665,-2.3049,0.068,-0.0743,-2.4577,0.18,0.1543,0.4314,0.3922,0.1961,2.0821,1,7.0312e-08,0.183451923712016,0.000254736979041046,0.00018028263390997,0.424573648612937,-14992.6748323725
"19",19,18,19,0,0.068,-0.0743,-2.4577,0.088,-0.0758,-2.6567,0.18,0.2,0.4314,0.3922,0.1961,2.2558,1,7.0312e-08,0.181913176280628,0.000330174776756761,0.000233671525148902,0.424393365986519,-14992.2083719013
"20",20,19,20,0,0.088,-0.0758,-2.6567,0.0959,-0.0779,-2.75,0.18,0.0936,0.4314,0.3922,0.1961,2.3374,1,7.0312e-08,0.181190310475209,0.000154518225556357,0.000109355747230975,0.411335699295504,-14991.9959107411
"21",21,20,21,0,0.0959,-0.0779,-2.75,0.1064,-0.0681,-2.9077,0.18,0.1584,0.4314,0.3922,0.1961,2.4758,1,7.0312e-08,0.17996427337386,0.000261487270537809,0.000185059954954121,0.411226343551236,-14991.6340411611
"22",22,21,22,0,0.1064,-0.0681,-2.9077,0.0743,-0.0623,-3.1051,0.18,0.2,0.4314,0.3922,0.1961,2.6512,1,7.0312e-08,0.178410466238192,0.000330151718285775,0.000233655206191603,0.389974205225093,-14991.197006961
"23",23,22,23,0,0.0743,-0.0623,-3.1051,0.0721,-0.0618,-3.1211,0.18,0.0162,0.4314,0.3922,0.1961,2.6655,1,7.0312e-08,0.178283787549252,2.67418615972282e-05,1.89257690915277e-05,0.361120577614956,-14991.1641941061
"24",24,23,24,0,0.0721,-0.0618,-3.1211,0.0688,-0.0475,-3.3181,0.18,0.1976,0.4314,0.3922,0.1961,2.8396,1,7.0312e-08,0.176741496658033,0.000326179837065063,0.000230844223621491,0.361101651853055,-14990.7606053607
"25",25,24,25,0,0.0688,-0.0475,-3.3181,0.0639,-0.0308,-3.5174,0.18,0.2,0.4314,0.3922,0.1961,3.0166,1,7.0312e-08,0.175173515683043,0.00033013237267388,0.000233641514901551,0.360870807633078,-14990.348723479
"26",26,25,26,0,0.0639,-0.0308,-3.5174,0.0613,-0.0305,-3.5547,0.18,0.0375,0.4314,0.3922,0.1961,3.0499,1,7.0312e-08,0.174878522652155,6.18988007201107e-05,4.38070627660689e-05,0.335366372743725,-14990.2768140335
"27",27,26,27,0,0.0613,-0.0305,-3.5547,0.0616,-0.0291,-3.7225,0.18,0.1678,0.4314,0.3922,0.1961,3.1991,1,7.0312e-08,0.173556812135383,0.000276972766703006,0.000196019361187853,0.335322565647198,-14989.9527087463
"28",28,27,28,0,0.0616,-0.0291,-3.7225,0.0625,-0.028,-3.9225,0.18,0.2,0.4314,0.3922,0.1961,3.3778,1,7.0312e-08,0.171973771456114,0.000330114649174789,0.000233628971614313,0.32122897249666,-14989.5792655697
"29",29,28,29,0,0.0625,-0.028,-3.9225,0.0401,-0.0115,-4.0496,0.18,0.1301,0.4314,0.3922,0.1961,3.4944,1,7.0312e-08,0.170940852915527,0.00021473515639075,0.000151972515859018,0.304511310834308,-14989.3475653353
"30",30,29,30,0,0.0401,-0.0115,-4.0496,0.0231,-9e-04,-4.2486,0.18,0.2,0.4314,0.3922,0.1961,3.6744,1,7.0312e-08,0.169346295991808,0.000330101208885321,0.000233619459643202,0.304359338317212,-14988.9882512725
"31",31,30,31,0,0.0231,-9e-04,-4.2486,0.0172,0.0057,-4.3373,0.18,0.0891,0.4314,0.3922,0.1961,3.7549,1,7.0312e-08,0.168633174700923,0.000147057557446328,0.000104075677950624,0.277067437340658,-14988.8418858131
"32",32,31,32,0,0.0172,0.0057,-4.3373,0.0076,0.0206,-4.5294,0.18,0.1929,0.4314,0.3922,0.1961,3.9297,1,7.0312e-08,0.167084682755,0.000318372085689767,0.000225318516328614,0.276963361656058,-14988.5222604619
"33",33,32,33,0,0.0076,0.0206,-4.5294,0.0073,0.0235,-4.5562,0.18,0.027,0.4314,0.3922,0.1961,3.9542,1,7.0312e-08,0.166867645840383,4.45616423855374e-05,3.15371968799408e-05,0.25315592423298,-14988.4813011485
"34",34,33,34,0,0.0073,0.0235,-4.5562,0.0091,0.0337,-4.6911,0.18,0.1353,0.4314,0.3922,0.1961,4.0772,1,7.0312e-08,0.165778031942508,0.00022330162107996,0.000158035180271862,0.227150209257894,-14988.2959766405
"35",35,34,35,0,0.0091,0.0337,-4.6911,0.0087,0.0231,-4.8908,0.18,0.2,0.4314,0.3922,0.1961,4.2599,1,7.0312e-08,0.164159556664934,0.000330078693793585,0.000233603525246648,0.213468875577291,-14988.0360440751
"36",36,35,36,0,0.0087,0.0231,-4.8908,0.0094,0.0213,-4.9327,0.18,0.042,0.4314,0.3922,0.1961,4.2983,1,7.0312e-08,0.163819384521207,6.93157914900053e-05,4.90562206885513e-05,0.199998955494987,-14987.9847746482
"37",37,36,37,0,0.0094,0.0213,-4.9327,0.0133,0.0152,-5.0428,0.18,0.1103,0.4314,0.3922,0.1961,4.3995,1,7.0312e-08,0.162922889184094,0.000182035315107157,0.000128830161194859,0.199949899269629,-14987.8494506983
"38",38,37,38,0,0.0133,0.0152,-5.0428,0.0077,0.0108,-5.2128,0.18,0.1702,0.4314,0.3922,0.1961,4.5561,1,7.0312e-08,0.161535624660459,0.000280889194906,0.000198791098509278,0.170794376931741,-14987.6696000564
"39",39,38,39,0,0.0077,0.0108,-5.2128,-0.0031,0.0071,-5.3672,0.18,0.1548,0.4314,0.3922,0.1961,4.6991,1,7.0312e-08,0.16026883777106,0.000255471044981647,0.000180802147573566,0.14649207569559,-14987.5281940318
"40",40,39,40,0,-0.0031,0.0071,-5.3672,-0.0297,0.011,-5.5569,0.18,0.1916,0.4314,0.3922,0.1961,4.8768,1,7.0312e-08,0.158694655741366,0.000316199939268527,0.000223781243336159,0.132313727018269,-14987.3685801387
"41",41,40,41,0,-0.0297,0.011,-5.5569,-0.0365,0.0076,-5.6383,0.18,0.0817,0.4314,0.3922,0.1961,4.9529,1,7.0312e-08,0.158020512508616,0.000134829543634436,9.54216594182762e-05,0.11911545443155,-14987.3070195572
"42",42,41,42,0,-0.0365,0.0076,-5.6383,-0.0505,-0.0069,-5.8373,0.18,0.2,0.4314,0.3922,0.1961,5.1396,1,7.0312e-08,0.156366602632737,0.000330057684733343,0.000233588656699762,0.118783129300728,-14987.1552399152
"43",43,42,43,0,-0.0505,-0.0069,-5.8373,-0.0493,-0.0101,-5.8791,0.18,0.0419,0.4314,0.3922,0.1961,5.1789,1,7.0312e-08,0.156018457704391,6.91466609437422e-05,4.89365234994359e-05,0.10574206123463,-14987.1268486133
"44",44,43,44,0,-0.0493,-0.0101,-5.8791,-0.0458,-0.0206,-6.0788,0.18,0.2,0.4314,0.3922,0.1961,5.3666,1,7.0312e-08,0.154355689178936,0.000330053804205742,0.00023358591037004,0.10569312471862,-14986.9900524483
"45",45,44,45,0,-0.0458,-0.0206,-6.0788,-0.0448,-0.0164,-6.1569,0.18,0.0783,0.4314,0.3922,0.1961,5.4404,1,7.0312e-08,0.153701920840211,0.000129215249209669,9.14483070206257e-05,0.0953447980813256,-14986.9415044702
"46",46,45,46,0,-0.0448,-0.0164,-6.1569,-0.0425,-0.0074,-6.3567,0.18,0.2,0.4314,0.3922,0.1961,5.6294,1,7.0312e-08,0.152027636070306,0.000330049769845856,0.000233583055170025,0.0952533497826327,-14986.8163475441
"47",47,46,47,0,-0.0425,-0.0074,-6.3567,-0.0421,-0.0061,-6.4003,0.18,0.0436,0.4314,0.3922,0.1961,5.6707,1,7.0312e-08,0.151661773842808,7.19504813594815e-05,5.09208452554012e-05,0.0880921222938345,-14986.7910299815
"48",48,47,48,0,-0.0421,-0.0061,-6.4003,-0.0594,0,-6.5995,0.18,0.2,0.4314,0.3922,0.1961,5.8609,1,7.0312e-08,0.149976858693412,0.000330046477148224,0.000233580724859742,0.0880412014499531,-14986.6737793447
"49",49,48,49,0,-0.0594,0,-6.5995,-0.0683,0.0031,-6.7039,0.18,0.1049,0.4314,0.3922,0.1961,5.9609,1,7.0312e-08,0.149090993735791,0.000173108362570515,0.000122512372069176,0.0781765519515386,-14986.6188176443
