"","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","suf","kr","kx","jr","jxl","psi"
"1",0,1,0,0,0,-3,0.0129,0.017,-3.1989,0.849645563990649,0.2,0.4314,0.3922,0.1961,0.1531,"1",0.0134714300618054,4.206647e-08,1.7406763985,0.000660238704681789,0.0490102905697656,-14999.9944067523
"2",1,2,0,0.0129,0.017,-3.1989,0.0218,0.0256,-3.2987,0.829536639286344,0.1006,0.4314,0.3922,0.1961,0.2303,"1",0.00666067620257588,4.235211e-08,1.6903755805,0.00032644167754408,0.0483500520215698,-14999.9915389901
"3",2,3,0,0.0218,0.0256,-3.2987,0.0297,0.0272,-3.468,0.796506491208365,0.1696,0.4314,0.3922,0.1961,0.3608,"1",0.0109049362895892,4.283496e-08,1.605346348,0.000534454098595594,0.0477898585467771,-14999.9865183674
"4",3,4,0,0.0297,0.0272,-3.468,0.0313,0.0328,-3.668,0.759177248397245,0.2,0.4314,0.3922,0.1961,0.5152,"1",0.0124203770753427,4.340624e-08,1.504744712,0.000608726292179898,0.0470216528874292,-14999.9803090364
"5",4,5,0,0.0313,0.0328,-3.668,0.0204,0.0431,-3.7535,0.74375767711808,0.0868,0.4314,0.3922,0.1961,0.5825,"1",0.0053112527357074,4.365525e-08,1.4608943875,0.00026030604103445,0.0464129266719695,-14999.977559115
"6",5,6,0,0.0204,0.0431,-3.7535,0.0248,0.049,-3.9533,0.708934599503621,0.2,0.4314,0.3922,0.1961,0.7378,"1",0.0118184601297991,4.422986e-08,1.359706343,0.000579226167647577,0.0459188690823998,-14999.9708474811
"7",6,7,0,0.0248,0.049,-3.9533,0.0274,0.0462,-4.0282,0.696304649234043,0.075,0.4314,0.3922,0.1961,0.7961,"1",0.00437419422841841,4.444557e-08,1.3217201035,0.000214380531105283,0.0453396428263964,-14999.9682808001
"8",7,8,0,0.0274,0.0462,-4.0282,0.0238,0.0451,-4.1365,0.678439480300573,0.1084,0.4314,0.3922,0.1961,0.8807,"1",0.00620334195291193,4.475859e-08,1.2665977045,0.000304027592979974,0.0448915110225361,-14999.9644518325
"9",8,9,0,0.0238,0.0451,-4.1365,0.0219,0.0418,-4.3365,0.646643591161778,0.2,0.4314,0.3922,0.1961,1.0371,"1",0.0110435895755938,4.53113e-08,1.17325088825,0.000541249536461624,0.0443537321737022,-14999.9569371385
"10",9,10,0,0.0219,0.0418,-4.3365,0.0208,0.0416,-4.3718,0.641188367613325,0.0353,0.4314,0.3922,0.1961,1.0648,"1",0.00193629378867846,4.53944e-08,1.161592166,9.48983216373634e-05,0.043812482535207,-14999.9556071487
"11",10,11,0,0.0208,0.0416,-4.3718,0.015,0.0461,-4.5302,0.617270462643839,0.1585,0.4314,0.3922,0.1961,1.1894,"1",0.00843873046588406,4.57682e-08,1.1091489605,0.000413584634028626,0.0434838330490828,-14999.9494227576
"12",11,12,0,0.015,0.0461,-4.5302,0.0189,0.0369,-4.7201,0.589769202982124,0.1903,0.4314,0.3922,0.1961,1.3393,"1",0.00977550950282656,4.62179e-08,1.04605717475,0.000479100563350713,0.0428364973442433,-14999.941673469
"13",12,13,0,0.0189,0.0369,-4.7201,-0.0054,0.0439,-4.8918,0.5659599290594,0.1735,0.4314,0.3922,0.1961,1.4766,"1",0.00862892724167723,4.66298e-08,0.988268634499999,0.000422906233317507,0.042123645876676,-14999.9343153831
"14",13,14,0,-0.0054,0.0439,-4.8918,-0.0239,0.0441,-5.091,0.539539112083874,0.2,0.4314,0.3922,0.1961,1.6354,"1",0.00957941197313223,4.71062e-08,0.9214309055,0.000469489766397258,0.0414669888179015,-14999.9253657715
"15",14,15,0,-0.0239,0.0441,-5.091,-0.0265,0.045,-5.1461,0.532451215329557,0.0552,0.4314,0.3922,0.1961,1.6793,"1",0.00261647846536852,4.72379e-08,0.902953724749999,0.000128234370432621,0.0409974990568772,-14999.9228634033
"16",15,16,0,-0.0265,0.045,-5.1461,-0.0336,0.0399,-5.243,0.520211406013381,0.0974,0.4314,0.3922,0.1961,1.7569,"1",0.00453285723327804,4.74707e-08,0.870292466749999,0.000222156651111016,0.0406355141023923,-14999.9183280543
