"X","node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","kr","kx","suf","jr","jxl","psi"
1,0,1,0,0,0,-3,0.0129,0.017,-3.1989,0.849645563990649,0.2,0.4314,0.3922,0.1961,0.1531,"1",7.0312e-08,0.00865169520312063,0.0013545640056457,0.00110285002380085,0.814173430734066,-14981.1916192387
2,1,2,0,0.0129,0.017,-3.1989,0.0218,0.0256,-3.2987,0.829536639286344,0.1006,0.4314,0.3922,0.1961,0.2303,"1",7.0312e-08,0.00865169520312063,0.00066458862676496,0.000541090402366131,0.781232983840326,-14972.110760901
3,2,3,0,0.0218,0.0256,-3.2987,0.0297,0.0272,-3.468,0.796506491208365,0.1696,0.4314,0.3922,0.1961,0.3608,"1",7.0312e-08,0.00865169520312063,0.00107491391511912,0.000875166350155519,0.780691893437604,-14956.8153632925
4,3,4,0,0.0297,0.0272,-3.468,0.0313,0.0328,-3.668,0.759177248397245,0.2,0.4314,0.3922,0.1961,0.5152,"1",7.0312e-08,0.00865169520312063,0.00120683838376911,0.000982575747411129,0.747804926243049,-14939.5398230831
5,4,5,0,0.0313,0.0328,-3.668,0.0204,0.0431,-3.7535,0.74375767711808,0.0868,0.4314,0.3922,0.1961,0.5825,"1",7.0312e-08,0.00865169520312063,0.000512698079116547,0.000417425154071477,0.734624297985451,-14932.1716403401
6,5,6,0,0.0204,0.0431,-3.7535,0.0248,0.049,-3.9533,0.708934599503621,0.2,0.4314,0.3922,0.1961,0.7378,"1",7.0312e-08,0.00865169520312063,0.00112508543236882,0.000916014666486334,0.734206872831487,-14915.2096748586
7,6,7,0,0.0248,0.049,-3.9533,0.0274,0.0462,-4.0282,0.696304649234043,0.075,0.4314,0.3922,0.1961,0.7961,"1",7.0312e-08,0.00865169520312063,0.000414063436941716,0.000337119449049995,0.707501963280399,-14909.0779280579
8,7,8,0,0.0274,0.0462,-4.0282,0.0238,0.0451,-4.1365,0.678439480300573,0.1084,0.4314,0.3922,0.1961,0.8807,"1",7.0312e-08,0.00865169520312063,0.000582805854651075,0.000474505042208636,0.70716484383122,-14900.2205947262
9,8,9,0,0.0238,0.0451,-4.1365,0.0219,0.0418,-4.3365,0.646643591161778,0.2,0.4314,0.3922,0.1961,1.0371,"1",7.0312e-08,0.00865169520312063,0.00102401833496707,0.00083372852104733,0.695381589041789,-14884.1551963974
10,9,10,0,0.0219,0.0418,-4.3365,0.0208,0.0416,-4.3718,0.641188367613325,0.0353,0.4314,0.3922,0.1961,1.0648,"1",7.0312e-08,0.00865169520312063,0.000179099026211483,0.000145817668634926,0.671405333852439,-14881.4160760324
