"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","kr","kx","suf","jr","jxl","psi"
0,1,0,0,0,0,0.0012,0.0154,-0.1994,0.18167534563328,0.2,0.4314,0.3922,0.1961,0.1648,"1",7.0312e-08,0.00865169520312063,0.000893788579891228,0.000235918787682538,0.263953683210679,-14993.9009475146
1,2,0,0.0012,0.0154,-0.1994,-3e-04,0.0151,-0.2319,0.18023449967428,0.0325,0.4314,0.3922,0.1961,0.1917,"1",7.0312e-08,0.00865169520312063,0.000144054248567216,3.80236494928505e-05,0.250687491086696,-14992.9593140684
2,3,0,-3e-04,0.0151,-0.2319,-0.0158,0.0125,-0.4313,0.171641118900573,0.2,0.4314,0.3922,0.1961,0.3574,"1",7.0312e-08,0.00865169520312063,0.000844027478564916,0.000222784161706359,0.25064946743738,-14987.1676614002
3,4,0,-0.0158,0.0125,-0.4313,-0.0207,0.0098,-0.4967,0.16891282931516,0.0657,0.4314,0.3922,0.1961,0.4119,"1",7.0312e-08,0.00865169520312063,0.00027278497467889,7.20025987936515e-05,0.242340082627574,-14985.3276314731
4,5,0,-0.0207,0.0098,-0.4967,-0.0204,-0.0037,-0.6962,0.1887,0.2,0.4314,0.3922,0.1961,0.5784,"1",7.0312e-08,0.00865169520312063,0.000927436826494502,0.000244800366307378,0.242268080029778,-14979.7299846216
5,6,0,-0.0204,-0.0037,-0.6962,-0.0168,-0.0074,-0.7837,0.1887,0.0876,0.4314,0.3922,0.1961,0.6516,"1",7.0312e-08,0.00865169520312063,0.000406107505166929,0.000107193571772221,0.231382386293491,-14977.387738234
6,7,0,-0.0168,-0.0074,-0.7837,-0.0103,-0.0142,-0.9455,0.1887,0.1621,0.4314,0.3922,0.1961,0.7874,"1",7.0312e-08,0.00865169520312063,0.00075131347930639,0.000198311960115987,0.231275192721972,-14973.0563749711
7,8,0,-0.0103,-0.0142,-0.9455,-0.0044,-0.0132,-1.1189,0.1887,0.1735,0.4314,0.3922,0.1961,0.9332,"1",7.0312e-08,0.00865169520312063,0.000803908447365364,0.000212194595654007,0.225698322944338,-14968.5323771551
8,9,0,-0.0044,-0.0132,-1.1189,6e-04,-0.0256,-1.3185,0.1887,0.2,0.4314,0.3922,0.1961,1.102,"1",7.0312e-08,0.00865169520312063,0.000926393313386898,0.000244524927179137,0.218468226022893,-14963.4849049217
9,10,0,6e-04,-0.0256,-1.3185,0.0052,-0.0242,-1.3997,0.1887,0.0814,0.4314,0.3922,0.1961,1.1708,"1",7.0312e-08,0.00865169520312063,0.000376951778679559,9.94978103789161e-05,0.21030494975215,-14961.5067060999
10,11,0,0.0052,-0.0242,-1.3997,0.01,-0.0305,-1.4828,0.1887,0.0835,0.4314,0.3922,0.1961,1.2416,"1",7.0312e-08,0.00865169520312063,0.00038662374995926,0.000102050762822194,0.210205451940923,-14959.4784452669
11,12,0,0.01,-0.0305,-1.4828,0.0183,-0.0225,-1.6825,0.1887,0.2,0.4314,0.3922,0.1961,1.4117,"1",7.0312e-08,0.00865169520312063,0.000925833440408115,0.000244377146644252,0.201993948330093,-14954.8118048332
12,13,0,0.0183,-0.0225,-1.6825,0.0241,-0.023,-1.7344,0.1887,0.0522,0.4314,0.3922,0.1961,1.4562,"1",7.0312e-08,0.00865169520312063,0.00024159478357904,6.37698329725008e-05,0.18669494627178,-14953.6855733199
13,14,0,0.0241,-0.023,-1.7344,0.0348,-0.0451,-1.9329,0.1887,0.2,0.4314,0.3922,0.1961,1.6272,"1",7.0312e-08,0.00865169520312063,0.000925478744098191,0.000244283523246823,0.186631176438537,-14949.3740707922
14,15,0,0.0348,-0.0451,-1.9329,0.0392,-0.049,-1.9781,0.1887,0.0455,0.4314,0.3922,0.1961,1.6662,"1",7.0312e-08,0.00865169520312063,0.000210508638181286,5.55645303976416e-05,0.180083008538515,-14948.4271450638
15,16,0,0.0392,-0.049,-1.9781,0.0525,-0.052,-2.1055,0.1887,0.1282,0.4314,0.3922,0.1961,1.7763,"1",7.0312e-08,0.00865169520312063,0.000593052278710094,0.000156538333307726,0.18002744400963,-14945.7606752716
16,17,0,0.0525,-0.052,-2.1055,0.0484,-0.0665,-2.3049,0.1887,0.2,0.4314,0.3922,0.1961,1.9486,"1",7.0312e-08,0.00865169520312063,0.00092498706547164,0.000244153742862384,0.174433330555861,-14941.7311470926
17,18,0,0.0484,-0.0665,-2.3049,0.068,-0.0743,-2.4577,0.1887,0.1543,0.4314,0.3922,0.1961,2.0821,"1",7.0312e-08,0.00865169520312063,0.000713457723945762,0.000188319794057462,0.16490677178423,-14938.7917710592
18,19,0,0.068,-0.0743,-2.4577,0.088,-0.0758,-2.6567,0.1887,0.2,0.4314,0.3922,0.1961,2.2558,"1",7.0312e-08,0.00865169520312063,0.000924553960357135,0.000244039423172189,0.164718451990092,-14934.9868190093
19,20,0,0.088,-0.0758,-2.6567,0.0959,-0.0779,-2.75,0.1887,0.0936,0.4314,0.3922,0.1961,2.3374,"1",7.0312e-08,0.00865169520312063,0.000432609613940516,0.000114188900996115,0.158959224158313,-14933.2677062936
20,21,0,0.0959,-0.0779,-2.75,0.1064,-0.0681,-2.9077,0.1887,0.1584,0.4314,0.3922,0.1961,2.4758,"1",7.0312e-08,0.00865169520312063,0.000731992865115785,0.000193212212838298,0.158845035257144,-14930.3612526934
21,22,0,0.1064,-0.0681,-2.9077,0.0743,-0.0623,-3.1051,0.1887,0.2,0.4314,0.3922,0.1961,2.6512,"1",7.0312e-08,0.00865169520312063,0.000924029961387121,0.00024390111171405,0.153044260627329,-14926.8261696474
22,23,0,0.0743,-0.0623,-3.1051,0.0721,-0.0618,-3.1211,0.1887,0.0162,0.4314,0.3922,0.1961,2.6655,"1",7.0312e-08,0.00865169520312063,7.48366921665745e-05,1.97534205373917e-05,0.144797777024497,-14926.5550593124
23,24,0,0.0721,-0.0618,-3.1211,0.0688,-0.0475,-3.3181,0.1887,0.1976,0.4314,0.3922,0.1961,2.8396,"1",7.0312e-08,0.00865169520312063,0.000912711279392233,0.0002409135039123,0.144778023604327,-14923.2511594821
24,25,0,0.0688,-0.0475,-3.3181,0.0639,-0.0308,-3.5174,0.1887,0.2,0.4314,0.3922,0.1961,3.0166,"1",7.0312e-08,0.00865169520312063,0.000923587056163284,0.0002437842052489,0.144537110100343,-14919.9127336599
25,26,0,0.0639,-0.0308,-3.5174,0.0613,-0.0305,-3.5547,0.1887,0.0375,0.4314,0.3922,0.1961,3.0499,"1",7.0312e-08,0.00865169520312063,0.000173149246647298,4.57033813993759e-05,0.138805464493991,-14919.3111928228
26,27,0,0.0613,-0.0305,-3.5547,0.0616,-0.0291,-3.7225,0.1887,0.1678,0.4314,0.3922,0.1961,3.1991,"1",7.0312e-08,0.00865169520312063,0.00077469794535212,0.000204484376058897,0.138759761111428,-14916.6219243497
27,28,0,0.0616,-0.0291,-3.7225,0.0625,-0.028,-3.9225,0.1887,0.2,0.4314,0.3922,0.1961,3.3778,"1",7.0312e-08,0.00865169520312063,0.000923176695207403,0.000243675888963146,0.133057247671181,-14913.548875604
28,29,0,0.0625,-0.028,-3.9225,0.0401,-0.0115,-4.0496,0.1887,0.1301,0.4314,0.3922,0.1961,3.4944,"1",7.0312e-08,0.00865169520312063,0.000600424674213131,0.00015848430425491,0.125158207091672,-14911.667998766
29,30,0,0.0401,-0.0115,-4.0496,0.0231,-9e-04,-4.2486,0.1887,0.2,0.4314,0.3922,0.1961,3.6744,"1",7.0312e-08,0.00865169520312063,0.000922869658240523,0.000243594845424853,0.124999722787622,-14908.7812137274
30,31,0,0.0231,-9e-04,-4.2486,0.0172,0.0057,-4.3373,0.1887,0.0891,0.4314,0.3922,0.1961,3.7549,"1",7.0312e-08,0.00865169520312063,0.000411080877346956,0.000108506311677165,0.11701692294171,-14907.5766666916
31,32,0,0.0172,0.0057,-4.3373,0.0076,0.0206,-4.5294,0.1887,0.1929,0.4314,0.3922,0.1961,3.9297,"1",7.0312e-08,0.00865169520312063,0.000889867142872729,0.000234883709937989,0.116908416630352,-14904.9726708466
32,33,0,0.0076,0.0206,-4.5294,0.0073,0.0235,-4.5562,0.1887,0.027,0.4314,0.3922,0.1961,3.9542,"1",7.0312e-08,0.00865169520312063,0.000124541156017497,3.28730968433334e-05,0.110218435387468,-14904.6287551287
33,34,0,0.0073,0.0235,-4.5562,0.0091,0.0337,-4.6911,0.1887,0.1353,0.4314,0.3922,0.1961,4.0772,"1",7.0312e-08,0.00865169520312063,0.00062404868060629,0.000164719947754804,0.100441620691954,-14903.0592814641
34,35,0,0.0091,0.0337,-4.6911,0.0087,0.0231,-4.8908,0.1887,0.2,0.4314,0.3922,0.1961,4.2599,"1",7.0312e-08,0.00865169520312063,0.000922347637898459,0.000243457056232849,0.095198223768739,-14900.8614117991
35,36,0,0.0087,0.0231,-4.8908,0.0094,0.0213,-4.9327,0.1887,0.042,0.4314,0.3922,0.1961,4.2983,"1",7.0312e-08,0.00865169520312063,0.000193675566877268,5.11213792270359e-05,0.0890329754804081,-14900.4293217488
36,37,0,0.0094,0.0213,-4.9327,0.0133,0.0152,-5.0428,0.1887,0.1103,0.4314,0.3922,0.1961,4.3995,"1",7.0312e-08,0.00865169520312063,0.00050860165425858,0.000134247279933494,0.0889818541012695,-14899.2957526107
37,38,0,0.0133,0.0152,-5.0428,0.0077,0.0108,-5.2128,0.1887,0.1702,0.4314,0.3922,0.1961,4.5561,"1",7.0312e-08,0.00865169520312063,0.000784732645415567,0.000207133072100655,0.0794774280197716,-14897.7342747046
38,39,0,0.0077,0.0108,-5.2128,-0.0031,0.0071,-5.3672,0.1887,0.1548,0.4314,0.3922,0.1961,4.6991,"1",7.0312e-08,0.00865169520312063,0.000713659464763779,0.000188373044289433,0.0709731365797376,-14896.4660768543
39,40,0,-0.0031,0.0071,-5.3672,-0.0297,0.011,-5.5569,0.1887,0.1916,0.4314,0.3922,0.1961,4.8768,"1",7.0312e-08,0.00865169520312063,0.00088323223740306,0.000233132402201452,0.0662704971600601,-14895.0010353219
40,41,0,-0.0297,0.011,-5.5569,-0.0365,0.0076,-5.6383,0.1887,0.0817,0.4314,0.3922,0.1961,4.9529,"1",7.0312e-08,0.00865169520312063,0.000376592019096787,9.94028505119696e-05,0.0610161240881333,-14894.4253150049
41,42,0,-0.0365,0.0076,-5.6383,-0.0505,-0.0069,-5.8373,0.1887,0.2,0.4314,0.3922,0.1961,5.1396,"1",7.0312e-08,0.00865169520312063,0.000921827473694165,0.000243319756975247,0.060669938005487,-14893.0256291686
42,43,0,-0.0505,-0.0069,-5.8373,-0.0493,-0.0101,-5.8791,0.1887,0.0419,0.4314,0.3922,0.1961,5.1789,"1",7.0312e-08,0.00865169520312063,0.000193111762602393,5.09725610120676e-05,0.0573789469152718,-14892.7478674189
43,44,0,-0.0493,-0.0101,-5.8791,-0.0458,-0.0206,-6.0788,0.1887,0.2,0.4314,0.3922,0.1961,5.3666,"1",7.0312e-08,0.00865169520312063,0.000921723955972883,0.000243292433091436,0.0573279743539084,-14891.4254369597
44,45,0,-0.0458,-0.0206,-6.0788,-0.0448,-0.0164,-6.1569,0.1887,0.0783,0.4314,0.3922,0.1961,5.4404,"1",7.0312e-08,0.00865169520312063,0.000360832628262109,9.52431012558479e-05,0.0532967763097567,-14890.943518827
45,46,0,-0.0448,-0.0164,-6.1569,-0.0425,-0.0074,-6.3567,0.1887,0.2,0.4314,0.3922,0.1961,5.6294,"1",7.0312e-08,0.00865169520312063,0.000921612995167006,0.000243263144578032,0.0532015332085356,-14889.7164783757
46,47,0,-0.0425,-0.0074,-6.3567,-0.0421,-0.0061,-6.4003,0.1887,0.0436,0.4314,0.3922,0.1961,5.6707,"1",7.0312e-08,0.00865169520312063,0.000200901425972883,5.30286713497545e-05,0.0508901418032813,-14889.460152407
47,48,0,-0.0421,-0.0061,-6.4003,-0.0594,0,-6.5995,0.1887,0.2,0.4314,0.3922,0.1961,5.8609,"1",7.0312e-08,0.00865169520312063,0.000921521023076166,0.000243238868205901,0.0508371131328364,-14888.2877696339
48,49,0,-0.0594,0,-6.5995,-0.0683,0.0031,-6.7039,0.1887,0.1049,0.4314,0.3922,0.1961,5.9609,"1",7.0312e-08,0.00865169520312063,0.000483308868372015,0.000127571155939833,0.0473557745743806,-14887.7143641353
49,50,0,-0.0683,0.0031,-6.7039,-0.0732,0.0022,-6.7814,0.1887,0.0776,0.4314,0.3922,0.1961,6.0352,"1",7.0312e-08,0.00865169520312063,0.000357516561060364,9.43678131041413e-05,0.0472282034184987,-14887.2911815092
50,51,0,-0.0732,0.0022,-6.7814,-0.0635,-0.0039,-6.9811,0.1887,0.2,0.4314,0.3922,0.1961,6.227,"1",7.0312e-08,0.00865169520312063,0.000921389562970824,0.000243204168826899,0.0432420499931809,-14886.2943723172
51,52,0,-0.0635,-0.0039,-6.9811,-0.0621,-0.0046,-7.0221,0.1887,0.041,0.4314,0.3922,0.1961,6.2665,"1",7.0312e-08,0.00865169520312063,0.00018887723266974,4.98548412396371e-05,0.0384734030360112,-14886.1121666961
52,53,0,-0.0621,-0.0046,-7.0221,-0.0595,-0.0061,-7.1371,0.1887,0.1151,0.4314,0.3922,0.1961,6.3774,"1",7.0312e-08,0.00865169520312063,0.000530225689060495,0.000139955023565544,0.0384235481942974,-14885.6019203415
53,54,0,-0.0595,-0.0061,-7.1371,-0.0536,-0.0131,-7.3157,0.1887,0.1788,0.4314,0.3922,0.1961,6.5504,"1",7.0312e-08,0.00865169520312063,0.000823634071250407,0.000217401246732283,0.0360202631074373,-14884.8597551292
54,55,0,-0.0536,-0.0131,-7.3157,-0.0536,-0.0136,-7.3242,0.1887,0.0085,0.4314,0.3922,0.1961,6.5587,"1",7.0312e-08,0.00865169520312063,3.91538229084905e-05,1.03347957688517e-05,0.0344839052298135,-14884.8258809271
55,56,0,-0.0536,-0.0136,-7.3242,-0.0571,-0.0146,-7.4984,0.1887,0.1742,0.4314,0.3922,0.1961,6.728,"1",7.0312e-08,0.00865169520312063,0.000802404341734904,0.000211797581432895,0.0321702836462987,-14884.1802715321
56,57,0,-0.0571,-0.0146,-7.4984,-0.0627,-0.0119,-7.6983,0.1887,0.2,0.4314,0.3922,0.1961,6.9233,"1",7.0312e-08,0.00865169520312063,0.000921202427309392,0.000243154773679802,0.0304107348205802,-14883.4800814364
57,58,0,-0.0627,-0.0119,-7.6983,-0.0542,0.0044,-7.8761,0.1887,0.1787,0.4314,0.3922,0.1961,7.0985,"1",7.0312e-08,0.00865169520312063,0.000823058496316767,0.000217249321608579,0.0277629409757793,-14882.908883991
58,59,0,-0.0542,0.0044,-7.8761,-0.0439,0.018,-8.0614,0.1887,0.1861,0.4314,0.3922,0.1961,7.2819,"1",7.0312e-08,0.00865169520312063,0.000857107371142933,0.000226236647528453,0.0275456916542564,-14882.3188028988
59,60,0,-0.0439,0.018,-8.0614,-0.0376,0.0299,-8.2433,0.1887,0.1824,0.4314,0.3922,0.1961,7.4624,"1",7.0312e-08,0.00865169520312063,0.000840033701596062,0.00022172998956547,0.0262124352118821,-14881.768514641
60,61,0,-0.0376,0.0299,-8.2433,-0.0377,0.0304,-8.3206,0.1887,0.0773,0.4314,0.3922,0.1961,7.5391,"1",7.0312e-08,0.00865169520312063,0.000355991737802661,9.39653303890107e-05,0.0245954926010128,-14881.5491819247
61,62,0,-0.0377,0.0304,-8.3206,-0.0263,0.0235,-8.5202,0.1887,0.2,0.4314,0.3922,0.1961,7.7384,"1",7.0312e-08,0.00865169520312063,0.000921041450559257,0.000243112283273692,0.0232627952902893,-14881.0142292279
62,63,0,-0.0263,0.0235,-8.5202,-0.025,0.0229,-8.553,0.1887,0.0328,0.4314,0.3922,0.1961,7.7712,"1",7.0312e-08,0.00865169520312063,0.000151047599979644,3.98695703562148e-05,0.0220085359123953,-14880.9308668233
63,64,0,-0.025,0.0229,-8.553,-0.0165,0.0185,-8.7032,0.1887,0.1506,0.4314,0.3922,0.1961,7.922,"1",7.0312e-08,0.00865169520312063,0.000693518478069976,0.000183056756667913,0.0219686663416333,-14880.5500516373
64,65,0,-0.0165,0.0185,-8.7032,-0.0135,0.0141,-8.8552,0.1887,0.152,0.4314,0.3922,0.1961,8.0749,"1",7.0312e-08,0.00865169520312063,0.000699947388516791,0.000184753691259443,0.0214330913689357,-14880.1751206589
65,66,0,-0.0135,0.0141,-8.8552,-0.0244,0.0176,-9.0548,0.1887,0.2,0.4314,0.3922,0.1961,8.2769,"1",7.0312e-08,0.00865169520312063,0.000920956435977811,0.000243089843361791,0.0208255936948392,-14879.6965081415
66,67,0,-0.0244,0.0176,-9.0548,-0.0247,0.0176,-9.1149,0.1887,0.0601,0.4314,0.3922,0.1961,8.3377,"1",7.0312e-08,0.00865169520312063,0.000276741520173001,7.30469435496508e-05,0.0205825038522485,-14879.5537831161
67,68,0,-0.0247,0.0176,-9.1149,-0.0237,0.0155,-9.2155,0.1887,0.1007,0.4314,0.3922,0.1961,8.4399,"1",7.0312e-08,0.00865169520312063,0.000463685641722148,0.000122391532988933,0.0205094569082768,-14879.3157789063
68,69,0,-0.0237,0.0155,-9.2155,-0.034,-3e-04,-9.4146,0.1887,0.2,0.4314,0.3922,0.1961,8.6438,"1",7.0312e-08,0.00865169520312063,0.000920902474948522,0.00024307560014936,0.0203870653752872,-14878.8473036203
69,70,0,-0.034,-3e-04,-9.4146,-0.0441,-0.0022,-9.5124,0.1887,0.0983,0.4314,0.3922,0.1961,8.7443,"1",7.0312e-08,0.00865169520312063,0.000452612763000803,0.000119468805866582,0.0201439897752977,-14878.6191076146
70,71,0,-0.0441,-0.0022,-9.5124,-0.0634,-0.0122,-9.6186,0.1887,0.1085,0.4314,0.3922,0.1961,8.8556,"1",7.0312e-08,0.00865169520312063,0.000499569468947744,0.000131863201353171,0.0200245209693566,-14878.3688090459
71,72,0,-0.0634,-0.0122,-9.6186,-0.0808,-0.0311,-9.7533,0.1887,0.1371,0.4314,0.3922,0.1961,8.9966,"1",7.0312e-08,0.00865169520312063,0.000631240999584641,0.000166618386840035,0.0198926577673634,-14878.0548981204
72,73,0,-0.0808,-0.0311,-9.7533,-0.1096,-0.059,-9.9492,0.1887,0.2,0.4314,0.3922,0.1961,9.2033,"1",7.0312e-08,0.00865169520312063,0.000920823312741952,0.000243054704993364,0.0197260393804639,-14877.6017034357
73,74,0,-0.1096,-0.059,-9.9492,-0.1362,-0.0821,-10.0952,0.1887,0.1502,0.4314,0.3922,0.1961,9.3593,"1",7.0312e-08,0.00865169520312063,0.000691519583236414,0.000182529141014224,0.0194829846759593,-14877.265048452
74,75,0,-0.1362,-0.0821,-10.0952,-0.145,-0.1262,-10.2901,0.1887,0.2,0.4314,0.3922,0.1961,9.5679,"1",7.0312e-08,0.00865169520312063,0.000920773731800325,0.000243041617921204,0.0193004555347183,-14876.8216917766
75,76,0,-0.145,-0.1262,-10.2901,-0.1455,-0.1288,-10.3008,0.1887,0.011,0.4314,0.3922,0.1961,9.5794,"1",7.0312e-08,0.00865169520312063,5.06417446565782e-05,1.33670750268062e-05,0.0190574139151784,-14876.7974701612
76,77,0,-0.1455,-0.1288,-10.3008,-0.1458,-0.159,-10.4985,0.1887,0.2,0.4314,0.3922,0.1961,9.7892,"1",7.0312e-08,0.00865169520312063,0.000920744383944377,0.000243033871446532,0.0190440468407016,-14876.3600407591
77,78,0,-0.1458,-0.159,-10.4985,-0.1467,-0.1676,-10.5758,0.1887,0.0778,0.4314,0.3922,0.1961,9.871,"1",7.0312e-08,0.00865169520312063,0.00035816212904852,9.45382131523841e-05,0.0188010129694529,-14876.1913985184
78,79,0,-0.1467,-0.1676,-10.5758,-0.1505,-0.1713,-10.7757,0.1887,0.2,0.4314,0.3922,0.1961,10.0824,"1",7.0312e-08,0.00865169520312063,0.000920706347271902,0.000243023831526735,0.0187064747561388,-14875.7617726056
79,80,0,-0.1505,-0.1713,-10.7757,-0.1518,-0.174,-10.8337,0.1887,0.0581,0.4314,0.3922,0.1961,10.144,"1",7.0312e-08,0.00865169520312063,0.00026746012456942,7.05970849946609e-05,0.0184634509245434,-14875.6380193266
80,81,0,-0.1518,-0.174,-10.8337,-0.156,-0.1832,-11.0335,0.1887,0.2,0.4314,0.3922,0.1961,10.3567,"1",7.0312e-08,0.00865169520312063,0.000920671621485124,0.000243014665527412,0.0183928538394515,-14875.2156432375
81,82,0,-0.156,-0.1832,-11.0335,-0.1571,-0.1839,-11.0984,0.1887,0.065,0.4314,0.3922,0.1961,10.4261,"1",7.0312e-08,0.00865169520312063,0.000299212553495918,7.89782555610012e-05,0.0181498391741045,-14875.0795805675
82,83,0,-0.1571,-0.1839,-11.0984,-0.1684,-0.1924,-11.2979,0.1887,0.2,0.4314,0.3922,0.1961,10.6404,"1",7.0312e-08,0.00865169520312063,0.000920636582218015,0.000243005416783801,0.018070860918742,-14874.6646478355
83,84,0,-0.1684,-0.1924,-11.2979,-0.1702,-0.1934,-11.3255,0.1887,0.0276,0.4314,0.3922,0.1961,10.6701,"1",7.0312e-08,0.00865169520312063,0.000127045796237531,3.35342058545532e-05,0.0178278555017815,-14874.6078282149
84,85,0,-0.1702,-0.1934,-11.3255,-0.173,-0.2187,-11.5239,0.1887,0.2,0.4314,0.3922,0.1961,10.8857,"1",7.0312e-08,0.00865169520312063,0.000920606985400784,0.000242997604594882,0.0177943212958842,-14874.1992881193
85,86,0,-0.173,-0.2187,-11.5239,-0.1731,-0.2201,-11.5342,0.1887,0.0104,0.4314,0.3922,0.1961,10.897,"1",7.0312e-08,0.00865169520312063,4.78708591849715e-05,1.2635689600794e-05,0.0175513236958468,-14874.178197679
86,87,0,-0.1731,-0.2201,-11.5342,-0.1727,-0.2359,-11.644,0.1887,0.1109,0.4314,0.3922,0.1961,11.0171,"1",7.0312e-08,0.00865169520312063,0.000510464769351761,0.000134739056024602,0.0175386880021562,-14873.9542451294
87,88,0,-0.1727,-0.2359,-11.644,-0.1916,-0.2327,-11.843,0.1887,0.2,0.4314,0.3922,0.1961,11.2346,"1",7.0312e-08,0.00865169520312063,0.000920565986169015,0.000242986782696647,0.0174039489459394,-14873.5547290902
88,89,0,-0.1916,-0.2327,-11.843,-0.1963,-0.2326,-11.8959,0.1887,0.053,0.4314,0.3922,0.1961,11.2925,"1",7.0312e-08,0.00865169520312063,0.000243945771658032,6.43903849351578e-05,0.0171609621628155,-14873.4497988278
89,90,0,-0.1963,-0.2326,-11.8959,-0.2251,-0.2068,-12.0921,0.1887,0.2,0.4314,0.3922,0.1961,11.5115,"1",7.0312e-08,0.00865169520312063,0.000920534346719625,0.000242978431347445,0.0170965717787542,-14873.0573882859
90,91,0,-0.2251,-0.2068,-12.0921,-0.2231,-0.207,-12.2516,0.1887,0.1596,0.4314,0.3922,0.1961,11.6871,"1",7.0312e-08,0.00865169520312063,0.000734568736557917,0.000193892123592951,0.0168535933478014,-14872.7482742002
91,92,0,-0.2231,-0.207,-12.2516,-0.22,-0.2122,-12.4516,0.1887,0.2,0.4314,0.3922,0.1961,11.9083,"1",7.0312e-08,0.00865169520312063,0.000920490353159757,0.00024296681908528,0.016659701223956,-14872.3659625978
92,93,0,-0.22,-0.2122,-12.4516,-0.2171,-0.2125,-12.499,0.1887,0.0475,0.4314,0.3922,0.1961,11.961,"1",7.0312e-08,0.00865169520312063,0.000218612922906333,5.77036862006839e-05,0.0164167344054855,-14872.2759889681
93,94,0,-0.2171,-0.2125,-12.499,-0.2122,-0.2085,-12.6989,0.1887,0.2,0.4314,0.3922,0.1961,12.1837,"1",7.0312e-08,0.00865169520312063,0.000920460740300607,0.000242959002662037,0.0163590307192275,-14871.9006278322
94,95,0,-0.2122,-0.2085,-12.6989,-0.2121,-0.2041,-12.8262,0.1887,0.1274,0.4314,0.3922,0.1961,12.3263,"1",7.0312e-08,0.00865169520312063,0.000586321199613253,0.000154761640188068,0.0161160717167795,-14871.6644510893
95,96,0,-0.2121,-0.2041,-12.8262,-0.2114,-0.1987,-13.0261,0.1887,0.2,0.4314,0.3922,0.1961,12.5511,"1",7.0312e-08,0.00865169520312063,0.000920422402262211,0.000242948883195595,0.0159613100769384,-14871.2982838873
96,97,0,-0.2114,-0.1987,-13.0261,-0.2113,-0.1982,-13.0327,0.1887,0.0066,0.4314,0.3922,0.1961,12.5585,"1",7.0312e-08,0.00865169520312063,3.03735461211778e-05,8.01720937114678e-06,0.0157183611959816,-14871.2862960947
97,98,0,-0.2113,-0.1982,-13.0327,-0.2116,-0.1967,-13.1972,0.1887,0.1645,0.4314,0.3922,0.1961,12.7443,"1",7.0312e-08,0.00865169520312063,0.000757029588717846,0.000199820748248831,0.0157103439859021,-14870.9894853295
98,99,0,-0.2116,-0.1967,-13.1972,-0.2355,-0.2106,-13.3952,0.1887,0.2,0.4314,0.3922,0.1961,12.9715,"1",7.0312e-08,0.00865169520312063,0.000920380096480615,0.000242937716428721,0.0155105232378113,-14870.633738773
