"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","time2"
0,1,0,0,0,-3,0.0066,-0.0078,-3.1751,1,0.1754,0.4314,0.3922,0.1961,0.1383,1,59.8617
1,2,0,0.0066,-0.0078,-3.1751,0.0047,-0.0036,-3.3398,1,0.1648,0.4314,0.3922,0.1961,0.2685,1,59.7315
2,3,0,0.0047,-0.0036,-3.3398,0.0022,0.0019,-3.5397,1,0.2,0.4314,0.3922,0.1961,0.4271,1,59.5729
3,4,0,0.0022,0.0019,-3.5397,0.0024,0.0027,-3.5735,1,0.0339,0.4314,0.3922,0.1961,0.454,1,59.546
4,5,0,0.0024,0.0027,-3.5735,-0.0033,0.0028,-3.7597,1,0.1862,0.4314,0.3922,0.1961,0.6022,1,59.3978
5,6,0,-0.0033,0.0028,-3.7597,-0.0113,0.0018,-3.9595,1,0.2,0.4314,0.3922,0.1961,0.7618,1,59.2382
6,7,0,-0.0113,0.0018,-3.9595,-0.0172,-0.0028,-4.0153,1,0.0563,0.4314,0.3922,0.1961,0.8068,1,59.1932
7,8,0,-0.0172,-0.0028,-4.0153,-0.0565,-0.0171,-4.2109,1,0.2,0.4314,0.3922,0.1961,0.967,1,59.033
8,9,0,-0.0565,-0.0171,-4.2109,-0.0646,-0.0234,-4.2751,1,0.065,0.4314,0.3922,0.1961,1.0192,1,58.9808
9,10,0,-0.0646,-0.0234,-4.2751,-0.0876,-0.0424,-4.4728,1,0.2,0.4314,0.3922,0.1961,1.1801,1,58.8199
10,11,0,-0.0876,-0.0424,-4.4728,-0.1001,-0.0537,-4.5831,1,0.1115,0.4314,0.3922,0.1961,1.2701,1,58.7299
11,12,0,-0.1001,-0.0537,-4.5831,-0.1145,-0.0763,-4.7813,1,0.2,0.4314,0.3922,0.1961,1.4318,1,58.5682
12,13,0,-0.1145,-0.0763,-4.7813,-0.1195,-0.0802,-4.8336,1,0.0527,0.4314,0.3922,0.1961,1.4745,1,58.5255
