"","param_id","reg_param","value"
"1","cortex_cell_diameter","Fx","exp(0.00823*X + -3.8538 + sd)"
"2","cortex_cell_diameter","sigma","0.20301"
"3","cortex_n_layers","Fx","-0.05407*X + 3.63181 + sd"
"4","cortex_n_layers","sigma","0.50463"
"5","endodermis_cell_diameter","Fx","exp(0.0141*X + -4.22711 + sd)"
"6","endodermis_cell_diameter","sigma","0.23149"
"7","epidermis_cell_diameter","Fx","exp(0.0088*X + -4.17252 + sd)"
"8","epidermis_cell_diameter","sigma","0.20906"
"9","exodermis_cell_diameter","Fx","exp(0.01157*X + -3.69029 + sd)"
"10","exodermis_cell_diameter","sigma","0.18593"
"11","pericycle_cell_diameter","Fx","7e-05*X + 0.0135 + sd"
"12","pericycle_cell_diameter","sigma","0.00313"
"13","phloem_max_size","Fx","0.00015*X + 0.00822 + sd"
"14","phloem_max_size","sigma","0.00326"
"15","phloem_n_files","Fx","exp(0.04936*X + -0.20331+ sd)"
"16","phloem_n_files","sigma","0.30806"
"17","phloem_proportion","Fx","0.00682*X + -0.00278 + sd"
"18","phloem_proportion","sigma","0.03647"
"19","stele_cell_diameter","Fx","0.0332*exp(0.04151*X + -2.19752)+ sd"
"20","stele_cell_diameter","sigma","0.00387"
"21","stele_layer_diameter","Fx","exp(0.04151*X + -2.19752 + sd)"
"22","stele_layer_diameter","sigma","0.34227"
"23","stele_mean_size","Fx","484.622*exp(0.04151*X + -2.19752)+ sd"
"24","stele_mean_size","sigma","25.70551"
"25","stele_n_layers","Fx","exp(0.01988*X + 1.68451 + sd)"
"26","stele_n_layers","sigma","0.24995"
"27","stele_SD","Fx","236.31294*exp(0.04151*X + -2.19752)+ sd"
"28","stele_SD","sigma","32.192"
"29","stele_totarea","Fx","795673.47686*((exp(0.04151*X + -2.19752))^2)+ sd"
"30","stele_totarea","sigma","5282.68722"
"31","xylem_max_size","Fx","2.63494*exp(0.08551*X + 5.04845)+ sd"
"32","xylem_max_size","sigma","756.08826"
"33","xylem_mean_size","Fx","exp(0.08551*X + 5.04845 + sd)"
"34","xylem_mean_size","sigma","0.28032"
"35","xylem_n_files","Fx","exp(0.04002*X + 1.55517 + sd)"
"36","xylem_n_files","sigma","0.37869"
