"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","time2"
0,1,0,0,0,0,9e-04,-0.0012,-0.0548,0.547511123830088,0.0549,0.4314,0.3922,0.1961,0.0505,1,29.9495
1,2,0,9e-04,-0.0012,-0.0548,-0.0024,-0.0244,-0.2534,0.523287632266712,0.2,0.4314,0.3922,0.1961,0.2352,1,29.7648
2,3,0,-0.0024,-0.0244,-0.2534,-0.002,-0.0382,-0.3855,0.507753594132084,0.1328,0.4314,0.3922,0.1961,0.3582,1,29.6418
3,4,0,-0.002,-0.0382,-0.3855,0.0043,-0.0485,-0.5146,0.492994628764407,0.1297,0.4314,0.3922,0.1961,0.4786,1,29.5214
4,5,0,0.0043,-0.0485,-0.5146,0.0172,-0.0632,-0.7136,0.470975360263373,0.2,0.4314,0.3922,0.1961,0.6651,1,29.3349
5,6,0,0.0172,-0.0632,-0.7136,0.0172,-0.0633,-0.7147,0.470859985434103,0.0011,0.4314,0.3922,0.1961,0.6661,1,29.3339
6,7,0,0.0172,-0.0633,-0.7147,0.0314,-0.0863,-0.9129,0.449752206547047,0.2,0.4314,0.3922,0.1961,0.8533,1,29.1467
7,8,0,0.0314,-0.0863,-0.9129,0.039,-0.0918,-1.0765,0.433099190433586,0.1639,0.4314,0.3922,0.1961,1.0073,1,28.9927
8,9,0,0.039,-0.0918,-1.0765,0.044,-0.091,-1.2765,0.413542288540626,0.2,0.4314,0.3922,0.1961,1.1959,1,28.8041
9,10,0,0.044,-0.091,-1.2765,0.0441,-0.091,-1.2852,0.412712316069448,0.0087,0.4314,0.3922,0.1961,1.2041,1,28.7959
10,11,0,0.0441,-0.091,-1.2852,0.0549,-0.0819,-1.4846,0.393998766657506,0.2,0.4314,0.3922,0.1961,1.3935,1,28.6065
11,12,0,0.0549,-0.0819,-1.4846,0.0497,-0.0938,-1.6221,0.381526106273477,0.1381,0.4314,0.3922,0.1961,1.5248,1,28.4752
12,13,0,0.0497,-0.0938,-1.6221,0.0317,-0.086,-1.7954,0.366293812951248,0.1743,0.4314,0.3922,0.1961,1.6911,1,28.3089
13,14,0,0.0317,-0.086,-1.7954,0.0243,-0.0813,-1.8614,0.360630460524034,0.0666,0.4314,0.3922,0.1961,1.7547,1,28.2453
14,15,0,0.0243,-0.0813,-1.8614,0.0149,-0.0589,-2.0599,0.344076074243926,0.2,0.4314,0.3922,0.1961,1.9465,1,28.0535
15,16,0,0.0149,-0.0589,-2.0599,0.0139,-0.055,-2.0942,0.341297072706165,0.0345,0.4314,0.3922,0.1961,1.9796,1,28.0204
16,17,0,0.0139,-0.055,-2.0942,0.0252,-0.0501,-2.2938,0.325550396943118,0.2,0.4314,0.3922,0.1961,2.1724,1,27.8276
17,18,0,0.0252,-0.0501,-2.2938,0.0324,-0.0468,-2.3989,0.317531262795234,0.1054,0.4314,0.3922,0.1961,2.2742,1,27.7258
18,19,0,0.0324,-0.0468,-2.3989,0.0322,-0.055,-2.5987,0.30279205385069,0.2,0.4314,0.3922,0.1961,2.4682,1,27.5318
19,20,0,0.0322,-0.055,-2.5987,0.0327,-0.0552,-2.6408,0.299765732813951,0.0421,0.4314,0.3922,0.1961,2.5092,1,27.4908
20,21,0,0.0327,-0.0552,-2.6408,0.0322,-0.0544,-2.742,0.292618226737572,0.1012,0.4314,0.3922,0.1961,2.6077,1,27.3923
21,22,0,0.0322,-0.0544,-2.742,0.0194,-0.0553,-2.9416,0.278932907776114,0.2,0.4314,0.3922,0.1961,2.8032,1,27.1968
22,23,0,0.0194,-0.0553,-2.9416,0.0134,-0.0613,-3.0639,0.270838385355506,0.1227,0.4314,0.3922,0.1961,2.9234,1,27.0766
23,24,0,0.0134,-0.0613,-3.0639,-0.0058,-0.079,-3.2622,0.258089462574789,0.2,0.4314,0.3922,0.1961,3.1202,1,26.8798
24,25,0,-0.0058,-0.079,-3.2622,-0.0074,-0.0798,-3.2823,0.256834209878764,0.0202,0.4314,0.3922,0.1961,3.1401,1,26.8599
25,26,0,-0.0074,-0.0798,-3.2823,-0.0219,-0.0844,-3.4817,0.244690532381309,0.2,0.4314,0.3922,0.1961,3.3378,1,26.6622
26,27,0,-0.0219,-0.0844,-3.4817,-0.0222,-0.0931,-3.6815,0.233063926589973,0.2,0.4314,0.3922,0.1961,3.5365,1,26.4635
27,28,0,-0.0222,-0.0931,-3.6815,-0.0219,-0.0947,-3.7431,0.229595434343027,0.0615,0.4314,0.3922,0.1961,3.5977,1,26.4023
28,29,0,-0.0219,-0.0947,-3.7431,-0.0274,-0.0859,-3.9396,0.218798623409758,0.1968,0.4314,0.3922,0.1961,3.7943,1,26.2057
29,30,0,-0.0274,-0.0859,-3.9396,-0.0288,-0.0861,-4.0754,0.211623188186421,0.1358,0.4314,0.3922,0.1961,3.9304,1,26.0696
30,31,0,-0.0288,-0.0861,-4.0754,-0.0302,-0.0877,-4.2754,0.201439437718513,0.2,0.4314,0.3922,0.1961,4.1317,1,25.8683
31,32,0,-0.0302,-0.0877,-4.2754,-0.0301,-0.0876,-4.3791,0.196337924445416,0.1037,0.4314,0.3922,0.1961,4.2364,1,25.7636
32,33,0,-0.0301,-0.0876,-4.3791,-0.0295,-0.0874,-4.5324,0.189012524296301,0.1533,0.4314,0.3922,0.1961,4.3916,1,25.6084
33,34,0,-0.0295,-0.0874,-4.5324,-0.0241,-0.0834,-4.7323,0.179828708610346,0.2,0.4314,0.3922,0.1961,4.5949,1,25.4051
34,35,0,-0.0241,-0.0834,-4.7323,-0.0206,-0.0821,-4.7908,0.177213244566686,0.0586,0.4314,0.3922,0.1961,4.6547,1,25.3453
35,36,0,-0.0206,-0.0821,-4.7908,-0.0422,-0.0822,-4.9896,0.168553175057168,0.2,0.4314,0.3922,0.1961,4.8592,1,25.1408
36,37,0,-0.0422,-0.0822,-4.9896,-0.046,-0.0833,-5.0188,0.167314751656844,0.0294,0.4314,0.3922,0.1961,4.8893,1,25.1107
37,38,0,-0.046,-0.0833,-5.0188,-0.0649,-0.0866,-5.2179,0.1887,0.2,0.4314,0.3922,0.1961,5.0949,1,24.9051
38,39,0,-0.0649,-0.0866,-5.2179,-0.0697,-0.0875,-5.2704,0.1887,0.0527,0.4314,0.3922,0.1961,5.1492,1,24.8508
39,40,0,-0.0697,-0.0875,-5.2704,-0.0737,-0.07,-5.4695,0.1887,0.2,0.4314,0.3922,0.1961,5.3559,1,24.6441
40,41,0,-0.0737,-0.07,-5.4695,-0.0746,-0.0674,-5.5142,0.1887,0.0447,0.4314,0.3922,0.1961,5.4023,1,24.5977
41,42,0,-0.0746,-0.0674,-5.5142,-0.0799,-0.0617,-5.6189,0.1887,0.1051,0.4314,0.3922,0.1961,5.5114,1,24.4886
42,43,0,-0.0799,-0.0617,-5.6189,-0.0864,-0.0548,-5.7406,0.1887,0.1221,0.4314,0.3922,0.1961,5.6385,1,24.3615
43,44,0,-0.0864,-0.0548,-5.7406,-0.1007,-0.044,-5.8464,0.1887,0.1073,0.4314,0.3922,0.1961,5.7505,1,24.2495
44,45,0,-0.1007,-0.044,-5.8464,-0.1055,-0.0431,-5.8772,0.1887,0.0311,0.4314,0.3922,0.1961,5.783,1,24.217
45,46,0,-0.1055,-0.0431,-5.8772,-0.1303,-0.0382,-6.0383,0.1887,0.1631,0.4314,0.3922,0.1961,5.9539,1,24.0461
46,47,0,-0.1303,-0.0382,-6.0383,-0.1458,-0.0381,-6.194,0.1887,0.1565,0.4314,0.3922,0.1961,6.1185,1,23.8815
47,48,0,-0.1458,-0.0381,-6.194,-0.1474,-0.0371,-6.214,0.1887,0.02,0.4314,0.3922,0.1961,6.1396,1,23.8604
48,49,0,-0.1474,-0.0371,-6.214,-0.1515,-0.0317,-6.275,0.1887,0.0614,0.4314,0.3922,0.1961,6.2043,1,23.7957
49,50,0,-0.1515,-0.0317,-6.275,-0.1696,-0.0085,-6.4728,0.1887,0.2,0.4314,0.3922,0.1961,6.416,1,23.584
50,51,0,-0.1696,-0.0085,-6.4728,-0.1615,-0.0166,-6.5733,0.1887,0.1012,0.4314,0.3922,0.1961,6.5234,1,23.4766
51,52,0,-0.1615,-0.0166,-6.5733,-0.1583,-0.0312,-6.6622,0.1887,0.0901,0.4314,0.3922,0.1961,6.6194,1,23.3806
52,53,0,-0.1583,-0.0312,-6.6622,-0.1499,-0.0474,-6.789,0.1887,0.1281,0.4314,0.3922,0.1961,6.756,1,23.244
53,54,0,-0.1499,-0.0474,-6.789,-0.1378,-0.0722,-6.9871,0.1887,0.2,0.4314,0.3922,0.1961,6.9703,1,23.0297
54,55,0,-0.1378,-0.0722,-6.9871,-0.1346,-0.0778,-7.0389,0.1887,0.0522,0.4314,0.3922,0.1961,7.0263,1,22.9737
55,56,0,-0.1346,-0.0778,-7.0389,-0.1381,-0.0827,-7.1409,0.1887,0.1023,0.4314,0.3922,0.1961,7.1364,1,22.8636
