"CS_id","name","type","value","id"
"B04_B_To_C01_Z20_01","Xylem","area","428.543",1
"B04_B_To_C01_Z20_01","Xylem","area","215.796",2
"B04_B_To_C01_Z20_01","Xylem","area","76.988",3
"B04_B_To_C01_Z20_01","Xylem","area","167.926",4
"B04_B_To_C01_Z20_01","Xylem","area","85.068",5
"B04_B_To_C01_Z20_01","Xylem","area","60.219",6
"B04_B_To_C01_Z20_01","Xylem","XM","266.547",7
"B04_B_To_C01_Z20_01","Xylem","XM","253.858",8
"B04_B_To_C01_Z20_01","Xylem","XM","243.961",9
"B04_B_To_C01_Z20_01","Xylem","XM","280.949",10
"B04_B_To_C01_Z20_01","Xylem","XM","289.803",11
"B04_B_To_C01_Z20_01","Xylem","XM","298.71",12
"B04_B_To_C01_Z20_01","Xylem","YM","212.226",13
"B04_B_To_C01_Z20_01","Xylem","YM","196.315",14
"B04_B_To_C01_Z20_01","Xylem","YM","187.112",15
"B04_B_To_C01_Z20_01","Xylem","YM","226.042",16
"B04_B_To_C01_Z20_01","Xylem","YM","235.822",17
"B04_B_To_C01_Z20_01","Xylem","YM","239.925",18
"B04_B_To_C01_Z20_01","Parenchyma","area","37.198",19
"B04_B_To_C01_Z20_01","Parenchyma","area","30.109",20
"B04_B_To_C01_Z20_01","Parenchyma","area","26.908",21
"B04_B_To_C01_Z20_01","Parenchyma","area","17.761",22
"B04_B_To_C01_Z20_01","Parenchyma","area","31.939",23
"B04_B_To_C01_Z20_01","Parenchyma","area","36.055",24
"B04_B_To_C01_Z20_01","Parenchyma","area","34.073",25
"B04_B_To_C01_Z20_01","Parenchyma","area","36.055",26
"B04_B_To_C01_Z20_01","Parenchyma","area","29.118",27
"B04_B_To_C01_Z20_01","Parenchyma","area","30.719",28
"B04_B_To_C01_Z20_01","Parenchyma","area","25.917",29
"B04_B_To_C01_Z20_01","Parenchyma","area","25.993",30
"B04_B_To_C01_Z20_01","Parenchyma","XM","259.467",31
"B04_B_To_C01_Z20_01","Parenchyma","XM","254.955",32
"B04_B_To_C01_Z20_01","Parenchyma","XM","252.475",33
"B04_B_To_C01_Z20_01","Parenchyma","XM","249.907",34
"B04_B_To_C01_Z20_01","Parenchyma","XM","243.167",35
"B04_B_To_C01_Z20_01","Parenchyma","XM","276.479",36
"B04_B_To_C01_Z20_01","Parenchyma","XM","282.468",37
"B04_B_To_C01_Z20_01","Parenchyma","XM","283.469",38
"B04_B_To_C01_Z20_01","Parenchyma","XM","288.796",39
"B04_B_To_C01_Z20_01","Parenchyma","XM","290.253",40
"B04_B_To_C01_Z20_01","Parenchyma","XM","292.777",41
"B04_B_To_C01_Z20_01","Parenchyma","XM","297.039",42
"B04_B_To_C01_Z20_01","Parenchyma","YM","225.337",43
"B04_B_To_C01_Z20_01","Parenchyma","YM","228.893",44
"B04_B_To_C01_Z20_01","Parenchyma","YM","233.472",45
"B04_B_To_C01_Z20_01","Parenchyma","YM","236.641",46
"B04_B_To_C01_Z20_01","Parenchyma","YM","240.081",47
"B04_B_To_C01_Z20_01","Parenchyma","YM","203.744",48
"B04_B_To_C01_Z20_01","Parenchyma","YM","204.587",49
"B04_B_To_C01_Z20_01","Parenchyma","YM","196.409",50
"B04_B_To_C01_Z20_01","Parenchyma","YM","195.512",51
"B04_B_To_C01_Z20_01","Parenchyma","YM","188.723",52
"B04_B_To_C01_Z20_01","Parenchyma","YM","184.162",53
"B04_B_To_C01_Z20_01","Parenchyma","YM","182.387",54
"B04_B_To_C01_Z20_01","Phloem","area","30.1",55
"B04_B_To_C01_Z20_01","Phloem","XM","0",56
"B04_B_To_C01_Z20_01","Phloem","YM","0",57
"B04_B_To_C01_Z20_01","Phloem","length","5.745",58
"B04_B_To_C01_Z20_01","Pericycle","area","106.564",59
"B04_B_To_C01_Z20_01","Pericycle","area","78.97",60
"B04_B_To_C01_Z20_01","Pericycle","area","91.243",61
"B04_B_To_C01_Z20_01","Pericycle","area","100.695",62
"B04_B_To_C01_Z20_01","Pericycle","area","82.553",63
"B04_B_To_C01_Z20_01","Pericycle","area","137.588",64
"B04_B_To_C01_Z20_01","Pericycle","area","140.789",65
"B04_B_To_C01_Z20_01","Pericycle","area","204.362",66
"B04_B_To_C01_Z20_01","Pericycle","area","148.564",67
"B04_B_To_C01_Z20_01","Pericycle","area","138.35",68
"B04_B_To_C01_Z20_01","Pericycle","area","85.754",69
"B04_B_To_C01_Z20_01","Pericycle","XM","229.455",70
"B04_B_To_C01_Z20_01","Pericycle","XM","227.454",71
"B04_B_To_C01_Z20_01","Pericycle","XM","230.682",72
"B04_B_To_C01_Z20_01","Pericycle","XM","246.008",73
"B04_B_To_C01_Z20_01","Pericycle","XM","267.16",74
