"CS_id","param_id","value"
"B04_B_To_C01_Z20_01","secondarygrowth_param",0
"B04_B_To_C01_Z20_01","randomness_param",2
"B04_B_To_C01_Z20_01","planttype_param",2
"B04_B_To_C01_Z20_01","aerenchyma_proportion",0
"B04_B_To_C01_Z20_01","aerenchyma_n_files",10
"B04_B_To_C01_Z20_01","xylem_n_files",2
"B04_B_To_C01_Z20_01","xylem_n_cells",6
"B04_B_To_C01_Z20_01","xylem_max_size",0.0233588932575891
"B04_B_To_C01_Z20_01","xylem_cell_diameter",0.0148167542476432
"B04_B_To_C01_Z20_01","xylem_order",1.5
"B04_B_To_C01_Z20_01","stele_cell_diameter",0.00616973996816802
"B04_B_To_C01_Z20_01","stele_SD",0.000597499925216829
"B04_B_To_C01_Z20_01","phloem_cell_diameter",0.005745
"B04_B_To_C01_Z20_01","phloem_order",1.5
"B04_B_To_C01_Z20_01","stele_order",1
"B04_B_To_C01_Z20_01","cortex_cell_diameter",0.019406
"B04_B_To_C01_Z20_01","cortex_order",4
"B04_B_To_C01_Z20_01","endodermis_cell_diameter",0.012696
"B04_B_To_C01_Z20_01","endodermis_n_layers",1
"B04_B_To_C01_Z20_01","endodermis_order",3
"B04_B_To_C01_Z20_01","exodermis_cell_diameter",0.023835375
"B04_B_To_C01_Z20_01","exodermis_n_layers",1
"B04_B_To_C01_Z20_01","exodermis_order",5
"B04_B_To_C01_Z20_01","epidermis_cell_diameter",0.014168
"B04_B_To_C01_Z20_01","epidermis_n_layers",1
"B04_B_To_C01_Z20_01","epidermis_order",6
"B04_B_To_C01_Z20_01","pericycle_cell_diameter",0.0117558181818182
"B04_B_To_C01_Z20_01","pericycle_order",2
"B04_B_To_C01_Z20_01","pericycle_n_layers",1
"B04_B_To_C01_Z20_01","stele_n_layers",9
"B04_B_To_C01_Z20_01","stele_layer_diameter",0.1162
"B04_B_To_C01_Z20_01","cortex_n_layers",3
"B04_B_To_C01_Z20_01","phloem_n_layers",0
"B04_B_To_C01_Z20_01","phloem_proportion",0
"B04_B_To_C03_Z20_01","secondarygrowth_param",0
"B04_B_To_C03_Z20_01","randomness_param",2
"B04_B_To_C03_Z20_01","planttype_param",2
"B04_B_To_C03_Z20_01","aerenchyma_proportion",0
"B04_B_To_C03_Z20_01","aerenchyma_n_files",10
"B04_B_To_C03_Z20_01","xylem_n_files",2
"B04_B_To_C03_Z20_01","xylem_n_cells",5
"B04_B_To_C03_Z20_01","xylem_max_size",0.0210280352989264
"B04_B_To_C03_Z20_01","xylem_cell_diameter",0.0145563799078058
"B04_B_To_C03_Z20_01","xylem_order",1.5
"B04_B_To_C03_Z20_01","stele_cell_diameter",0.00697128383047626
"B04_B_To_C03_Z20_01","stele_SD",0.000710507033578918
"B04_B_To_C03_Z20_01","phloem_cell_diameter",0.007
"B04_B_To_C03_Z20_01","phloem_order",1.5
"B04_B_To_C03_Z20_01","stele_order",1
"B04_B_To_C03_Z20_01","cortex_cell_diameter",0.0169855384615385
"B04_B_To_C03_Z20_01","cortex_order",4
"B04_B_To_C03_Z20_01","endodermis_cell_diameter",0.0124771818181818
"B04_B_To_C03_Z20_01","endodermis_n_layers",1
"B04_B_To_C03_Z20_01","endodermis_order",3
"B04_B_To_C03_Z20_01","exodermis_cell_diameter",0.0214234
"B04_B_To_C03_Z20_01","exodermis_n_layers",1
"B04_B_To_C03_Z20_01","exodermis_order",5
"B04_B_To_C03_Z20_01","epidermis_cell_diameter",0.0110465
"B04_B_To_C03_Z20_01","epidermis_n_layers",1
"B04_B_To_C03_Z20_01","epidermis_order",6
"B04_B_To_C03_Z20_01","pericycle_cell_diameter",0.0109402857142857
"B04_B_To_C03_Z20_01","pericycle_order",2
"B04_B_To_C03_Z20_01","pericycle_n_layers",1
"B04_B_To_C03_Z20_01","stele_n_layers",7
"B04_B_To_C03_Z20_01","stele_layer_diameter",0.1134
"B04_B_To_C03_Z20_01","cortex_n_layers",3
"B04_B_To_C03_Z20_01","phloem_n_layers",0
"B04_B_To_C03_Z20_01","phloem_proportion",0
"B04_B_To_C04_Z20_01","secondarygrowth_param",0
"B04_B_To_C04_Z20_01","randomness_param",2
"B04_B_To_C04_Z20_01","planttype_param",2
"B04_B_To_C04_Z20_01","aerenchyma_proportion",0
"B04_B_To_C04_Z20_01","aerenchyma_n_files",10
"B04_B_To_C04_Z20_01","xylem_n_files",2
"B04_B_To_C04_Z20_01","xylem_n_cells",4
"B04_B_To_C04_Z20_01","xylem_max_size",0.0229903482463245
"B04_B_To_C04_Z20_01","xylem_cell_diameter",0.0171039448393175
"B04_B_To_C04_Z20_01","xylem_order",1.5
"B04_B_To_C04_Z20_01","stele_cell_diameter",0.00726578496207466
"B04_B_To_C04_Z20_01","stele_SD",0.00105490168235709
"B04_B_To_C04_Z20_01","phloem_cell_diameter",0.00671625
"B04_B_To_C04_Z20_01","phloem_order",1.5
"B04_B_To_C04_Z20_01","stele_order",1
"B04_B_To_C04_Z20_01","cortex_cell_diameter",0.0182595555555556
"B04_B_To_C04_Z20_01","cortex_order",4
"B04_B_To_C04_Z20_01","endodermis_cell_diameter",0.0137832857142857
"B04_B_To_C04_Z20_01","endodermis_n_layers",1
"B04_B_To_C04_Z20_01","endodermis_order",3
"B04_B_To_C04_Z20_01","exodermis_cell_diameter",0.0215884285714286
"B04_B_To_C04_Z20_01","exodermis_n_layers",1
