"","x","radius","MS","kAQP","kr","Kx","Kr"
"1",1,0.1887,"T1",6.3657e-07,6.57425665379215e-08,2.07062137483907e-11,7.79445249467494e-11
"2",2,0.1887,"T1",6.3657e-07,6.66580484841849e-08,2.37933103747099e-11,7.90299222647515e-11
"3",3,0.1887,"T1",6.3657e-07,6.75735304304484e-08,2.73406633132665e-11,8.01153195827535e-11
"4",4,0.1887,"T1",6.3657e-07,6.84890123767119e-08,3.14168923381056e-11,8.12007169007556e-11
"5",5,0.1887,"T1",6.3657e-07,6.94044943229753e-08,3.61008477693074e-11,8.22861142187576e-11
"6",6,0.1887,"T1",6.3657e-07,7.03199762692388e-08,4.14831357486611e-11,8.33715115367597e-11
"7",7,0.1887,"T1",6.3657e-07,7.12354582155023e-08,4.76678709192226e-11,8.44569088547617e-11
"8",8,0.1887,"T2",6.3657e-07,6.79417217849317e-08,5.47746904124768e-11,8.05518480258308e-11
"9",9,0.1887,"T2",6.3657e-07,6.88572037311951e-08,6.294106810155e-11,8.16372453438328e-11
"10",10,0.1887,"T2",6.3657e-07,6.97726856774586e-08,7.23249738872381e-11,8.27226426618349e-11
"11",11,0.1887,"T2",6.3657e-07,7.06881676237221e-08,8.3107929457919e-11,8.38080399798369e-11
"12",12,0.1887,"T2",6.3657e-07,7.16036495699855e-08,9.54985196337718e-11,8.4893437297839e-11
"13",13,0.1887,"T2",6.3657e-07,7.2519131516249e-08,1.09736427218533e-10,8.5978834615841e-11
"14",14,0.1887,"T2",6.3657e-07,7.34346134625125e-08,1.26097069408706e-10,8.70642319338430e-11
"15",15,0.1887,"T2",6.3657e-07,7.43500954087759e-08,1.44896925446636e-10,8.81496292518451e-11
"16",16,0.1887,"T2",6.3657e-07,7.52655773550394e-08,1.66499658575241e-10,8.92350265698472e-11
"17",17,0.1887,"T2",6.3657e-07,7.61810593013028e-08,1.91323150717104e-10,9.03204238878492e-11
"18",18,0.1887,"T2",6.3657e-07,7.70965412475663e-08,2.1984758595633e-10,9.14058212058513e-11
"19",19,0.1887,"T2",6.3657e-07,7.80120231938298e-08,2.52624739189522e-10,9.24912185238533e-11
"20",20,0.1887,"T2",6.3657e-07,7.89275051400932e-08,2.90288649624975e-10,9.35766158418553e-11
"21",21,0.1887,"T2",6.3657e-07,7.98429870863567e-08,3.33567885597591e-10,9.46620131598574e-11
"22",22,0.1887,"T2",6.3657e-07,8.07584690326202e-08,3.83299637949312e-10,9.57474104778594e-11
"23",23,0.1887,"T2",6.3657e-07,8.16739509788836e-08,4.40445914596564e-10,9.68328077958615e-11
"24",24,0.1887,"T2",6.3657e-07,8.25894329251471e-08,5.06112149551413e-10,9.79182051138635e-11
"25",25,0.1887,"T2",6.3657e-07,8.35049148714105e-08,5.81568586368152e-10,9.90036024318656e-11
"26",26,0.20804518235702,"T2",6.3657e-07,8.19370730121662e-08,7.58191084346568e-10,1.07103871342642e-10
"27",27,0.265802959088927,"T2",6.3657e-07,7.54382406726047e-08,1.27003686686889e-09,1.25984878846031e-10
"28",28,0.339595525644939,"T2",6.3657e-07,6.68810366644988e-08,2.36208762682515e-09,1.42702642537451e-10
"29",29,0.433874481432991,"T2",6.3657e-07,5.56940131421633e-08,5.02149896281952e-09,1.51823738158956e-10
"30",30,0.554327284734507,"T2",6.3657e-07,4.1147076158566e-08,1.26632884523645e-08,1.43308614011944e-10
