"","x","radius","MS","kr","Kx","Kr","kAQP"
"1",1,0.1887,"T1",8.65294265065396e-08,2.07062137483907e-11,1.02589469777949e-10,1.16e-06
"2",2,0.1887,"T1",8.74449084528031e-08,2.37933103747099e-11,1.03674867095951e-10,1.16e-06
"3",3,0.1887,"T1",8.83603903990666e-08,2.73406633132665e-11,1.04760264413953e-10,1.16e-06
"4",4,0.1887,"T1",8.927587234533e-08,3.14168923381056e-11,1.05845661731955e-10,1.16e-06
"5",5,0.1887,"T1",9.01913542915935e-08,3.61008477693074e-11,1.06931059049957e-10,1.16e-06
"6",6,0.1887,"T1",9.11068362378569e-08,4.14831357486611e-11,1.08016456367959e-10,1.16e-06
"7",7,0.1887,"T1",9.20223181841204e-08,4.76678709192226e-11,1.09101853685961e-10,1.16e-06
"8",8,0.1887,"T2",8.5954805898099e-08,5.47746904124768e-11,1.01908198377879e-10,1.16e-06
"9",9,0.1887,"T2",8.68702878443624e-08,6.294106810155e-11,1.02993595695881e-10,1.16e-06
"10",10,0.1887,"T2",8.77857697906259e-08,7.23249738872381e-11,1.04078993013883e-10,1.16e-06
"11",11,0.1887,"T2",8.67052658771494e-08,8.3107929457919e-11,1.02797945305007e-10,1.102e-06
"12",12,0.1887,"T2",8.56247619636728e-08,9.54985196337718e-11,1.01516897596131e-10,1.044e-06
"13",13,0.1887,"T2",8.45442580501963e-08,1.09736427218533e-10,1.00235849887255e-10,9.86e-07
"14",14,0.1887,"T2",8.34637541367198e-08,1.26097069408706e-10,9.89548021783787e-11,9.28e-07
"15",15,0.1887,"T2",8.23832502232433e-08,1.44896925446636e-10,9.76737544695027e-11,8.7e-07
"16",16,0.1887,"T2",8.13027463097667e-08,1.66499658575241e-10,9.63927067606267e-11,8.12e-07
"17",17,0.1887,"T2",8.02222423962902e-08,1.91323150717104e-10,9.51116590517507e-11,7.54e-07
"18",18,0.1887,"T2",7.91417384828137e-08,2.1984758595633e-10,9.38306113428747e-11,6.96e-07
"19",19,0.1887,"T2",7.80612345693372e-08,2.52624739189522e-10,9.25495636339987e-11,6.38e-07
"20",20,0.1887,"T2",7.69807306558606e-08,2.90288649624975e-10,9.12685159251228e-11,5.8e-07
"21",21,0.1887,"T2",7.59002267423841e-08,3.33567885597591e-10,8.99874682162468e-11,5.22e-07
"22",22,0.1887,"T2",7.48197228289076e-08,3.83299637949312e-10,8.87064205073708e-11,4.64e-07
"23",23,0.1887,"T2",7.3739218915431e-08,4.40445914596564e-10,8.74253727984948e-11,4.06e-07
"24",24,0.1887,"T2",7.26587150019545e-08,5.06112149551413e-10,8.61443250896188e-11,3.48e-07
"25",25,0.1887,"T2",7.1578211088478e-08,5.81568586368152e-10,8.48632773807428e-11,2.9e-07
"26",26,0.20804518235702,"T2",6.80143833694937e-08,7.58191084346568e-10,8.89048570818945e-11,2.32e-07
"27",27,0.265802959088927,"T2",5.95195651701922e-08,1.27003686686889e-09,9.94000541380360e-11,1.74e-07
"28",28,0.339595525644939,"T2",4.89663753023462e-08,2.36208762682515e-09,1.04478511392969e-10,1.16e-07
"29",29,0.433874481432991,"T2",3.57833659202708e-08,5.02149896281952e-09,9.75466494766279e-11,5.79999999999999e-08
"30",30,0.554327284734507,"T2",1.92404430769335e-08,1.26632884523645e-08,6.70113526342752e-11,0
