"Root","X","Barrier","Kr","Kx","kAQP","perimeter"
"root17",18,"b0",0.00013218210706277,0.413553321201049,1e-04,0.136282069451603
"root17",18,"b1",6.29903656135482e-05,0.413553321201049,1e-04,0.136282069451603
"root17",18,"b2",4.32472183787375e-05,0.413553321201049,1e-04,0.136282069451603
"root17",18,"b3",4.32472183787375e-05,0.413553321201049,1e-04,0.136282069451603
"root17",18,"b4",3.85820563157928e-05,0.413553321201049,1e-04,0.136282069451603
"root17",18,"b5",5.3187068446545e-05,0.413553321201049,1e-04,0.136282069451603
"root17",18,"b6",4.69539895566066e-05,0.413553321201049,1e-04,0.136282069451603
"root17",18,"b7",8.98435320515066e-05,0.413553321201049,1e-04,0.136282069451603
"root17",18,"b8",3.52841594284876e-05,0.413553321201049,1e-04,0.136282069451603
"root17",18,"b9",4.85309337119497e-05,4.85309337119497e-05,1e-04,0.136282069451603
"root17",18,"b0",0.00015035693535061,0.413553321201049,2e-04,0.136282069451603
"root17",18,"b1",7.62197472694821e-05,0.413553321201049,2e-04,0.136282069451603
"root17",18,"b2",4.6872837381964e-05,0.413553321201049,2e-04,0.136282069451603
"root17",18,"b3",4.6872837381964e-05,0.413553321201049,2e-04,0.136282069451603
"root17",18,"b4",4.29830091482361e-05,0.413553321201049,2e-04,0.136282069451603
"root17",18,"b5",6.62374447515606e-05,0.413553321201049,2e-04,0.136282069451603
"root17",18,"b6",5.60031966145449e-05,0.413553321201049,2e-04,0.136282069451603
"root17",18,"b7",0.000102726593517563,0.413553321201049,2e-04,0.136282069451603
"root17",18,"b8",3.84880786031046e-05,0.413553321201049,2e-04,0.136282069451603
"root17",18,"b9",5.85039339711793e-05,5.85039339711793e-05,2e-04,0.136282069451603
"root17",18,"b0",0.000163366765511894,0.413553321201049,3e-04,0.136282069451603
"root17",18,"b1",8.62299813120401e-05,0.413553321201049,3e-04,0.136282069451603
"root17",18,"b2",4.89017687724289e-05,0.413553321201049,3e-04,0.136282069451603
"root17",18,"b3",4.89017687724289e-05,0.413553321201049,3e-04,0.136282069451603
"root17",18,"b4",4.561228426836e-05,0.413553321201049,3e-04,0.136282069451603
"root17",18,"b5",7.63766836702326e-05,0.413553321201049,3e-04,0.136282069451603
"root17",18,"b6",6.22818488820623e-05,0.413553321201049,3e-04,0.136282069451603
"root17",18,"b7",0.000111506178380954,0.413553321201049,3e-04,0.136282069451603
"root17",18,"b8",4.0223974491619e-05,0.413553321201049,3e-04,0.136282069451603
"root17",18,"b9",6.56035103126564e-05,6.56035103126564e-05,3e-04,0.136282069451603
"root17",18,"b0",0.000174138710519336,0.413553321201049,4e-04,0.136282069451603
"root17",18,"b1",9.45794658759998e-05,0.413553321201049,4e-04,0.136282069451603
"root17",18,"b2",5.02808934281711e-05,0.413553321201049,4e-04,0.136282069451603
"root17",18,"b3",5.02808934281711e-05,0.413553321201049,4e-04,0.136282069451603
"root17",18,"b4",4.74486655872688e-05,0.413553321201049,4e-04,0.136282069451603
"root17",18,"b5",8.49492581397261e-05,0.413553321201049,4e-04,0.136282069451603
"root17",18,"b6",6.71271325481597e-05,0.413553321201049,4e-04,0.136282069451603
"root17",18,"b7",0.000118558872162265,0.413553321201049,4e-04,0.136282069451603
"root17",18,"b8",4.13513664940593e-05,0.413553321201049,4e-04,0.136282069451603
"root17",18,"b9",7.12207953638757e-05,7.12207953638757e-05,4e-04,0.136282069451603
"root17",18,"b0",0.000183698362979589,0.413553321201049,5e-04,0.136282069451603
"root17",18,"b1",0.000101887369512336,0.413553321201049,5e-04,0.136282069451603
"root17",18,"b2",5.13200895096049e-05,0.413553321201049,5e-04,0.136282069451603
"root17",18,"b3",5.13200895096049e-05,0.413553321201049,5e-04,0.136282069451603
"root17",18,"b4",4.88440148234998e-05,0.413553321201049,5e-04,0.136282069451603
"root17",18,"b5",9.25113127959227e-05,0.413553321201049,5e-04,0.136282069451603
"root17",18,"b6",7.10834864227447e-05,0.413553321201049,5e-04,0.136282069451603
"root17",18,"b7",0.000124660065382573,0.413553321201049,5e-04,0.136282069451603
