"root","x","Barrier","Kr","Kx","kAQP","perimeter","Kr2","radius","conductance"
"root1",1,"M1",4.35136811086987e-05,0.0208317829117071,1e-04,0.114120707319229,5.03630568387716e-08,0.181628746789987,5.74746766919915e-09
"root1",1,"M2",2.84870456471568e-05,0.0208317829117071,1e-04,0.114120707319229,3.29711176471722e-08,0.181628746789987,3.76268726700081e-09
"root1",1,"M3",2.57587422621614e-05,0.0208317829117071,1e-04,0.114120707319229,2.98133590997238e-08,0.181628746789987,3.40232162802266e-09
"root1",1,"M1",5.41177972816458e-05,0.0208317829117071,2e-04,0.114120707319229,6.26363394463493e-08,0.181628746789987,7.14810336150471e-09
"root1",1,"M2",3.14361400801598e-05,0.0208317829117071,2e-04,0.114120707319229,3.63844213890738e-08,0.181628746789987,4.15221590432199e-09
"root1",1,"M3",2.91741950547689e-05,0.0208317829117071,2e-04,0.114120707319229,3.37664294615381e-08,0.181628746789987,3.85344881379558e-09
"root1",1,"M1",6.2193834361303e-05,0.0208317829117071,3e-04,0.114120707319229,7.19836045848414e-08,0.181628746789987,8.2148198706098e-09
"root1",1,"M2",3.30705750201616e-05,0.0208317829117071,3e-04,0.114120707319229,3.82761284955574e-08,0.181628746789987,4.36809885735471e-09
"root1",1,"M3",3.11422012428193e-05,0.0208317829117071,3e-04,0.114120707319229,3.60442144014112e-08,0.181628746789987,4.11339124225499e-09
"root1",1,"M1",6.89597138471339e-05,0.0208317829117071,4e-04,0.114120707319229,7.98144836193679e-08,0.181628746789987,9.10848532496129e-09
"root1",1,"M2",3.41632298106613e-05,0.0208317829117071,4e-04,0.114120707319229,3.95407752438209e-08,0.181628746789987,4.51242123877551e-09
"root1",1,"M3",3.24849173342493e-05,0.0208317829117071,4e-04,0.114120707319229,3.75982839516774e-08,0.181628746789987,4.29074275855465e-09
"root1",1,"M1",7.49039231262208e-05,0.0208317829117071,5e-04,0.114120707319229,8.66943554701629e-08,0.181628746789987,9.89362116683967e-09
"root1",1,"M2",3.49726135353093e-05,0.0208317829117071,5e-04,0.114120707319229,4.04775619621635e-08,0.181628746789987,4.61932800168002e-09
"root1",1,"M3",3.34893056215158e-05,0.0208317829117071,5e-04,0.114120707319229,3.87607703952729e-08,0.181628746789987,4.42340653374678e-09
"root1",1,"M1",8.02795215982478e-05,0.0208317829117071,6e-04,0.114120707319229,9.29161129609349e-08,0.181628746789987,1.06036525324553e-08
