"root","x","Barrier","Kr","Kx","kAQP","perimeter","kr","radius"
"root1",1,"M1",5.74746766919915e-12,2.41108598515128e-11,1.15740740740741e-07,0.114120707319229,5.03630568387716e-08,0.181628746789987
"root1",1,"M2",3.76268726700081e-12,2.41108598515128e-11,1.15740740740741e-07,0.114120707319229,3.29711176471722e-08,0.181628746789987
"root1",1,"M3",3.40232162802266e-12,2.41108598515128e-11,1.15740740740741e-07,0.114120707319229,2.98133590997238e-08,0.181628746789987
"root1",1,"M1",7.14810336150471e-12,2.41108598515128e-11,2.31481481481481e-07,0.114120707319229,6.26363394463493e-08,0.181628746789987
"root1",1,"M2",4.15221590432199e-12,2.41108598515128e-11,2.31481481481481e-07,0.114120707319229,3.63844213890738e-08,0.181628746789987
"root1",1,"M3",3.85344881379558e-12,2.41108598515128e-11,2.31481481481481e-07,0.114120707319229,3.37664294615381e-08,0.181628746789987
"root1",1,"M1",8.2148198706098e-12,2.41108598515128e-11,3.47222222222222e-07,0.114120707319229,7.19836045848414e-08,0.181628746789987
"root1",1,"M2",4.36809885735471e-12,2.41108598515128e-11,3.47222222222222e-07,0.114120707319229,3.82761284955574e-08,0.181628746789987
"root1",1,"M3",4.11339124225499e-12,2.41108598515128e-11,3.47222222222222e-07,0.114120707319229,3.60442144014112e-08,0.181628746789987
"root1",1,"M1",9.10848532496129e-12,2.41108598515128e-11,4.62962962962963e-07,0.114120707319229,7.98144836193679e-08,0.181628746789987
"root1",1,"M2",4.51242123877551e-12,2.41108598515128e-11,4.62962962962963e-07,0.114120707319229,3.95407752438209e-08,0.181628746789987
"root1",1,"M3",4.29074275855465e-12,2.41108598515128e-11,4.62962962962963e-07,0.114120707319229,3.75982839516774e-08,0.181628746789987
"root1",1,"M1",9.89362116683967e-12,2.41108598515128e-11,5.78703703703704e-07,0.114120707319229,8.66943554701629e-08,0.181628746789987
"root1",1,"M2",4.61932800168002e-12,2.41108598515128e-11,5.78703703703704e-07,0.114120707319229,4.04775619621635e-08,0.181628746789987
"root1",1,"M3",4.42340653374678e-12,2.41108598515128e-11,5.78703703703704e-07,0.114120707319229,3.87607703952729e-08,0.181628746789987
"root1",1,"M1",1.06036525324553e-11,2.41108598515128e-11,6.94444444444444e-07,0.114120707319229,9.29161129609349e-08,0.181628746789987
"root1",1,"M2",4.70382652776054e-12,2.41108598515128e-11,6.94444444444444e-07,0.114120707319229,4.12179931079691e-08,0.181628746789987
"root1",1,"M3",4.52859546049856e-12,2.41108598515128e-11,6.94444444444444e-07,0.114120707319229,3.96825043138819e-08,0.181628746789987
"root1",1,"M1",1.12584618873801e-11,2.41108598515128e-11,8.10185185185185e-07,0.114120707319229,9.86539792106869e-08,0.181628746789987
"root1",1,"M2",4.77363605597392e-12,2.41108598515128e-11,8.10185185185185e-07,0.114120707319229,4.18297096829295e-08,0.181628746789987
"root1",1,"M3",4.61541062733226e-12,2.41108598515128e-11,8.10185185185185e-07,0.114120707319229,4.04432353755187e-08,0.181628746789987
"root1",1,"M1",1.18709433217997e-11,2.41108598515128e-11,9.25925925925926e-07,0.114120707319229,1.04020940639574e-07,0.181628746789987
"root1",1,"M2",4.83316770573832e-12,2.41108598515128e-11,9.25925925925926e-07,0.114120707319229,4.23513647897269e-08,0.181628746789987
"root1",1,"M3",4.68917691573528e-12,2.41108598515128e-11,9.25925925925926e-07,0.114120707319229,4.10896236615348e-08,0.181628746789987
"root1",1,"M1",1.24499683030487e-11,2.41108598515128e-11,1.04166666666667e-06,0.114120707319229,1.0909473482514e-07,0.181628746789987
"root1",1,"M2",4.8851425763162e-12,2.41108598515128e-11,1.04166666666667e-06,0.114120707319229,4.28068024732008e-08,0.181628746789987
"root1",1,"M3",4.75324598240971e-12,2.41108598515128e-11,1.04166666666667e-06,0.114120707319229,4.1651038571935e-08,0.181628746789987
"root1",1,"M1",1.30019100757286e-11,2.41108598515128e-11,1.15740740740741e-06,0.114120707319229,1.13931208289469e-07,0.181628746789987
"root1",1,"M2",4.93134061184488e-12,2.41108598515128e-11,1.15740740740741e-06,0.114120707319229,4.32116197637163e-08,0.181628746789987
"root1",1,"M3",4.80984810050885e-12,2.41108598515128e-11,1.15740740740741e-06,0.114120707319229,4.21470232133622e-08,0.181628746789987
"root1",10,"M1",7.94284722400033e-12,1.4469218745936e-10,1.15740740740741e-07,0.11376397347013,6.98186515618304e-08,0.181060987235464
"root1",10,"M2",5.29866257178734e-12,1.4469218745936e-10,1.15740740740741e-07,0.11376397347013,4.65759274237953e-08,0.181060987235464
"root1",10,"M3",4.71771543014864e-12,1.4469218745936e-10,1.15740740740741e-07,0.11376397347013,4.14693271186359e-08,0.181060987235464
"root1",10,"M1",9.76866577068888e-12,1.4469218745936e-10,2.31481481481481e-07,0.11376397347013,8.58678320800192e-08,0.181060987235464
"root1",10,"M2",5.77938994780664e-12,1.4469218745936e-10,2.31481481481481e-07,0.11376397347013,5.08015830628848e-08,0.181060987235464
"root1",10,"M3",5.28294171254462e-12,1.4469218745936e-10,2.31481481481481e-07,0.11376397347013,4.64377390433863e-08,0.181060987235464
"root1",10,"M1",1.11683951141155e-11,1.4469218745936e-10,3.47222222222222e-07,0.11376397347013,9.81716335448492e-08,0.181060987235464
"root1",10,"M2",6.04284913600695e-12,1.4469218745936e-10,3.47222222222222e-07,0.11376397347013,5.3117423307947e-08,0.181060987235464
"root1",10,"M3",5.61620415895874e-12,1.4469218745936e-10,3.47222222222222e-07,0.11376397347013,4.93671589313231e-08,0.181060987235464
"root1",10,"M1",1.23479109685951e-11,1.4469218745936e-10,4.62962962962963e-07,0.11376397347013,1.08539730038853e-07,0.181060987235464
"root1",10,"M2",6.21864798271745e-12,1.4469218745936e-10,4.62962962962963e-07,0.11376397347013,5.46627178449443e-08,0.181060987235464
"root1",10,"M3",5.84678718432483e-12,1.4469218745936e-10,4.62962962962963e-07,0.11376397347013,5.13940134647281e-08,0.181060987235464
"root1",10,"M1",1.33882768733201e-11,1.4469218745936e-10,5.78703703703704e-07,0.11376397347013,1.17684680527051e-07,0.181060987235464
"root1",10,"M2",6.34891352197391e-12,1.4469218745936e-10,5.78703703703704e-07,0.11376397347013,5.58077687365665e-08,0.181060987235464
"root1",10,"M3",6.02057925236885e-12,1.4469218745936e-10,5.78703703703704e-07,0.11376397347013,5.29216681584141e-08,0.181060987235464
"root1",10,"M1",1.43312996574163e-11,1.4469218745936e-10,6.94444444444444e-07,0.11376397347013,1.25973972429674e-07,0.181060987235464
"root1",10,"M2",6.45191578389615e-12,1.4469218745936e-10,6.94444444444444e-07,0.11376397347013,5.67131719040226e-08,0.181060987235464
"root1",10,"M3",6.15884228212259e-12,1.4469218745936e-10,6.94444444444444e-07,0.11376397347013,5.41370180230182e-08,0.181060987235464
"root1",10,"M1",1.52018582861002e-11,1.4469218745936e-10,8.10185185185185e-07,0.11376397347013,1.33626295059847e-07,0.181060987235464
"root1",10,"M2",6.53699934607633e-12,1.4469218745936e-10,8.10185185185185e-07,0.11376397347013,5.74610673896046e-08,0.181060987235464
"root1",10,"M3",6.27301942682376e-12,1.4469218745936e-10,8.10185185185185e-07,0.11376397347013,5.51406498514295e-08,0.181060987235464
"root1",10,"M1",1.60161284121377e-11,1.4469218745936e-10,9.25925925925926e-07,0.11376397347013,1.40783834491707e-07,0.181060987235464
"root1",10,"M2",6.60949794204507e-12,1.4469218745936e-10,9.25925925925926e-07,0.11376397347013,5.8098339398988e-08,0.181060987235464
"root1",10,"M3",6.36990897966317e-12,1.4469218745936e-10,9.25925925925926e-07,0.11376397347013,5.59923215176346e-08,0.181060987235464
"root1",10,"M1",1.67852818547469e-11,1.4469218745936e-10,1.04166666666667e-06,0.11376397347013,1.47544792457113e-07,0.181060987235464
"root1",10,"M2",6.67270707976196e-12,1.4469218745936e-10,1.04166666666667e-06,0.11376397347013,5.86539558721897e-08,0.181060987235464
"root1",10,"M3",6.45384711289054e-12,1.4469218745936e-10,1.04166666666667e-06,0.11376397347013,5.67301485349847e-08,0.181060987235464
"root1",10,"M1",1.75173832067978e-11,1.4469218745936e-10,1.15740740740741e-06,0.11376397347013,1.5398005776756e-07,0.181060987235464
"root1",10,"M2",6.72878958441519e-12,1.4469218745936e-10,1.15740740740741e-06,0.11376397347013,5.91469283215737e-08,0.181060987235464
"root1",10,"M3",6.52775285095528e-12,1.4469218745936e-10,1.15740740740741e-06,0.11376397347013,5.73797895048841e-08,0.181060987235464
"root1",19,"M1",9.06955560095115e-12,5.65613428026086e-10,1.15740740740741e-07,0.157281054760234,5.76646412676795e-08,0.250320573197983
"root1",19,"M2",6.3078736089724e-12,5.65613428026086e-10,1.15740740740741e-07,0.157281054760234,4.01057433051196e-08,0.250320573197983
"root1",19,"M3",5.74941699553094e-12,5.65613428026086e-10,1.15740740740741e-07,0.157281054760234,3.65550511108639e-08,0.250320573197983
"root1",19,"M1",1.0973993338547e-11,5.65613428026086e-10,2.31481481481481e-07,0.157281054760234,6.97731418146722e-08,0.250320573197983
"root1",19,"M2",6.84989361860871e-12,5.65613428026086e-10,2.31481481481481e-07,0.157281054760234,4.35519308352235e-08,0.250320573197983
"root1",19,"M3",6.40886470574159e-12,5.65613428026086e-10,2.31481481481481e-07,0.157281054760234,4.07478492276869e-08,0.250320573197983
"root1",19,"M1",1.24522146487305e-11,5.65613428026086e-10,3.47222222222222e-07,0.157281054760234,7.91717392009683e-08,0.250320573197983
"root1",19,"M2",7.16409632225276e-12,5.65613428026086e-10,3.47222222222222e-07,0.157281054760234,4.55496457165424e-08,0.250320573197983
"root1",19,"M3",6.79801084809927e-12,5.65613428026086e-10,3.47222222222222e-07,0.157281054760234,4.32220578534551e-08,0.250320573197983
"root1",19,"M1",1.37181995078852e-11,5.65613428026086e-10,4.62962962962963e-07,0.157281054760234,8.72209277131171e-08,0.250320573197983
"root1",19,"M2",7.384998971612e-12,5.65613428026086e-10,4.62962962962963e-07,0.157281054760234,4.6954154668342e-08,0.250320573197983
"root1",19,"M3",7.07183347738995e-12,5.65613428026086e-10,4.62962962962963e-07,0.157281054760234,4.49630344110456e-08,0.250320573197983
"root1",19,"M1",1.48539191446749e-11,5.65613428026086e-10,5.78703703703704e-07,0.157281054760234,9.44418840992571e-08,0.250320573197983
"root1",19,"M2",7.55630638957684e-12,5.65613428026086e-10,5.78703703703704e-07,0.157281054760234,4.80433349146596e-08,0.250320573197983
"root1",19,"M3",7.28291434569647e-12,5.65613428026086e-10,5.78703703703704e-07,0.157281054760234,4.6305096038419e-08,0.250320573197983
"root1",19,"M1",1.59003812714839e-11,5.65613428026086e-10,6.94444444444444e-07,0.157281054760234,1.01095337233866e-07,0.250320573197983
"root1",19,"M2",7.69705491372928e-12,5.65613428026086e-10,6.94444444444444e-07,0.157281054760234,4.89382203435944e-08,0.250320573197983
"root1",19,"M3",7.45483160345102e-12,5.65613428026086e-10,6.94444444444444e-07,0.157281054760234,4.739815367347e-08,0.250320573197983
"root1",19,"M1",1.68813024458444e-11,5.65613428026086e-10,8.10185185185185e-07,0.157281054760234,1.07332078053387e-07,0.250320573197983
"root1",19,"M2",7.81706909773063e-12,5.65613428026086e-10,8.10185185185185e-07,0.157281054760234,4.97012759079427e-08,0.250320573197983
"root1",19,"M3",7.60001710051552e-12,5.65613428026086e-10,8.10185185185185e-07,0.157281054760234,4.83212495751718e-08,0.250320573197983
"root1",19,"M1",1.7811724991917e-11,5.65613428026086e-10,9.25925925925926e-07,0.157281054760234,1.13247746329461e-07,0.250320573197983
"root1",19,"M2",7.92203208334401e-12,5.65613428026086e-10,9.25925925925926e-07,0.157281054760234,5.0368635277915e-08,0.250320573197983
"root1",19,"M3",7.72577594824353e-12,5.65613428026086e-10,9.25925925925926e-07,0.157281054760234,4.91208299691341e-08,0.250320573197983
"root1",19,"M1",1.87018257485656e-11,5.65613428026086e-10,1.04166666666667e-06,0.157281054760234,1.18907046860001e-07,0.250320573197983
"root1",19,"M2",8.01551572279628e-12,5.65613428026086e-10,1.04166666666667e-06,0.157281054760234,5.09630084501625e-08,0.250320573197983
"root1",19,"M3",7.83675038014262e-12,5.65613428026086e-10,1.04166666666667e-06,0.157281054760234,4.9826410384196e-08,0.250320573197983
"root1",19,"M1",1.95588294356434e-11,5.65613428026086e-10,1.15740740740741e-06,0.157281054760234,1.24355914737854e-07,0.250320573197983
"root1",19,"M2",8.09991150121728e-12,5.65613428026086e-10,1.15740740740741e-06,0.157281054760234,5.14996005943954e-08,0.250320573197983
"root1",19,"M3",7.93607102365302e-12,5.65613428026086e-10,1.15740740740741e-06,0.157281054760234,5.04578954900265e-08,0.250320573197983
"root1",30,"M1",1.34694060094015e-11,6.1924278064875e-09,1.15740740740741e-07,0.263178350723938,5.11797644918382e-08,0.418861354324872
"root1",30,"M2",1.14334926595909e-11,6.1924278064875e-09,1.15740740740741e-07,0.263178350723938,4.34438950929672e-08,0.418861354324872
"root1",30,"M3",1.04335897356224e-11,6.1924278064875e-09,1.15740740740741e-07,0.263178350723938,3.96445593147089e-08,0.418861354324872
"root1",30,"M1",1.52197373478257e-11,6.1924278064875e-09,2.31481481481481e-07,0.263178350723938,5.78305065973701e-08,0.418861354324872
"root1",30,"M2",1.23200639458872e-11,6.1924278064875e-09,2.31481481481481e-07,0.263178350723938,4.6812604121873e-08,0.418861354324872
"root1",30,"M3",1.15448996347178e-11,6.1924278064875e-09,2.31481481481481e-07,0.263178350723938,4.38672086931186e-08,0.418861354324872
"root1",30,"M1",1.66240021449506e-11,6.1924278064875e-09,3.47222222222222e-07,0.263178350723938,6.31662980606959e-08,0.418861354324872
"root1",30,"M2",1.29743397259617e-11,6.1924278064875e-09,3.47222222222222e-07,0.263178350723938,4.9298658838284e-08,0.418861354324872
"root1",30,"M3",1.2321997011043e-11,6.1924278064875e-09,3.47222222222222e-07,0.263178350723938,4.6819949198512e-08,0.418861354324872
"root1",30,"M1",1.7869313512405e-11,6.1924278064875e-09,4.62962962962963e-07,0.263178350723938,6.78981134399962e-08,0.418861354324872
"root1",30,"M2",1.35263517914395e-11,6.1924278064875e-09,4.62962962962963e-07,0.263178350723938,5.1396141643991e-08,0.418861354324872
"root1",30,"M3",1.29550164469951e-11,6.1924278064875e-09,4.62962962962963e-07,0.263178350723938,4.92252360855635e-08,0.418861354324872
"root1",30,"M1",1.90218015007078e-11,6.1924278064875e-09,5.78703703703704e-07,0.263178350723938,7.22772273949722e-08,0.418861354324872
"root1",30,"M2",1.40185436427244e-11,6.1924278064875e-09,5.78703703703704e-07,0.263178350723938,5.32663253043531e-08,0.418861354324872
"root1",30,"M3",1.35060902218414e-11,6.1924278064875e-09,5.78703703703704e-07,0.263178350723938,5.13191536640057e-08,0.418861354324872
"root1",30,"M1",2.01124674797712e-11,6.1924278064875e-09,6.94444444444444e-07,0.263178350723938,7.64214359746794e-08,0.418861354324872
"root1",30,"M2",1.44698172796211e-11,6.1924278064875e-09,6.94444444444444e-07,0.263178350723938,5.49810318357046e-08,0.418861354324872
"root1",30,"M3",1.40028121831329e-11,6.1924278064875e-09,6.94444444444444e-07,0.263178350723938,5.32065504043728e-08,0.418861354324872
"root1",30,"M1",2.11583415253031e-11,6.1924278064875e-09,8.10185185185185e-07,0.263178350723938,8.03954484367799e-08,0.418861354324872
"root1",30,"M2",1.48902843860844e-11,6.1924278064875e-09,8.10185185185185e-07,0.263178350723938,5.65786826504722e-08,0.418861354324872
"root1",30,"M3",1.44598247425218e-11,6.1924278064875e-09,8.10185185185185e-07,0.263178350723938,5.4943063146138e-08,0.418861354324872
"root1",30,"M1",2.21698008175999e-11,6.1924278064875e-09,9.25925925925926e-07,0.263178350723938,8.42386950013794e-08,0.418861354324872
"root1",30,"M2",1.52860732615119e-11,6.1924278064875e-09,9.25925925925926e-07,0.263178350723938,5.80825634763031e-08,0.418861354324872
"root1",30,"M3",1.48858860666449e-11,6.1924278064875e-09,9.25925925925926e-07,0.263178350723938,5.65619703356966e-08,0.418861354324872
"root1",30,"M1",2.31536540505594e-11,6.1924278064875e-09,1.04166666666667e-06,0.263178350723938,8.79770466942644e-08,0.418861354324872
"root1",30,"M2",1.56612511279799e-11,6.1924278064875e-09,1.04166666666667e-06,0.263178350723938,5.95081285557862e-08,0.418861354324872
"root1",30,"M3",1.52867104856741e-11,6.1924278064875e-09,1.04166666666667e-06,0.263178350723938,5.80849847399079e-08,0.418861354324872
"root1",30,"M1",2.41146252007677e-11,6.1924278064875e-09,1.15740740740741e-06,0.263178350723938,9.16284532311811e-08,0.418861354324872
"root1",30,"M2",1.60187083318903e-11,6.1924278064875e-09,1.15740740740741e-06,0.263178350723938,6.0866360351552e-08,0.418861354324872
"root1",30,"M3",1.56662804789239e-11,6.1924278064875e-09,1.15740740740741e-06,0.263178350723938,5.95272386038968e-08,0.418861354324872
"root1",6,"M1",6.25625810439404e-12,7.00540368168251e-11,1.15740740740741e-07,0.108187678425972,5.78278247155005e-08,0.172186038031298
"root1",6,"M2",4.13764097884543e-12,7.00540368168251e-11,1.15740740740741e-07,0.108187678425972,3.82450297394692e-08,0.172186038031298
"root1",6,"M3",3.70678819072367e-12,7.00540368168251e-11,1.15740740740741e-07,0.108187678425972,3.42625726390834e-08,0.172186038031298
"root1",6,"M1",7.77451489305809e-12,7.00540368168251e-11,2.31481481481481e-07,0.108187678425972,7.18613709635875e-08,0.172186038031298
"root1",6,"M2",4.52348525210777e-12,7.00540368168251e-11,2.31481481481481e-07,0.108187678425972,4.18114642805926e-08,0.172186038031298
"root1",6,"M3",4.17365903926278e-12,7.00540368168251e-11,2.31481481481481e-07,0.108187678425972,3.85779517592535e-08,0.172186038031298
"root1",6,"M1",8.94819792850261e-12,7.00540368168251e-11,3.47222222222222e-07,0.108187678425972,8.27099542081907e-08,0.172186038031298
"root1",6,"M2",4.73243609750682e-12,7.00540368168251e-11,3.47222222222222e-07,0.108187678425972,4.37428380602973e-08,0.172186038031298
"root1",6,"M3",4.43881292996502e-12,7.00540368168251e-11,3.47222222222222e-07,0.108187678425972,4.10288213458828e-08,0.172186038031298
"root1",6,"M1",9.94102956083418e-12,7.00540368168251e-11,4.62962962962963e-07,0.108187678425972,9.18868923473238e-08,0.172186038031298
"root1",6,"M2",4.87078217835287e-12,7.00540368168251e-11,4.62962962962963e-07,0.108187678425972,4.50215981081961e-08,0.172186038031298
"root1",6,"M3",4.6181328015813e-12,7.00540368168251e-11,4.62962962962963e-07,0.108187678425972,4.26863102043665e-08,0.172186038031298
"root1",6,"M1",1.08186341786557e-11,7.00540368168251e-11,5.78703703703704e-07,0.108187678425972,9.99987645178877e-08,0.172186038031298
"root1",6,"M2",4.97285324412617e-12,7.00540368168251e-11,5.78703703703704e-07,0.108187678425972,4.59650610538692e-08,0.172186038031298
"root1",6,"M3",4.75150699171075e-12,7.00540368168251e-11,5.78703703703704e-07,0.108187678425972,4.39191140880428e-08,0.172186038031298
"root1",6,"M1",1.16153917851777e-11,7.00540368168251e-11,6.94444444444444e-07,0.108187678425972,1.07363351854579e-07,0.172186038031298
"root1",6,"M2",5.05341553923791e-12,7.00540368168251e-11,6.94444444444444e-07,0.108187678425972,4.6709714199993e-08,0.172186038031298
"root1",6,"M3",4.85683922713306e-12,7.00540368168251e-11,6.94444444444444e-07,0.108187678425972,4.48927206664887e-08,0.172186038031298
"root1",6,"M1",1.23520175504019e-11,7.00540368168251e-11,8.10185185185185e-07,0.108187678425972,1.14172128749891e-07,0.172186038031298
"root1",6,"M2",5.11995566078338e-12,7.00540368168251e-11,8.10185185185185e-07,0.108187678425972,4.73247576366725e-08,0.172186038031298
"root1",6,"M3",4.94350841139891e-12,7.00540368168251e-11,8.10185185185185e-07,0.108187678425972,4.56938209907289e-08,0.172186038031298
"root1",6,"M1",1.30421034063215e-11,7.00540368168251e-11,9.25925925925926e-07,0.108187678425972,1.20550728105749e-07,0.172186038031298
"root1",6,"M2",5.17670993264608e-12,7.00540368168251e-11,9.25925925925926e-07,0.108187678425972,4.78493485391524e-08,0.172186038031298
"root1",6,"M3",5.01696347331775e-12,7.00540368168251e-11,9.25925925925926e-07,0.108187678425972,4.63727805819462e-08,0.172186038031298
"root1",6,"M1",1.36950945128133e-11,7.00540368168251e-11,1.04166666666667e-06,0.108187678425972,1.26586453393435e-07,0.172186038031298
"root1",6,"M2",5.22627434013035e-12,7.00540368168251e-11,1.04166666666667e-06,0.108187678425972,4.83074821104185e-08,0.172186038031298
"root1",6,"M3",5.08061656292857e-12,7.00540368168251e-11,1.04166666666667e-06,0.108187678425972,4.69611386143664e-08,0.172186038031298
"root1",6,"M1",1.43178332950623e-11,7.00540368168251e-11,1.15740740740741e-06,0.108187678425972,1.32342550495336e-07,0.172186038031298
