"node1ID","node2ID","branchID","x1","y1","z1","x2","y2","z2","radius","length","R","G","B","time","type","RSA_id","kr","Kx","SUF","RSHA_id","age"
0,1,0,0,0,0,0.0183,0.0049,-0.1968,1,0.197709736735448,0.4314,0.3922,0.1961,0.1492,1,"Tomato_60_1",8.64000304128107e-14,9.15736649589007e-06,7.83462380619214e-08,"Tomato_60_1_30_1A",30
1,2,0,0.0183,0.0049,-0.1968,0.0321,0.0054,-0.3621,1,0.16587579690841,0.4314,0.3922,0.1961,0.2748,1,"Tomato_60_1",8.64000304128107e-14,8.47146391574614e-06,6.39587752779049e-08,"Tomato_60_1_30_1A",30
2,3,0,0.0321,0.0054,-0.3621,0.0497,0.0014,-0.5613,1,0.200015999360051,0.4314,0.3922,0.1961,0.4268,1,"Tomato_60_1",8.64000304128107e-14,7.64139072958469e-06,7.49923515695615e-08,"Tomato_60_1_30_1A",30
3,4,0,0.0497,0.0014,-0.5613,0.0499,0.0014,-0.5637,1,0.00240831891575842,0.4314,0.3922,0.1961,0.4286,1,"Tomato_60_1",8.64000304128107e-14,7.63156091553805e-06,8.88777041184722e-10,"Tomato_60_1_30_1A",30
4,5,0,0.0499,0.0014,-0.5637,0.0562,0.0101,-0.7634,1,0.199988674679343,0.4314,0.3922,0.1961,0.5811,1,"Tomato_60_1",8.64000304128107e-14,6.79875722547476e-06,7.26181910696637e-08,"Tomato_60_1_30_1A",30
5,6,0,0.0562,0.0101,-0.7634,0.0576,0.0117,-0.7806,1,0.0173308972647119,0.4314,0.3922,0.1961,0.5944,1,"Tomato_60_1",8.64000304128107e-14,6.72612582168563e-06,6.18337578377604e-09,"Tomato_60_1_30_1A",30
6,7,0,0.0576,0.0117,-0.7806,0.0618,0.046,-0.9776,1,0.200007824846929,0.4314,0.3922,0.1961,0.7476,1,"Tomato_60_1",8.64000304128107e-14,5.88949942615976e-06,7.00603382557292e-08,"Tomato_60_1_30_1A",30
7,8,0,0.0618,0.046,-0.9776,0.0621,0.0479,-0.989,1,0.0115611418121222,0.4314,0.3922,0.1961,0.7564,1,"Tomato_60_1",8.64000304128107e-14,5.84144255748725e-06,3.97633700552408e-09,"Tomato_60_1_30_1A",30
8,9,0,0.0621,0.0479,-0.989,0.0583,0.0695,-1.1878,1,0.200006099906978,0.4314,0.3922,0.1961,0.9102,1,"Tomato_60_1",8.64000304128107e-14,5.00153955727916e-06,6.74716512153408e-08,"Tomato_60_1_30_1A",30
9,10,0,0.0583,0.0695,-1.1878,0.0581,0.0703,-1.1947,1,0.0069491006612368,0.4314,0.3922,0.1961,0.9156,1,"Tomato_60_1",8.64000304128107e-14,4.9720501151392e-06,2.29928247485428e-09,"Tomato_60_1_30_1A",30
