"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",7.66247686188852e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000125314473358162,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.47401946487383e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.47401946487383e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.33605284131006e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000115038197859531,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",7.97900984377342e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000160134853995788,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.71728748171093e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",8.78416611460591e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b0",2.9475468446904e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b1",5.39205686110434e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b2",3.51021997350892e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b3",3.51021997350892e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b4",3.10222475122237e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b5",4.47511255219631e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b6",3.96425629532828e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b7",9.34753316777796e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b8",2.85010155460476e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b9",4.1050155658843e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
