"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",7.66247686188852e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000125314473358162,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.47401946487383e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.47401946487383e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.33605284131006e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000115038197859531,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",7.97900984377342e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000160134853995788,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.71728748171093e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",8.78416611460591e-05,0.0241780553629233,0.102558074810968,"B04_B_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
