"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",6.61131537690508e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b1",0.000107393407150168,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b2",4.55011318763236e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b3",4.55011318763236e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b4",4.31682852389181e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b5",9.52340175165957e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b6",7.1122373148322e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b7",0.000144724576799711,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b8",3.74209596136394e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b9",7.68730380141802e-05,0.0298318439424316,0.100790634671229,"B04_B_To_C04_Z20_01",6e-04,5.3e-12,"6e-04_5.3e-12"
