"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",4.47519550360611e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
"b1",6.76721122422387e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
"b2",3.70568048372757e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
"b3",3.70568048372757e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
"b4",3.48490823772899e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
"b5",6.06424374107219e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
"b6",5.1072110344779e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
"b7",9.56352948259075e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
"b8",3.14649968433515e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
"b9",5.34702841684933e-05,0.0169999774005917,0.120070119050499,"B05_A_To_C03_Z20_01",3e-04,5.3e-12,"3e-04_5.3e-12"
