"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",3.80936096341398e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b1",5.54322550688609e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b2",3.65477650672967e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b3",3.65477650672967e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b4",3.21787736985422e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b5",4.58588880645303e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b6",4.05202173795295e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b7",9.16333192345268e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b8",2.94791695662872e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
"b9",4.19731227871201e-05,0.0281730573743677,0.108454488795918,"B05_C_To_C01_Z20_01",1e-04,5.3e-12,"1e-04_5.3e-12"
