"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",8.9499572732982e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000122048423938062,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.41893753491883e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.41893753491883e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.28781534586948e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000112519388014604,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",7.86639132821814e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000155168947574452,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.68383132231899e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",8.63840759881143e-05,0.0200754051388738,0.103802031932893,"B11_C_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
