"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000221616357992851,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000125985752087899,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b2",4.89889527203983e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b3",4.89889527203983e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b4",4.73662288206553e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.00011578154643392,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b6",8.02564153218203e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000154081318144626,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b8",4.01048810713168e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
"b9",8.83976814941069e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",0.001,5.3e-12,"0.001_5.3e-12"
