"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.00017410458647489,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b1",9.03616823828199e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b2",4.53806265975097e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b3",4.53806265975097e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b4",4.23857889498038e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b5",7.92027599307058e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b6",6.27313697790332e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b7",0.000124349759618111,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b8",3.71678187718182e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
"b9",6.68391262158006e-05,0.0634489151373908,0.110807990486291,"B11_D_To_C01_Z20_01",4e-04,5.3e-12,"4e-04_5.3e-12"
