"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000229807503633398,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000109071118978839,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b2",5.37474754240839e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b3",5.37474754240839e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b4",5.21480154946676e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b5",0.000102633474915127,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b6",7.45829094275014e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000118227623251959,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b8",4.38142096494544e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
"b9",8.08925692650588e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",0.001,5.3e-12,"0.001_5.3e-12"
