"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000214155200169587,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
"b1",0.000101749142210508,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
"b2",5.26867753130276e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
"b3",5.26867753130276e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
"b4",5.07814777382113e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
"b5",9.48233435009167e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
"b6",7.1027002427292e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
"b7",0.000111880245205264,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
"b8",4.30881782393142e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
"b9",7.64315255033794e-05,0.399690267103002,0.154919943165142,"B11_E_To_C01_Z20_02",8e-04,5.3e-12,"8e-04_5.3e-12"
