"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",0.000153553371349117,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b1",5.54646399459424e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b2",3.87586481812103e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b3",3.87586481812103e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b4",3.79591769209557e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b5",5.38347066248546e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b6",4.62366618183163e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b7",5.85630897697812e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b8",3.40277045483756e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
"b9",4.8085880906098e-05,1.98311652647744,0.262956241120022,"B11_F_To_C03_Z10_01",6e-04,5.3e-12,"6e-04_5.3e-12"
