"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",3.45532858278885e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
"b1",4.51481672138696e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
"b2",3.01779038556906e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
"b3",3.01779038556906e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
"b4",2.74997573647951e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
"b5",3.93470267346835e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
"b6",3.54804270828126e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
"b7",7.6465459463308e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
"b8",2.55682553967852e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
"b9",3.65202475873416e-05,0.0107996597293887,0.116769674039301,"P04_A_FY_C01_Z20_04",1e-04,5.3e-12,"1e-04_5.3e-12"
