"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",7.82445545924522e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
"b1",0.000104897463108808,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
"b2",3.96244378507055e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
"b3",3.96244378507055e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
"b4",3.87450439553635e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
"b5",9.89461623656648e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
"b6",7.2122825550652e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
"b7",0.000131049403163006,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
"b8",3.38219826218301e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
"b9",7.84828124041505e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",0.001,5.3e-12,"0.001_5.3e-12"
