"Barrier","kr","Kx","perimeter","CS_id","kAQP","kpl","Simu_ID"
"b0",5.79444773606545e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
"b1",7.94677179176442e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
"b2",3.72673612630524e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
"b3",3.72673612630524e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
"b4",3.58009677646086e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
"b5",7.30783977195702e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
"b6",5.87155507475404e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
"b7",0.000109661709747852,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
"b8",3.19718269764248e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
"b9",6.22712210960409e-05,0.0144818254463482,0.11367430762837,"P04_B_BH_C01_Z20_05",5e-04,5.3e-12,"5e-04_5.3e-12"
